fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,22867400000,109600000,None,731500000,21712800000,1154600000,51900000,8262000000,1200000,4707100000,445900000,944300000,664400000,5577500000,11378000000,2613000000,2714300000,-6821400000,255500000,20644200000,None,100700000,None,14141200000,2394600000,194000000,503000000,None,None,1200000,None,4707100000,None,None,867700000,None,46100000,299500000,2394600000,7888300000,10334800000,None,None,None,3267700000,22867400000,5577500000,None,None
2020-03-31,USD,24234900000,129900000,None,549900000,23147200000,1087700000,None,7621600000,1200000,4678800000,433000000,929100000,951800000,5024800000,10752400000,2520400000,2621800000,-6852000000,263000000,21704300000,None,28700000,None,15940500000,3840300000,189100000,610400000,None,None,1200000,None,4678800000,-6733900000,None,925700000,None,282900000,304900000,3840300000,8554500000,12394800000,None,None,None,3259700000,24234900000,5024800000,None,48000000
2019-12-31,USD,26494800000,153300000,None,676400000,24906500000,1588300000,80000000,8212600000,1100000,5163300000,531800000,954900000,727300000,4475200000,11872000000,3030800000,3132200000,-6833800000,282300000,24112700000,None,480100000,None,18743100000,4253200000,218000000,628600000,None,None,1100000,None,5163300000,-6733900000,None,946400000,None,45200000,314300000,4253200000,8701300000,13034500000,None,None,None,3257700000,26494800000,4475200000,None,51000000
2019-09-30,USD,27157800000,174400000,None,2113900000,25660900000,1496900000,80100000,8273000000,1100000,5095900000,518500000,937300000,720500000,5106100000,11812100000,2040900000,2193400000,-6855700000,286800000,24783600000,None,385200000,None,17313200000,4853500000,250400000,1498200000,None,None,1100000,None,5095900000,-6733700000,None,930800000,44900000,2374200000,306300000,4853500000,8915200000,13848800000,None,None,None,3255600000,27157800000,5106100000,None,50000000
2019-06-30,USD,30739700000,195800000,None,6378500000,28348000000,2391700000,217700000,8561000000,1100000,5233300000,616600000,960300000,756000000,4620800000,10606700000,1170800000,1481300000,-6102300000,285300000,28273900000,None,1235600000,None,17030700000,5556200000,243900000,874900000,None,None,1100000,None,5233300000,-5980600000,None,979000000,45400000,2465800000,318800000,5556200000,11967400000,17741300000,None,None,None,3259600000,30739700000,4620800000,None,53000000
2019-03-31,USD,29433100000,189600000,None,6348900000,27193600000,2239500000,230500000,7367300000,1100000,5127800000,617800000,950000000,696600000,4261100000,10596700000,2347100000,2347100000,-6066400000,289800000,27035900000,None,1099900000,None,16183600000,4589900000,242300000,882300000,None,None,1100000,None,5127800000,-5938500000,None,922300000,45500000,2397200000,321200000,5720000000,6056500000,12007000000,None,None,None,3177000000,29433100000,4261100000,None,53000000
2018-12-31,USD,30387700000,539700000,None,2297500000,28055600000,2332100000,256600000,7642600000,1100000,5012400000,788100000,3841000000,700200000,4421700000,11484000000,2862100000,2862100000,-5853800000,595100000,24711700000,None,-2048600000,None,17740600000,4934100000,251900000,979300000,None,None,1100000,None,5012400000,None,None,653200000,47000000,5676000000,None,5593400000,5787500000,11637500000,None,None,None,3172400000,30387700000,4421700000,None,55000000
2018-09-30,USD,29763000000,603100000,None,2321900000,27471800000,2291200000,223900000,7401500000,1100000,4758600000,738700000,3857400000,736700000,4188600000,9959400000,1586800000,1586800000,-5617300000,610000000,23955800000,None,-2169300000,641700000,17179400000,6014100000,265900000,971100000,0,0,1100000,0,4758600000,-5474200000,None,671400000,65300000,5807200000,None,5677300000,5597100000,11498300000,None,None,None,3148800000,29763000000,4188600000,None,55000000
2018-06-30,USD,28950900000,667800000,None,1336800000,26831600000,2119300000,189100000,7241000000,1100000,4493600000,700500000,3857800000,722900000,4024000000,10768700000,2600300000,2600300000,-5508100000,620900000,23081500000,None,-2406300000,653900000,17487500000,5295900000,233200000,927400000,0,0,1100000,0,4493600000,-5371700000,None,640300000,82600000,5869400000,None,5667500000,4910400000,10767000000,None,None,None,3132700000,28950900000,4024000000,None,55000000
2018-03-31,USD,29392900000,739800000,None,1733800000,27391500000,2001400000,189800000,7240300000,1100000,4307600000,494200000,3890600000,5308300000,4131200000,10985500000,2848600000,2848600000,-5409000000,614100000,23470500000,None,-2629000000,620900000,17349200000,5389000000,256300000,896600000,0,0,1100000,0,4307600000,-5272500000,None,651600000,26300000,5922400000,None,5973100000,4854100000,11017000000,None,None,None,3101700000,29392900000,4131200000,None,56000000
