fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,1623900000,0,1593700000,-19800000,-1357400000,-1408200000,-40700000,-188400000,38400000,680500000,495000000,-174200000,50100000,-10100000,0,None,None,580700000,10400000,None,None,680500000
2020-03-31,USD,1735400000,0,1746300000,26600000,-925600000,-1503400000,-547500000,8600000,30000000,815400000,572500000,-7700000,48300000,-30300000,0,None,None,501900000,15700000,None,None,815400000
2019-12-31,USD,-819900000,-214900000,-789700000,60000000,5705300000,4400000,-5683100000,-630000000,97500000,-1097800000,-312500000,-637700000,53700000,-30000000,12200000,None,4100000,384800000,23100000,4100000,None,-1097800000
2019-09-30,USD,-170200000,4600000,4164800000,4362000000,-2890900000,-3699500000,-25100000,645500000,-107600000,905800000,440500000,718200000,55400000,-30400000,-753100000,None,4100000,-230100000,27000000,None,None,905800000
2019-06-30,USD,-1179500000,-8900000,-1231800000,1200000,-2211000000,1086400000,3330500000,-38100000,139000000,333500000,478900000,20100000,53700000,-33100000,0,None,4100000,275000000,53500000,None,None,333500000
2019-03-31,USD,759600000,0,717500000,-3400000,-706500000,-1483000000,-519800000,8700000,149100000,-154700000,610800000,93600000,129900000,-33900000,-222800000,None,4100000,238200000,38700000,None,None,-154700000
2018-12-31,USD,-2054100000,-35200000,-1011300000,1093300000,981900000,288100000,-434500000,215300000,284900000,6300000,729500000,207700000,132200000,-30700000,-228600000,None,-93000000,232900000,50500000,-93000000,None,6300000
2018-09-30,USD,-576900000,-200000,-624500000,3200000,-295500000,363000000,792200000,-134200000,296400000,442100000,703600000,-73400000,133200000,-31200000,-102500000,0,-93000000,347600000,50800000,None,None,442100000
2018-06-30,USD,-612200000,-300000,-629100000,36900000,-612200000,-655200000,83100000,21200000,217900000,-612400000,671900000,43900000,136100000,-31600000,-94500000,0,-93000000,274300000,53800000,None,None,-612400000
2018-03-31,USD,451500000,-25700000,392900000,-13900000,-710000000,-1213800000,-472100000,-82300000,163900000,-171000000,649900000,-9500000,133100000,-31700000,0,0,41100000,388100000,44700000,None,None,-171000000
2017-12-31,USD,-2442400000,151000000,-2250400000,240800000,2304900000,2281800000,-12800000,-45800000,271300000,861400000,830000000,46900000,134800000,-28700000,18400000,0,-10300000,236300000,48800000,-10300000,2600000,864000000
2017-09-30,USD,-958400000,-7100000,-1017100000,1100000,1734000000,1650000000,-1400000,130200000,233300000,1378100000,745200000,161100000,135300000,-28800000,-53800000,0,0,222600000,59800000,None,2000000,1380100000
2017-06-30,USD,-787600000,-5400000,-1302000000,-444200000,942900000,836000000,7000000,-23200000,137700000,80900000,546900000,14500000,137200000,-29000000,-84900000,0,0,262900000,70200000,None,-1800000,79100000
2017-03-31,USD,529300000,-23000000,281000000,-201700000,-296800000,-762900000,-22100000,-132000000,146400000,5600000,487500000,-92300000,134300000,-29000000,-415000000,0,0,322100000,46600000,None,2000000,7600000
2016-12-31,USD,-2460800000,-5700000,-1911400000,598100000,1639900000,1512800000,-9500000,-19700000,10600000,360800000,759400000,388000000,136800000,330700000,-448300000,0,-95600000,325300000,48700000,-95600000,-2100000,358700000
2016-09-30,USD,-694400000,-64600000,-982800000,-237700000,749900000,570300000,200000,37300000,207400000,184000000,597900000,97000000,135200000,0,-170200000,0,3900000,222900000,50700000,None,-1400000,184000000
2016-06-30,USD,-713200000,-17100000,-421100000,344800000,652300000,293900000,14100000,-80200000,140700000,346500000,473700000,-34900000,138000000,-258700000,-372500000,0,7400000,247000000,52700000,None,None,346500000
2016-03-31,USD,383800000,-32400000,-747700000,-1076600000,798800000,286400000,-1600000,-237700000,158900000,-203900000,257400000,-193400000,136800000,-102000000,-510800000,0,0,187500000,54900000,None,5900000,-198000000
2015-12-31,USD,-1954438000,132194000,-2259579000,-253549000,1868330000,1780045000,-2818000,-175500000,180175000,195075000,674609000,31283000,133218000,-30000000,-172843000,0,8300000,189432000,51592000,8307000,-4379000,190696000
2015-09-30,USD,-659733000,-7016000,-763641000,-51902000,633812000,455904000,2202000,None,130382000,159675000,467412000,22831000,131539000,0,-180110000,0,0,189676000,52006000,None,-4648000,155027000
2015-06-30,USD,-681064000,877000,-676598000,50112000,469719000,348682000,5743000,None,130039000,61197000,389113000,-1920000,130073000,0,-126780000,0,0,130044000,45646000,None,719000,61916000
