fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,979300000,311800000,492800000,486500000,174700000,38400000,None,None,47000000,None,20400000,None,174700000,291400000,127700000,8600000,-127700000,-127700000,None,None,None,8600000,-34200000,None,38400000,38400000,None
2020-03-31,USD,1381800000,718600000,499200000,882600000,164000000,30000000,None,None,25400000,None,23900000,None,164000000,694700000,138600000,-4600000,-138600000,-138600000,None,None,None,-4600000,None,None,30000000,30000000,None
2019-12-31,USD,1461000000,447000000,705000000,756000000,309000000,72300000,None,None,173000000,None,23200000,None,309000000,423800000,136000000,37000000,-141600000,-141600000,-2700000,None,None,38700000,0,-32900000,134300000,97500000,None
2019-09-30,USD,1437600000,445900000,687500000,750100000,304200000,-107600000,None,None,164200000,None,103700000,None,304200000,342200000,140000000,42600000,-140000000,-140000000,-229200000,None,None,42600000,-71900000,-229200000,121600000,-107600000,None
2019-06-30,USD,1348500000,356400000,654800000,693700000,337300000,139000000,None,None,193800000,None,57300000,None,337300000,299100000,143500000,51400000,-287400000,-143500000,-32500000,None,None,51400000,-55400000,-7300000,142400000,139000000,None
2019-03-31,USD,1334200000,336800000,640500000,693700000,356900000,174300000,None,None,207400000,None,38300000,None,356900000,298500000,149500000,33100000,None,-149500000,-29200000,None,None,33100000,-51400000,-25200000,174300000,149100000,None
2018-12-31,USD,2055900000,336900000,1144800000,911100000,574200000,284900000,0,0,397400000,0,46200000,None,574200000,290700000,176800000,None,None,None,61500000,0,0,112500000,-69900000,-25200000,284900000,284900000,None
2018-09-30,USD,1947200000,364600000,1060600000,886600000,522000000,296500000,0,0,353100000,0,45300000,None,522000000,319300000,168900000,None,None,None,0,0,0,56600000,-69400000,-25200000,296500000,296500000,None
2018-06-30,USD,1903900000,482000000,1001600000,902300000,420300000,217800000,0,0,254600000,0,48100000,None,420300000,433900000,165700000,None,None,None,0,0,0,36800000,-73700000,-25200000,217800000,217800000,None
2018-03-31,USD,1884200000,492500000,1013900000,870300000,377800000,163900000,0,0,218600000,0,33100000,None,377800000,459400000,159200000,None,None,None,0,0,0,54700000,-71600000,0,163900000,163900000,None
2017-12-31,USD,2106200000,496500000,1146900000,959300000,462800000,271400000,0,0,306400000,0,41300000,None,462800000,455200000,156400000,None,None,None,0,0,0,35000000,-274800000,0,271400000,271400000,None
2017-09-30,USD,1912400000,367000000,1066500000,845900000,478900000,233200000,0,0,333600000,0,38000000,None,478900000,329000000,145300000,None,None,None,0,0,0,100400000,0,0,233200000,233200000,None
2017-06-30,USD,1821800000,456000000,1014400000,807400000,351400000,137700000,0,0,213900000,0,42400000,None,351400000,413600000,137500000,None,None,None,0,0,0,76200000,0,0,137700000,137700000,None
2017-03-31,USD,1879000000,484500000,1042100000,836900000,352400000,146400000,0,0,227200000,0,44600000,None,352400000,439900000,125200000,None,None,None,0,0,0,80800000,0,0,146400000,146400000,None
2016-12-31,USD,1827600000,448600000,1199400000,628200000,179600000,10500000,0,0,61900000,85300000,31700000,None,179600000,416900000,117700000,None,None,None,0,0,0,51400000,-218200000,0,10500000,10500000,None
2016-09-30,USD,1885500000,419000000,1045700000,840000000,421000000,207400000,0,0,312600000,-67600000,41000000,None,420900000,378000000,108300000,None,None,None,0,0,0,105200000,0,0,207500000,207400000,None
2016-06-30,USD,1748800000,400300000,1027900000,720900000,320600000,140700000,0,0,216900000,67600000,42900000,None,320600000,357400000,103700000,None,None,None,0,0,0,76200000,0,0,140700000,140700000,None
2016-03-31,USD,1676100000,327900000,1003900000,672200000,344300000,157100000,0,0,245500000,1800000,27600000,None,344300000,300300000,98800000,None,None,None,0,0,0,86600000,0,0,158900000,157100000,None
2015-12-31,USD,1748854000,357773000,1026999000,721855000,364082000,174215000,0,0,274718000,5960000,26491000,None,364082000,331282000,89364000,None,None,None,0,0,0,94543000,-179500000,0,180175000,174215000,None
2015-09-30,USD,1589117000,400511000,901095000,688022000,287511000,128430000,0,0,205413000,1952000,40890000,None,287511000,359621000,82098000,None,None,None,0,0,0,75031000,0,0,130382000,128430000,None
2015-06-30,USD,1500618000,318352000,896543000,604075000,285723000,131337000,0,0,205008000,-1298000,40909000,None,285723000,277443000,80715000,None,None,None,0,0,0,74969000,0,0,130039000,131337000,None
