fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-07-31,USD,5747300000,178100000,None,None,5680000000,67300000,None,None,2492700000,-2270900000,1031000000,2459100000,429300000,1439800000,2619600000,None,None,-154500000,594000000,2203900000,None,-2452800000,79700000,490100000,1636100000,None,99200000,None,None,None,None,None,None,None,260700000,None,3543400000,447100000,None,144100000,3060400000,None,None,None,None,None,None,None,None
2020-04-30,USD,5543900000,67000000,None,200900000,4439800000,-139100000,81000000,2209900000,2401300000,-2361300000,1067100000,2430200000,307100000,1389700000,2578300000,None,None,-179100000,164200000,2024300000,None,-1393100000,77200000,356500000,1635600000,None,368400000,None,None,2401300000,None,-2361300000,None,None,807400000,None,50800000,448000000,1635600000,144900000,1861500000,None,None,None,None,5543900000,1466900000,None,221000000
2020-01-31,USD,6179300000,70900000,None,163300000,5487400000,-139100000,82500000,2224200000,2317000000,-2295800000,1052400000,2445000000,267400000,1774700000,3219200000,449700000,449700000,-160300000,161700000,2659300000,0,-1824000000,69000000,652300000,1635100000,None,545300000,None,None,2317000000,None,-2295800000,None,None,786000000,None,56400000,459800000,1635100000,550600000,2268200000,None,None,None,None,6179300000,1843700000,None,219400000
2019-10-31,USD,5036600000,225200000,None,162000000,5208100000,-171500000,103800000,1886000000,2225100000,-2240300000,837800000,2443600000,227500000,956200000,2840200000,449400000,449400000,-156300000,433200000,1706800000,None,-2840600000,68300000,520300000,1290300000,None,106100000,None,None,2225100000,None,-2240300000,None,None,188200000,None,3329800000,303800000,1290300000,116600000,2367900000,None,None,None,None,5036600000,1024500000,None,222000000
2019-07-31,USD,4872700000,243200000,None,176800000,5067000000,-194300000,98900000,1831000000,2200700000,-2224300000,711800000,2431800000,232000000,923900000,2707300000,449200000,449200000,-170700000,450200000,1515500000,None,-2869300000,67400000,347400000,1389800000,None,93000000,None,None,2200700000,None,-2224300000,None,None,185700000,None,3357200000,317000000,1389800000,116000000,2359700000,None,None,None,None,4872700000,991300000,None,222000000
2019-04-30,USD,4808500000,96300000,None,182100000,4412200000,-245300000,93900000,1836700000,2123100000,-2226800000,604200000,2446200000,119400000,883200000,2220700000,59200000,59200000,-141600000,152600000,1422300000,1500000,-2146200000,88900000,268100000,1963300000,None,384000000,None,None,2123100000,None,-2226800000,None,None,636700000,None,54400000,324800000,1963300000,134300000,2191500000,None,None,None,None,4808500000,972100000,None,220000000
2019-01-31,USD,4729200000,105600000,None,192100000,4612000000,-210900000,79800000,1763300000,2071500000,-2147400000,551200000,2450800000,223500000,886000000,2301200000,None,None,-135000000,149700000,1620000000,0,-2439200000,67600000,474300000,2087700000,None,537900000,None,None,2071500000,None,-2147400000,None,None,337800000,None,65300000,None,2087700000,143300000,2310800000,None,None,None,None,4729200000,953600000,None,219400000
2018-10-31,USD,3774400000,19800000,None,202800000,3838200000,-338300000,96500000,1517600000,2009100000,-2189900000,539400000,1645300000,224900000,875700000,1985500000,None,None,-157500000,144700000,1590000000,114800000,-1728900000,202500000,309000000,1587800000,None,467900000,None,None,2009100000,None,-2189900000,None,None,188100000,None,71700000,None,1587800000,168400000,1852700000,None,None,None,None,3774400000,1078200000,None,219000000
2018-07-31,USD,3833000000,23700000,None,194600000,3766600000,-241600000,88200000,1491500000,2012500000,-2103200000,572300000,1658700000,236100000,895400000,1915100000,1587200000,1587200000,-150900000,146800000,1598800000,128100000,-1616000000,274400000,234400000,1587200000,None,423600000,None,None,2012500000,None,-2103200000,None,None,195400000,None,81500000,None,1587200000,176100000,1851500000,None,None,None,None,3833000000,1169800000,None,219000000
2018-04-30,USD,3911400000,23100000,None,198400000,3702800000,-128600000,84800000,1469200000,2001000000,-1995800000,600800000,1604900000,223500000,1093000000,1852600000,1586600000,1586600000,-133800000,158200000,1698000000,171500000,-1419400000,199900000,206700000,1586600000,None,383400000,None,None,2001000000,None,-1995800000,None,None,188700000,None,67000000,None,1586600000,178800000,1850200000,None,None,None,None,3911400000,1292900000,None,219000000
