fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-07-31,USD,-33800000,-17100000,-33800000,-10800000,None,-12400000,None,-4500000,98200000,50100000,91200000,None,30000000,None,-7000000,None,-132800000,110200000,28000000,None,None,None
2020-04-30,USD,-11000000,-150500000,-78000000,-47100000,-450000000,-630200000,-35000000,-47500000,66500000,-380900000,327300000,-48600000,30000000,None,-145200000,None,295500000,134400000,19900000,295500000,None,-380900000
2020-01-31,USD,-14600000,-319300000,-14600000,-600000,348900000,133200000,-37000000,20900000,131800000,816800000,698200000,941900000,30900000,None,-178700000,None,-131300000,44200000,14000000,-131300000,-2300000,814500000
2019-10-31,USD,-10200000,214400000,-10200000,-500000,-100000000,-233900000,-4400000,10200000,66700000,32300000,276400000,15500000,31600000,None,-127300000,None,-173000000,121200000,9700000,-173000000,None,32300000
2019-07-31,USD,-3300000,130600000,-3300000,-11200000,-125000000,-173700000,-4400000,16000000,40200000,40700000,219300000,16500000,32100000,None,-46100000,None,-80400000,80300000,14800000,-80400000,None,42300000
2019-04-30,USD,-15200000,-110400000,-29200000,700000,-125000000,-192400000,-25800000,11400000,-24200000,-400000,221200000,1800000,32700000,None,-41600000,None,206200000,115100000,14700000,206200000,None,-400000
2019-01-31,USD,271900000,161800000,-750100000,-1004400000,500000000,443800000,-24800000,-800000,64700000,5200000,311500000,210800000,25400000,None,-31400000,None,-154800000,3600000,17600000,-154800000,5100000,10300000
2018-10-31,USD,84400000,13200000,80000000,8300000,500000000,-134600000,-67700000,400000,-23700000,-15400000,39200000,6000000,23500000,None,-66900000,None,-74800000,95000000,12700000,-74800000,-4300000,-19700000
2018-07-31,USD,-28400000,18200000,-87900000,-39500000,500000000,-145600000,-14200000,9300000,-39400000,-190200000,43300000,23900000,22200000,None,-131400000,None,-27200000,45600000,20000000,-27200000,-7400000,-197600000
2018-04-30,USD,64900000,-286200000,47600000,-600000,500000000,-11700000,-38800000,-1400000,-82400000,19000000,-16900000,-4500000,24100000,None,27100000,None,231400000,100700000,16700000,231400000,-4000000,15000000
2018-01-31,USD,247400000,223400000,247500000,-12200000,96900000,-282400000,-22500000,-9900000,-173500000,44400000,79300000,128000000,26900000,None,-259900000,None,13300000,4500000,11400000,-130000000,8400000,52800000
2017-10-31,USD,78300000,14600000,58200000,-7200000,None,-156200000,-70800000,-4100000,-119800000,-149100000,-51100000,-5400000,24700000,None,-85400000,None,143300000,77000000,12900000,-42200000,200000,-148900000
2017-07-31,USD,-31800000,14100000,-57800000,-8200000,96900000,-39200000,-22600000,-8600000,-144000000,-169500000,-72500000,-10300000,28400000,0,-113500000,0,185500000,74700000,17800000,-35400000,3400000,-166100000
2017-04-30,USD,263200000,-119800000,258500000,3900000,96900000,-178800000,-33000000,6200000,-129600000,124900000,45200000,-28100000,28400000,None,-145800000,None,220900000,73400000,8600000,220900000,2200000,127100000
2017-01-31,USD,-17700000,225100000,-13800000,14800000,96900000,-224000000,-17300000,-13500000,-173400000,-222200000,15600000,144000000,34700000,0,-206700000,0,201500000,-22500000,10900000,-192300000,-1200000,-223400000
2016-10-31,USD,115800000,-10300000,85200000,-8100000,96900000,-118600000,-39000000,10600000,-142800000,-25700000,7700000,40800000,34100000,0,-79600000,0,393800000,39000000,22500000,46900000,-5100000,-30800000
2016-07-31,USD,482400000,147100000,430800000,-31300000,None,-168500000,-1600000,-8400000,-92900000,243900000,-18000000,-89800000,33000000,0,-166900000,0,346900000,35100000,20300000,-50500000,-400000,243900000
2016-04-30,USD,-147300000,-206200000,-230200000,-60600000,None,-67200000,-18300000,-14900000,-173000000,-129600000,164400000,-28000000,37400000,0,-48900000,0,397400000,123700000,22300000,397400000,3400000,-129600000
2016-01-31,USD,5600000,409500000,-53400000,-28400000,748300000,-98100000,-51600000,-2800000,-37200000,18400000,169900000,-1300000,36100000,0,-46500000,0,-195500000,55700000,30600000,-292900000,-2900000,15500000
2015-10-31,USD,-8000000,-18300000,-89500000,-69500000,None,-126200000,None,None,-76900000,-135300000,80400000,28000000,35700000,0,-126200000,0,97400000,78900000,12000000,33000000,-300000,-135600000
2015-07-31,USD,-390900000,111900000,-413700000,-5500000,748300000,628800000,-6300000,None,-235500000,292300000,77200000,11200000,36200000,0,-113200000,0,64400000,232100000,17300000,-78700000,-1900000,290400000
