fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-07-31,USD,913100000,767000000,80900000,832200000,167000000,98200000,232500000,None,129000000,None,444100000,None,146100000,None,8000000,30800000,None,-8000000,None,None,None,30800000,-9100000,None,98200000,98200000,None
2020-04-30,USD,885700000,673200000,81900000,803800000,130600000,66500000,217400000,None,90500000,None,446100000,None,130600000,9700000,40100000,24000000,-40700000,-22300000,None,None,None,24000000,-17800000,None,66500000,66500000,None
2020-01-31,USD,899300000,682300000,83200000,816100000,133800000,131800000,217100000,None,123300000,None,455500000,None,133800000,9700000,10500000,-8500000,-10300000,-11700000,None,None,None,-8500000,1200000,None,131800000,131800000,None
2019-10-31,USD,842700000,732000000,79500000,763200000,141900000,66700000,213000000,None,96400000,None,429800000,None,110700000,9800000,13900000,29700000,-14900000,-13900000,None,None,None,29700000,-400000,None,66700000,66700000,None
2019-07-31,USD,796800000,722800000,79500000,717300000,114000000,40200000,215400000,None,66500000,None,418200000,None,74000000,9900000,15400000,26300000,-10900000,-15400000,None,None,None,26300000,7900000,None,40200000,40200000,None
2019-04-30,USD,735500000,628000000,82700000,652800000,24800000,-24200000,205600000,None,8600000,None,412400000,None,24800000,10000000,16200000,32800000,-17300000,-13000000,None,None,None,32800000,-3400000,None,-24200000,-24200000,None
2019-01-31,USD,737300000,620000000,77000000,660300000,40300000,64700000,190400000,0,33000000,0,421500000,None,40300000,8100000,7300000,-15700000,None,None,16000000,0,0,-31700000,6300000,0,64700000,64700000,None
2018-10-31,USD,660900000,573900000,72300000,588600000,14700000,-23700000,181000000,0,11500000,0,385000000,None,14700000,7900000,3200000,None,None,None,0,0,0,35200000,-6900000,0,-23700000,-23700000,None
2018-07-31,USD,611700000,566600000,69800000,541900000,-24700000,-39400000,180800000,0,-23400000,0,368200000,None,-24700000,17600000,-1300000,None,None,None,0,-22500000,0,16000000,-12400000,0,-39400000,-39400000,None
2018-04-30,USD,559900000,548400000,66800000,493100000,-55300000,-82400000,172800000,0,-63800000,0,349300000,None,-55300000,26300000,8500000,None,None,None,0,22500000,0,18600000,-31000000,0,-82400000,-82400000,None
2018-01-31,USD,553800000,662600000,73100000,480700000,-181900000,-173500000,182200000,0,-198300000,0,381600000,None,-181900000,98800000,16400000,None,None,None,0,2600000,0,-24800000,-152500000,0,-173500000,-173500000,None
2017-10-31,USD,515300000,537800000,77500000,437800000,-100000000,-119800000,191800000,0,-111200000,0,341300000,None,-100000000,4700000,11200000,None,None,None,0,90100000,0,8600000,-23700000,0,-119800000,-119800000,None
2017-07-31,USD,501800000,534800000,74600000,427200000,-107600000,-144000000,193800000,0,-126400000,0,335600000,None,-107600000,5400000,18800000,None,None,None,0,1700000,0,17600000,25000000,0,-144000000,-144000000,None
2017-04-30,USD,485700000,527100000,78200000,407500000,-119600000,-129600000,187700000,0,-121400000,0,334000000,None,-119600000,5400000,1800000,None,None,None,0,-300000,0,8200000,-12500000,0,-129600000,-129600000,None
2017-01-31,USD,478800000,557800000,82800000,396000000,-161800000,-168100000,185000000,0,-162900000,0,354500000,None,-161800000,89800000,1100000,None,None,None,0,-31600000,0,5200000,-104700000,0,-168100000,-168100000,None
2016-10-31,USD,489600000,528000000,81500000,408100000,-119900000,-142800000,192600000,0,-129300000,0,325400000,None,-119900000,6800000,9400000,None,None,None,0,3200000,0,13500000,0,0,-142800000,-142800000,None
2016-07-31,USD,550700000,528500000,85100000,465600000,-62900000,-98200000,193000000,0,-73000000,0,311700000,None,-62900000,7800000,10100000,None,None,None,0,16000000,0,25200000,0,0,-98200000,-98200000,None
2016-04-30,USD,511900000,574400000,92500000,419400000,-158600000,-173000000,193500000,0,-158600000,0,318700000,None,-155000000,7900000,3600000,None,None,None,0,52300000,0,14400000,0,0,-173000000,-173000000,None
2016-01-31,USD,648300000,563100000,94900000,553400000,-9700000,-70300000,204500000,0,-20500000,0,350600000,None,-9700000,8000000,10800000,None,None,None,0,80500000,0,49800000,-21600000,0,-70300000,-70300000,None
2015-10-31,USD,599800000,523600000,91000000,508800000,-14800000,-43800000,197900000,0,-22500000,0,317600000,None,-14800000,8100000,7700000,None,None,None,0,0,0,21300000,0,0,-43800000,-43800000,None
2015-07-31,USD,609500000,512200000,93000000,516500000,4300000,-235500000,193100000,0,900000,0,310900000,None,4300000,8200000,3400000,None,None,None,0,0,0,236400000,0,0,-235500000,-235500000,None
