fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,3502900000,217500000,None,None,2557000000,945900000,None,None,900000,-598200000,433700000,1224800000,52600000,31400000,360000000,None,41300000,-2200000,1748200000,259800000,None,-496400000,None,193800000,1762700000,None,121900000,None,None,None,None,None,None,None,52600000,None,3243100000,None,None,90100000,2197000000,None,None,None,None,None,None,None,None
2020-03-31,USD,3522300000,225200000,None,None,2598300000,924000000,None,None,900000,-604400000,420400000,1224800000,52300000,31000000,396900000,None,87400000,-2600000,1753200000,266800000,None,-526000000,None,192800000,1779800000,None,101300000,None,None,None,None,None,-5600000,None,52300000,None,3255500000,None,1779800000,81100000,2201400000,None,None,None,1535700000,None,31000000,None,90000000
2019-12-31,USD,3543500000,233000000,None,None,2620100000,923400000,None,2400000,900000,-598100000,384300000,1224800000,53300000,12500000,420600000,76100000,76100000,-3000000,1767600000,264800000,None,-534400000,None,208300000,1792100000,9300000,120700000,None,None,None,None,None,-4100000,None,53300000,None,3278700000,None,1792100000,82700000,2199500000,None,None,None,1527700000,None,12500000,None,89000000
2019-09-30,USD,3548200000,241100000,None,None,2626500000,921700000,None,97500000,900000,-594900000,381900000,1224800000,50800000,11800000,420900000,73400000,73400000,-3300000,1773200000,258300000,None,-544200000,None,212400000,1800600000,None,115100000,None,None,None,None,None,-600000,None,50800000,None,3289900000,None,1800600000,85400000,2205600000,None,None,None,1519600000,None,11800000,None,91000000
2019-06-30,USD,3560300000,249500000,None,None,2649500000,910800000,None,90100000,900000,-598500000,387700000,1224100000,50600000,10700000,429800000,74800000,74800000,-2900000,1769100000,267000000,None,-562800000,None,219600000,1809600000,None,139700000,None,None,None,None,None,-600000,None,50600000,None,3293300000,None,1809600000,85900000,2219700000,None,None,None,1511900000,None,10700000,None,89000000
2019-03-31,USD,3550900000,258700000,None,None,2641400000,909500000,None,89900000,900000,-597500000,394900000,1222700000,30300000,7600000,413100000,84300000,84300000,-1600000,1783700000,255500000,None,-571900000,None,205600000,1777800000,None,118900000,None,None,None,None,None,None,None,53300000,None,3295400000,None,1812700000,94900000,2228300000,None,None,None,1507700000,None,7600000,None,89000000
2018-12-31,USD,3528300000,257100000,None,None,2616800000,911500000,None,91100000,900000,-591100000,397200000,1215100000,21000000,6800000,402500000,85900000,85900000,None,1761400000,263000000,10700000,-560700000,None,217800000,1747900000,9300000,107800000,None,None,None,None,None,None,None,None,None,None,None,1817100000,None,None,None,None,None,1501700000,None,6800000,None,89000000
2018-09-30,USD,3498100000,261600000,None,39100000,2588900000,909200000,0,89600000,900000,-593600000,380400000,1210200000,33700000,8300000,370600000,52100000,52100000,3500000,1722900000,264200000,5500000,-562600000,0,216800000,1837900000,0,108700000,909200000,1498400000,900000,0,-593600000,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,89000000
2018-06-30,USD,3498600000,271200000,None,40000000,2590300000,908300000,0,90500000,900000,-588700000,363400000,1210300000,24200000,6900000,371300000,49200000,49200000,2800000,1730800000,255400000,6700000,-573200000,0,208500000,1855600000,0,125100000,908300000,1493300000,900000,0,-588700000,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,89000000
2018-03-31,USD,3486200000,281300000,None,44800000,2591700000,894500000,0,90000000,900000,-598400000,360000000,1209900000,23600000,6500000,357000000,52400000,52400000,1800000,1722300000,242500000,6600000,-596700000,0,191200000,1874700000,0,97800000,894500000,1490200000,900000,0,-598400000,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,89000000
