fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,380300000,352100000,None,None,92000000,6200000,None,None,8100000,None,45700000,None,28200000,None,19800000,1900000,None,-19800000,None,None,None,1900000,-300000,None,6200000,6200000,None
2020-03-31,USD,386700000,372900000,None,None,78900000,-6300000,None,None,-8300000,None,51000000,None,13800000,None,22600000,-2000000,-22600000,-22600000,None,None,None,-2000000,500000,None,-6300000,-6300000,None
2019-12-31,USD,400500000,381800000,261900000,138600000,92300000,-3200000,None,None,-3600000,None,47700000,None,18700000,None,23700000,-400000,-23700000,-23700000,None,None,None,-400000,1400000,None,-3200000,-3200000,None
2019-09-30,USD,419500000,388600000,270100000,149400000,100400000,3600000,None,None,5000000,None,48100000,None,30900000,None,25000000,1400000,-25000000,-25000000,None,None,None,1400000,-900000,None,3600000,3600000,None
2019-06-30,USD,419100000,409700000,277200000,141900000,75500000,-1000000,None,None,-21000000,None,62200000,None,9400000,None,26200000,-20000000,-26200000,-26200000,None,None,None,-20000000,-4200000,None,-1000000,-1000000,None
2019-03-31,USD,384000000,365200000,249600000,134400000,84500000,-6000000,None,None,-7400000,None,49200000,None,17900000,None,26000000,-1400000,-26000000,-26000000,None,None,None,-1400000,-200000,None,-6000000,-6000000,None
2018-12-31,USD,394800000,362400000,247300000,147500000,32400000,2500000,0,0,3800000,0,47400000,None,32400000,-1800000,-24900000,None,None,None,0,0,0,1300000,-28600000,0,2500000,2500000,None
2018-09-30,USD,400600000,381800000,268200000,132400000,18800000,-4900000,0,0,-6100000,0,44700000,None,18800000,0,-24400000,None,None,None,0,0,0,-1200000,-24900000,0,-4900000,-4900000,None
2018-06-30,USD,398100000,368200000,254400000,143700000,29900000,9700000,0,0,13400000,0,44600000,None,29900000,1800000,-23600000,None,None,None,0,-300000,0,3700000,-16500000,0,9700000,9700000,None
2018-03-31,USD,364700000,346500000,237900000,126800000,18200000,2100000,0,0,2900000,0,45700000,None,18200000,-1800000,-23000000,None,None,None,0,300000,0,800000,-15300000,0,2100000,2100000,None
2017-12-31,USD,384400000,2438400000,237400000,545500000,144100000,42000000,0,0,2200000,0,42100000,None,28700000,-169200000,20600000,None,None,None,0,-900000,0,-44600000,-85000000,0,76000000,42000000,None
2017-09-30,USD,392700000,-1384400000,241900000,0,-30400000,3500000,0,0,6900000,0,41700000,None,36400000,345500000,24000000,None,None,None,0,7300000,0,3400000,1600000,0,-65500000,3500000,None
2017-06-30,USD,383100000,348700000,236400000,0,-19600000,6800000,0,0,11400000,0,40700000,None,34700000,-239500000,25100000,None,None,None,0,-2200000,0,4600000,-1400000,0,34800000,34800000,None
2017-03-31,USD,347400000,0,219900000,0,10800000,-7000000,0,0,-11700000,0,45000000,None,17500000,61400000,23800000,None,None,None,0,500000,0,-4700000,-23000000,0,-7000000,-7000000,None
2016-12-31,USD,352000000,1270100000,209700000,539100000,161400000,-34100000,0,0,-62100000,0,37300000,None,44300000,-172200000,27500000,None,None,None,0,-4000000,0,-28000000,-157000000,0,52900000,-34100000,None
2016-09-30,USD,360600000,0,217000000,0,-10900000,3700000,0,0,6000000,0,35600000,None,40700000,349000000,34100000,None,None,None,0,9000000,0,2300000,34600000,0,-140800000,3700000,None
2016-06-30,USD,358200000,0,215900000,0,-29100000,300000,0,0,2200000,0,39100000,None,35400000,-239400000,34200000,None,None,None,0,-4400000,0,1900000,-68200000,0,71800000,300000,None
2016-03-31,USD,333800000,0,209900000,0,13100000,0,0,0,0,0,37900000,None,21900000,60800000,34400000,None,None,None,0,900000,0,0,0,0,-14300000,-14300000,None
2015-12-31,USD,349600000,1279700000,211100000,529800000,116700000,-33600000,0,0,-53000000,0,42200000,None,28900000,-1800000,34000000,None,None,None,0,1400000,0,-19400000,-169700000,0,-33600000,-33600000,None
2015-09-30,USD,361300000,0,220200000,0,0,0,0,0,0,0,37500000,None,32900000,0,34200000,None,None,None,0,0,0,0,0,0,0,0,None
2015-06-30,USD,355100000,0,217800000,0,0,0,0,0,0,0,36100000,None,31500000,0,35600000,None,None,None,0,0,0,0,0,0,0,0,None
