fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,-197139000,30325000,-197139000,1403000,-216134000,-253638000,-10468000,-97803000,-106741000,-71999000,378778000,None,477869000,-27032000,-4000,None,None,52339000,114075000,None,None,None
2020-03-31,USD,-338435000,39714000,-338435000,2782000,201956000,157611000,-18054000,-142112000,-300293000,69405000,250229000,None,489024000,-26291000,0,None,None,141269000,99401000,None,None,None
2019-12-31,USD,178744000,77300000,178744000,1371000,-170113000,-704488000,-3463000,-5172000,-71993000,-111859000,413868000,None,486508000,-530912000,0,-14711000,-94449000,14801000,150425000,None,None,None
2019-09-30,USD,-369282000,66992000,-369282000,2452000,21188000,5719000,-12021000,-50326000,-181630000,116543000,480077000,None,505832000,-3448000,0,-14711000,-94449000,118425000,172292000,None,None,None
2019-06-30,USD,-387574000,71969000,-387574000,1396000,38441000,-135271000,-41772000,-110148000,-104057000,-52806000,469910000,None,500864000,-3926000,-128014000,-14711000,-94449000,91754000,195839000,None,None,None
2019-03-31,USD,-400065000,62908000,-400065000,-54137000,-331689000,-380164000,-140000,-41495000,-66470000,-270304000,509262000,None,495878000,-26481000,-21854000,-14711000,-94449000,40209000,345928000,None,None,None
2018-12-31,USD,None,72148000,-654190000,-2327000,409571000,380484000,-2607000,-97063000,-149469000,106360000,381643000,None,484161000,-26480000,1406019000,-2602000,-60686000,118102000,180646000,None,None,None
2018-09-30,USD,None,65384000,-387873000,-2000,-12405000,-892893000,-1025000,-90315000,-235544000,-837369000,443202000,None,474772000,-26694000,None,-2602000,-60686000,213181000,176511000,None,None,None
2018-06-30,USD,None,66169000,-329336000,13339000,-12055000,-42510000,-275000,-82960000,-66705000,86093000,458188000,None,488320000,-26265000,0,-2602000,-60686000,39059000,174729000,None,None,None
2018-03-31,USD,None,61804000,-366811000,213000,-661873000,747920000,-141000,1419000,-157437000,885296000,504574000,None,483676000,-26265000,0,-2602000,-60686000,102265000,171203000,None,None,None
2017-12-31,USD,None,216784000,-1402191000,27896000,619127000,-143069000,-12197000,-119360000,638188000,47008000,1591930000,None,1863299000,-749999000,None,4944000,-60113000,-661288000,713347000,None,None,None
2017-09-30,USD,None,0,-389921000,1136000,-12384000,-22359000,-9975000,89600000,-62030000,106667000,1262340000,None,467929000,-749999000,1409934000,4944000,-60113000,22404000,547872000,None,None,None
2017-06-30,USD,None,0,-324064000,13267000,321910000,-53613500,-524000,15626500,-116765500,-5950500,371706000,None,459658000,None,None,4944000,-60113000,11706000,184179000,None,None,None
2017-03-31,USD,None,59932000,-308250000,21435000,647422000,96598000,-824000,26400000,-140875000,200378000,412006000,None,460929000,None,1409934000,4944000,-60113000,-4220000,185997000,None,None,None
2016-12-31,USD,None,158681000,-9384869000,70868000,4647470000,8828775000,3522754000,-117975000,-536587000,60132000,617523000,None,1232967000,None,3662201000,-8797000,-34221000,-82597000,547093000,None,None,None
2016-09-30,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,None,None,None
2016-06-30,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,None,None,None
2016-03-31,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,None,None,None
2015-12-31,USD,None,14749000,-2101660000,-39489000,1355300000,2069815000,-40376000,-25079000,-72844000,4465000,36310000,None,125198000,None,754891000,-5853000,-9236000,1027000,64668000,None,None,None
2015-09-30,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,None,None,None
2015-06-30,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,None,None,None
