fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,1331387000,1268247000,376347000,955040000,530562000,-106741000,None,None,-134572000,None,414031000,None,63140000,None,187265000,-27831000,None,-187265000,None,None,None,-27831000,-10447000,None,-106741000,-106741000,None
2020-03-31,USD,1369752000,1350237000,407986000,961766000,336134000,-300293000,None,None,-378257000,None,453227000,None,19515000,109000000,225367000,-77964000,-225367000,-225367000,None,None,None,-77964000,-172405000,None,-300293000,-300293000,None
2019-12-31,USD,1298283000,1214903000,369681000,928602000,551645000,-71993000,None,None,-88459000,None,358714000,None,83380000,109000000,153596000,-16466000,-153596000,-153596000,None,None,None,-16466000,-18243000,None,-71993000,-71993000,None
2019-09-30,USD,1300570000,1241033000,356556000,944014000,440266000,-181630000,None,None,-217997000,None,378645000,None,59537000,109000000,152431000,-36367000,-152431000,-152431000,None,None,None,-36367000,-125103000,None,-181630000,-181630000,None
2019-06-30,USD,1283744000,1183617000,338089000,945655000,528600000,-104057000,None,None,-126905000,None,344664000,None,100127000,109000000,154641000,-22848000,-154641000,-154641000,None,None,None,-22848000,-72391000,None,-104057000,-104057000,None
2019-03-31,USD,1243060000,1146345000,325958000,917102000,565952000,-66470000,None,None,-88831000,None,324509000,None,68875000,None,158905000,-22361000,-158905000,-158905000,None,None,None,-22361000,-26641000,None,-66470000,-66470000,None
2018-12-31,USD,1185450000,1099415000,283431000,902019000,86035000,-149469000,0,0,-153092000,0,331823000,None,86035000,0,-161987000,None,None,None,0,0,0,-3623000,-239127000,0,-149469000,-149469000,None
2018-09-30,USD,1148316000,1033177000,263286000,885030000,115139000,-235544000,0,0,-243245000,0,295119000,None,115139000,0,-152405000,None,None,None,0,0,0,-7701000,-358384000,0,-235544000,-235544000,None
2018-06-30,USD,1131459000,1057083000,246225000,885234000,74376000,-66705000,0,0,-71276000,0,322538000,None,74376000,0,-174479000,None,None,None,0,0,0,-4571000,-145652000,0,-66705000,-66705000,None
2018-03-31,USD,1116448000,1047040000,248394000,868054000,69408000,-157437000,0,0,-165005000,0,314970000,None,69408000,0,-174333000,None,None,None,0,0,0,-7568000,-234413000,0,-157437000,-157437000,None
2017-12-31,USD,1105532000,3994150000,237641000,3413474000,306170000,638188000,0,0,-445413000,0,286152000,None,105685000,42828000,179312000,None,None,None,0,0,0,-757414000,-751583000,0,312001000,638188000,None
2017-09-30,USD,1082962000,1086600000,224140000,840811500,-16466000,-134358500,0,0,-188490500,0,284137000,None,106756000,42828000,184369000,None,None,None,0,0,0,-54132000,-172024500,0,-134358500,-134358500,None
2017-06-30,USD,1067780000,-2102576000,215250000,-1675042500,-11604000,305859500,0,0,384657500,0,283635000,None,110508000,-85656000,188099000,None,None,None,0,0,0,78798000,396261500,0,305859500,305859500,None
2017-03-31,USD,1059228000,1032889000,218705000,840523000,26339000,-140875000,0,0,-172440000,0,291683000,None,87911000,42828000,181061000,None,None,None,0,0,0,-31565000,-198779000,0,-140875000,-140875000,None
2016-12-31,USD,1113997000,2792081000,693430000,2256336000,157685000,-536587000,0,0,-802738000,0,858896000,None,227318000,6788000,521491000,None,None,None,0,0,0,-266151000,-960423000,0,-536587000,-536587000,None
2016-09-30,USD,1037507000,0,0,0,0,0,0,0,0,0,0,None,0,0,0,None,None,None,0,0,0,0,0,0,0,0,None
2016-06-30,USD,690688000,0,0,0,0,0,0,0,0,0,0,None,0,0,0,None,None,None,0,0,0,0,0,0,0,0,None
2016-03-31,USD,170419000,0,0,0,0,0,0,0,0,0,0,None,0,0,0,None,None,None,0,0,0,0,0,0,0,0,None
2015-12-31,USD,549276000,545457000,249112000,300164000,3819000,-72844000,0,0,-102184000,0,159111000,None,3819000,12036000,-74298000,None,None,None,0,0,0,-29340000,-106003000,0,-72844000,-54253000,None
2015-09-30,USD,0,0,0,0,0,0,0,0,0,0,0,None,0,0,0,None,None,None,0,0,0,0,0,0,0,0,None
2015-06-30,USD,0,0,0,0,0,0,0,0,0,0,0,None,0,0,0,None,None,None,0,0,0,0,0,0,0,0,None
