fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,522672000,25455000,None,9290000,158478000,364194000,21908000,12090000,797000,787220000,47190000,6968000,40325000,69059000,107154000,None,None,-15346000,65194000,314874000,84383000,331771000,9033000,121361000,None,106131000,95064000,None,None,797000,None,787220000,-686555000,None,18225000,None,7573000,None,None,29416000,51324000,None,None,None,278078000,522672000,78092000,None,47957000
2020-03-31,USD,498270000,26472000,None,7419000,134555000,363715000,18321000,12465000,797000,790849000,40125000,6968000,35031000,71285000,89418000,None,None,-17809000,66500000,293789000,79136000,330275000,5984000,109586000,None,99515000,76953000,None,None,797000,None,790849000,-686545000,None,17958000,7447000,204481000,None,None,26816000,45137000,None,None,None,276423000,498270000,77269000,None,47957000
2019-12-31,USD,545118000,27821000,None,7892000,164692000,380426000,21698000,11963000,797000,806702000,46163000,6968000,35070000,73773000,112711000,24600000,24600000,-16417000,73708000,320310000,94489000,345637000,33243000,107097000,None,98305000,76148000,None,None,797000,None,806702000,-685288000,None,14261000,7561000,224808000,None,None,30283000,51981000,None,None,None,274632000,545118000,107016000,None,48020000
2019-09-30,USD,579875000,29113000,None,10327000,184920000,394955000,None,14022000,797000,827783000,41111000,6968000,31846000,96407000,128150000,25600000,25600000,-16506000,73384000,350003000,90632000,358874000,28754000,109574000,None,104941000,88528000,None,None,797000,None,827783000,-689973000,None,23283000,6492000,229872000,None,None,56770000,56770000,None,None,None,272854000,579875000,125161000,None,47826000
2019-06-30,USD,639786000,30503000,None,8909000,193811000,445975000,None,12910000,797000,878630000,42097000,6968000,65243000,106817000,145365000,25600000,25600000,-14095000,78813000,383369000,87280000,408504000,30888000,141645000,None,95110000,106855000,None,None,797000,None,878630000,-690340000,None,13820000,39033000,256417000,None,None,48446000,48446000,None,None,None,270983000,639786000,137705000,None,47811000
2019-03-31,USD,632623000,31817000,None,9683000,189076000,443547000,None,15230000,797000,879180000,40400000,6982000,42274000,109119000,141875000,25600000,25600000,-14885000,79505000,377316000,85227000,404748000,31290000,133615000,6801000,93609000,101045000,None,None,797000,None,879180000,-691074000,None,14885000,36891000,255307000,None,None,47201000,47201000,None,None,None,269529000,632623000,140409000,None,47777000
2018-12-31,USD,628027000,33183000,None,2400000,181748000,446279000,800000,39081000,797000,883975000,39138000,7106000,86711000,105504000,118010000,None,None,-14416000,80635000,355426000,64966000,405990000,3246000,136084000,24600000,99848000,61054000,None,None,797000,None,883975000,-691747000,None,5668000,37187000,272601000,None,24600000,39138000,63738000,None,None,None,267670000,628027000,108750000,None,48000000
2018-09-30,USD,648830000,24254000,None,10428000,185229000,463601000,None,17004000,797000,900324000,36101000,3492000,94464000,94173000,123528000,25600000,25600000,-9564000,81457000,348522000,144241000,460109000,5912000,131949000,25600000,106060000,106524000,None,None,797000,None,900324000,-693713000,None,31523000,39595000,300308000,None,25600000,36101000,61701000,None,None,None,265757000,648830000,100085000,None,47711000
2018-06-30,USD,639570000,25191000,None,9464000,179943000,459627000,3639000,14307000,797000,897586000,38240000,3492000,89953000,100319000,116103000,25600000,25600000,-9118000,82910000,340687000,144437000,456135000,6069000,104298000,25600000,120537000,101796000,0,0,797000,0,897586000,-693756000,None,32429000,35615000,298883000,None,25600000,38240000,63840000,None,None,None,264118000,639570000,106388000,None,47733000
2018-03-31,USD,642647000,29823000,None,9693000,166911000,475736000,4154000,13948000,797000,909611000,38744000,3492000,214026000,82623000,102567000,25600000,25600000,-5803000,83875000,344746000,156472000,472244000,16402000,116007000,25600000,120021000,88619000,0,0,797000,0,909611000,-691202000,None,32635000,21427000,297901000,None,25600000,34590000,64344000,None,None,None,262333000,642647000,99025000,None,47914000
