fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,660921000,53073000,None,11398000,166060000,494861000,None,None,16000,131597000,655000,275433000,1547000,158549000,93685000,948000,948000,None,14707000,296336000,None,494861000,None,126389000,59048000,None,92737000,None,None,16000,None,131597000,None,None,349878000,None,364585000,20074000,59048000,13327000,72375000,None,None,None,363248000,660921000,158549000,None,15665000
2020-03-31,USD,644819000,55304000,None,6505000,158011000,486808000,None,None,16000,124690000,655000,275364000,1606000,130463000,84606000,956000,956000,None,34494000,278051000,None,486808000,None,141083000,59112000,None,83650000,None,None,16000,None,124690000,None,None,352977000,None,352977000,21063000,59112000,14293000,73405000,None,None,None,362102000,644819000,130463000,None,15660000
2019-12-31,USD,636748000,57079000,None,7993000,161156000,475592000,None,None,15000,116032000,163000,275368000,1647000,111714000,87528000,728000,728000,None,12156000,269387000,None,475592000,None,149680000,59164000,None,86800000,None,None,15000,None,116032000,None,None,355205000,None,367361000,21535000,59164000,14464000,73628000,None,None,None,359545000,636748000,111714000,None,15617000
2019-09-30,USD,619110000,41119000,None,8822000,149122000,469988000,866000,None,15000,113084000,1029000,162016000,None,239609000,76286000,970000,970000,None,11527000,386476000,None,469988000,None,138045000,59248000,None,75316000,None,None,15000,None,113084000,None,None,221107000,None,232634000,18487000,59248000,12722000,72836000,None,None,None,356889000,619110000,239609000,None,15559000
2019-06-30,USD,408684000,36480000,None,9148000,119343000,289341000,617000,None,13000,108217000,859000,145812000,None,54792000,69324000,955000,955000,None,11428000,196704000,None,289341000,None,132764000,36231000,None,68369000,None,None,13000,None,108217000,None,None,200552000,None,211980000,18772000,36231000,13171000,50019000,None,None,None,181111000,408684000,54792000,None,13219000
2019-03-31,USD,378923000,22531000,None,7146000,97295000,281628000,615000,5154000,13000,102699000,857000,135399000,None,66170000,67384000,5154000,5154000,None,10843000,193459000,None,281628000,None,120143000,17375000,None,67384000,None,None,13000,None,102699000,None,None,174621000,None,185464000,16833000,17375000,11921000,29911000,None,None,None,178916000,378923000,66170000,None,13178000
2018-12-31,USD,355388000,23784000,None,7098000,79855000,275533000,494000,None,13000,97837000,1129000,135442000,None,70406000,61504000,62000,62000,None,10658000,185504000,None,275533000,None,108000000,17222000,None,61442000,None,None,13000,None,97837000,None,None,159226000,None,169884000,None,17222000,635000,18351000,None,None,None,177683000,355388000,70406000,None,13126000
2018-09-30,USD,430778000,26197000,None,6935000,162968000,267810000,1098000,847000,13000,91806000,1739000,134063000,160260000,147477000,62338000,2318000,2204000,None,9453000,261065000,None,267810000,0,106653000,98891000,0,59173000,0,0,13000,0,91806000,0,None,160260000,None,169713000,None,98891000,641000,100630000,None,None,None,175991000,430778000,147477000,None,13097000
2018-06-30,USD,343426000,28090000,None,5918000,157067000,186359000,946000,847000,12000,88260000,1373000,133082000,161172000,69217000,56336000,2494000,2201000,None,8398000,173856000,None,186359000,0,98721000,99358000,0,52995000,0,0,12000,0,88260000,0,None,161172000,None,169570000,None,99358000,427000,100731000,None,None,None,98087000,343426000,69217000,None,11697000
2018-03-31,USD,272853000,16480000,None,7250000,92032000,180821000,0,1055000,12000,83963000,1254000,93090000,1472000,63406000,51382000,2761000,2130000,None,7384000,154427000,None,180821000,0,83771000,39396000,0,48621000,0,0,12000,0,83963000,0,None,111042000,None,118426000,None,39396000,1254000,40650000,None,None,None,96846000,272853000,63406000,None,11691000
2017-12-31,USD,267110000,106935000,None,8379000,92030000,175080000,0,44800000,12000,79105000,446000,90339000,108536000,53754000,52170000,3099000,3099000,None,7489000,151085000,None,175080000,0,88952000,39860000,0,49071000,0,0,12000,0,79105000,0,None,108536000,None,116025000,None,39860000,None,39860000,None,None,None,95963000,267110000,53754000,None,11632000
2017-09-30,USD,267901000,108064000,None,6267000,95631000,172270000,0,46942000,12000,77029000,None,91821000,112117000,45688000,55259000,3407000,3407000,None,7494000,148290000,None,172270000,0,96335000,40372000,0,51852000,0,0,12000,0,77029000,0,None,112117000,None,119611000,None,40372000,None,40372000,None,None,None,95229000,267901000,45688000,None,11634000
2017-06-30,USD,256194000,87226000,None,3884000,88058000,168136000,0,40590000,12000,73622000,None,73906000,91279000,15873000,47072000,3052000,44038000,None,7191000,157724000,None,168136000,0,137967000,40986000,0,44020000,0,0,12000,0,73622000,0,None,91279000,None,98470000,None,40986000,None,40986000,None,None,None,94502000,256194000,15873000,None,11625000
2017-03-31,USD,238664000,88273000,None,3959000,74096000,164568000,0,44215000,12000,70922000,None,73906000,92326000,19156000,52219000,2551000,2551000,None,7049000,139289000,None,164568000,0,116174000,21877000,0,49668000,0,0,12000,0,70922000,0,None,92326000,None,99375000,None,21877000,None,21877000,None,None,None,93634000,238664000,19156000,None,11628000
2016-12-31,USD,231030000,89319000,None,5998000,72102000,158928000,0,42603000,12000,66663000,None,73906000,93372000,8013000,49620000,2531000,2531000,None,6648000,131010000,900000,158928000,0,116999000,22482000,0,47089000,0,0,12000,0,66663000,0,None,93372000,None,100020000,None,22482000,None,22482000,None,None,None,92253000,231030000,8013000,None,11527000
2016-09-30,USD,230440000,90522000,None,4485000,79979000,150461000,6815000,43929000,12000,59095000,None,73851000,91422000,39446000,50441000,2244000,2244000,None,5993000,133025000,None,150461000,0,89094000,22723000,0,48197000,0,0,12000,0,59095000,0,None,91422000,None,97415000,None,22723000,None,29538000,None,None,None,91354000,230440000,39446000,None,11464000
2016-06-30,USD,242902000,91844000,None,4520000,94584000,148318000,6815000,40715000,12000,57396000,None,73891000,92744000,8240000,47591000,2286000,2286000,None,7634000,142524000,None,148318000,0,129764000,40178000,0,45305000,0,0,12000,0,57396000,0,None,92744000,None,100378000,None,40178000,None,46993000,None,None,None,90910000,242902000,8240000,None,11455000
2016-03-31,USD,229218000,93211000,None,3933000,86828000,142390000,6815000,1250000,11000,54796000,None,73931000,94111000,9080000,48943000,2217000,None,None,7683000,127424000,None,142390000,0,114411000,31070000,0,45476000,0,0,11000,0,54796000,0,None,94111000,None,101794000,None,31070000,None,37885000,None,None,None,87583000,229218000,9080000,None,11136000
