fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,-85509000,5370000,-88627000,None,27000,2731000,-222000,1971000,-29200000,-102803000,-16907000,1049000,1047000,None,2926000,None,None,4827000,3118000,None,None,-102803000
2020-03-31,USD,-66533000,-915000,-70743000,-66533000,-27000,148624000,139001000,2995000,-22906000,64265000,-13616000,6424000,420000,None,9650000,None,None,3361000,4210000,None,None,64265000
2019-12-31,USD,-10837000,48000,-19210000,-48826000,-28000,26771000,-59000,2924000,-18925000,-7274000,-14835000,2099000,-897000,None,26858000,None,None,2840000,8373000,None,None,-7274000
2019-09-30,USD,-8825000,4164000,-15016000,-37989000,-28000,-91000,-207000,3159000,-16118000,-24637000,-9530000,-618000,373000,None,144000,None,None,2669000,6191000,None,None,-24637000
2019-06-30,USD,-34095000,-454000,-36592000,-29164000,-28000,1881000,-700000,856000,-14954000,-46299000,-11588000,776000,420000,None,2609000,None,None,2624000,2497000,None,None,-46299000
2019-03-31,USD,4931000,-2499000,2745000,4931000,-28000,-370000,-504000,-1230000,-14489000,-10842000,-13217000,1543000,426000,None,162000,None,None,1802000,2186000,None,None,-10842000
2018-12-31,USD,8184000,674000,8027000,70253000,-57000,-21000,-154000,1581000,-15659000,-4724000,-12730000,-443000,508000,None,190000,None,None,2190000,157000,None,None,-4724000
2018-09-30,USD,21408000,-2041000,21138000,0,-30000,-15000,-101000,-2082000,-20958000,4223000,-16900000,-1206000,262000,0,116000,0,0,7043000,270000,None,None,4223000
2018-06-30,USD,15062000,2162000,14896000,0,-88000,187000,-135000,251000,-18810000,3733000,-11350000,-931000,640000,0,410000,0,0,5589000,166000,None,None,3733000
2018-03-31,USD,25599000,-647000,25383000,0,100000,69798000,-801000,899000,-17200000,82197000,-12984000,818000,459000,0,70499000,0,0,3586000,216000,None,None,82197000
2017-12-31,USD,34789000,401000,34691000,0,-75000,16645000,-104000,-126000,-14789000,39138000,-12198000,-774000,1097000,0,16749000,0,886000,1867000,98000,None,-332000,38806000
2017-09-30,USD,2811000,1095000,2625000,0,100000,-239000,-209000,319000,-13829000,-7599000,-9985000,-460000,536000,0,-30000,0,886000,2673000,186000,None,-211000,-7810000
2017-06-30,USD,-20197000,-3902000,-20666000,0,100000,155000,-292000,-505000,-11430000,-31932000,-11421000,1151000,540000,0,155000,0,886000,2220000,469000,None,-114000,-32046000
2017-03-31,USD,-138591000,1352000,-138854000,0,None,187000,-292000,-457000,-16099000,-150484000,-11817000,-348000,516000,0,187000,0,886000,1876000,263000,886000,-117000,-150601000
2016-12-31,USD,37738000,-648000,-924000,0,100000,203000,73000,-1172000,-22394000,-9063000,-8342000,1372000,487000,0,130000,0,-437000,12746000,924000,95000,-38000,-9101000
2016-09-30,USD,-138591000,3192000,-362000,0,100000,4000,-380000,-2406000,-14301000,-10005000,-9647000,-2362000,453000,0,284000,0,0,3323000,362000,48000,-26000,-10031000
2016-06-30,USD,-138591000,454000,2445000,3449000,100000,87000,-493000,612000,-61660000,-5692000,-8224000,628000,343000,0,87000,0,0,51923000,1004000,88000,-88000,-5780000
2016-03-31,USD,37738000,-927000,37616000,0,None,262000,None,None,-15392000,25725000,-12153000,441000,320000,0,262000,0,668000,4073000,122000,-668000,9000,25734000
2015-12-31,USD,30250000,-200000,30062000,0,100000,-275000,-282000,1410000,-14094000,20661000,-9126000,227000,516000,0,7000,0,-6000,4431000,188000,-6000,11000,20672000
2015-09-30,USD,10642000,-875000,9323000,0,None,50000,None,None,-14084000,153000,-9220000,-495000,494000,0,50000,0,0,5740000,1319000,None,-14000,139000
2015-06-30,USD,8901000,-617000,7827000,0,None,110000,None,None,-9766000,-1313000,-9250000,73000,405000,0,131000,0,0,655000,1074000,None,1000,-1312000
