fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,None,None,None,None,None,None,None,None,32848635,-308267948,1462248,None,68583,None,None,None,None,14316718,386717,None,None,18801117,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-03-31,USD,28875180,None,None,11370,7094310,21780870,None,None,32848635,-305153210,1325004,None,68856,5230840,5665660,None,None,14201448,482942,28323380,None,21780868,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,103650,None,None,None,None,None,286392910,None,27126170,None,27000000
2019-12-31,USD,33028740,None,None,13970,7504910,25523830,None,None,32848635,-300847289,1647128,None,68911,4646880,5680560,None,None,13718822,570966,32388860,None,25523829,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,177220,None,None,None,None,None,286375980,None,31536800,None,None
2019-09-30,USD,None,None,None,None,None,None,None,None,32848635,-300847289,1647128,None,68911,None,None,None,None,13718822,570966,None,None,25523829,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2019-06-30,CHF,37968970,None,None,6490,5695980,32272990,None,None,32848640,-287034070,1177074,None,54400,36747903,4404890,None,None,13291434,419050,37495520,None,32272986,6486,286312,None,None,1893678,None,None,None,None,None,None,None,None,None,None,None,114020,None,None,None,None,None,286458420,None,36747900,None,None
2019-03-31,USD,37968965,None,None,None,5695979,32272986,None,None,32848635,-293607314,1177074,None,54400,36747903,4404887,None,None,13291434,419050,37495515,None,32272986,6486,286312,None,None,1893678,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2018-12-31,CHF,42213840,0,None,7980,2973180,39240660,0,216731.87,28564030,-275800280,651335.57,0,54400,42451261.21,2333830,0,0,13019101.47,8870,42150570,0,39976222.49,8132.64,278133.66,0,0,1170335.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286476910,0,41670160,0,0
2018-09-30,USD,42213839,None,None,None,2973179,39240660,None,212744,28564031,-286066685,639351,None,54404,41670158,2333828,None,None,12779550,8868,42150567,None,39240660,7983,273016,None,None,1148801,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2018-06-30,CHF,44870350,0,None,0,2596840,42273510,0,0,26371850,-270232870,0,0,7140,0,2353380,0,0,0,4060,44859150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286134530,0,43573500,0,0
2017-12-31,CHF,3225587.52,0,None,487347.84,1811888.12,1413709.94,0,0,14131539.48,-284119640.84,0,0,7465.91,0,1555088.31,0,0,0,2895.80,3215225.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278836445.32,0,2727888.51,0,0
2017-06-30,USD,4014797.04,0,None,272566,1531795.89,2483001.15,0,0,13827851.40,0,0,0,7419.39,0,1294458.94,0,0,0,4831.47,4002546.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276264374.41,0,3729980.17,0,0
