fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,None,-2900264,-2124,None,-94172,None,-7293,-787133,None,None,-6166717,None,None,None,None,None,None,575450,0,None,None,None
2020-03-31,USD,None,55551,-8510,None,-91594,-209990,-115800,-395730,-4305920,-4410630,-4160314,None,96160,None,-2600,None,None,339052,8510,None,None,None
2019-12-31,USD,None,620124,-10394,-14800,-83838,-463700,-8845,-136365,-14780600,-10133360,-2433393,None,333840,None,5990,None,None,530168,28460,None,None,None
2019-09-30,USD,None,620124,-10394,None,-83838,None,-8845,-136365,None,None,-2433393,None,None,None,None,None,None,530168,0,None,None,None
2019-06-30,USD,None,0,-10394,-1500,-83838,-284320,-8845,-136365,-7540630,-4922260,-2433393,None,156790,None,None,None,-6648,530168,22470,None,None,None
2019-03-31,USD,None,894842,-11233,None,-74559,-142906,-67599,-126954,-3770315,-2461128,-2307659,None,78397,None,None,None,-6648,623019,11233,None,None,None
2018-12-31,CHF,-24102.49,436551.55,-56370,-47320,-75956.60,37385090,-3097720,-93261,-1644800,39090910,1751730,0,2940,0,40482810,0,-39289.93,799693.36,9050,0,0,0
2018-09-30,USD,-23659,428519,-27156,None,-74559,-35877,-63006,-91545,-1999539,-946025,-915056,None,1096,None,None,None,-38567,784979,3497,None,None,None
2018-06-30,CHF,0,0,-2060,0,0,37456840,-2970590,0,2354280,40982960,3581840,0,750,0,40427430,0,0,0,2060,0,0,0
2017-12-31,CHF,0,0,-718.32,0,0,3532879.60,3532879.60,0,-3366249.36,1236434.15,-2190815.80,0,16058.54,0,0,0,0,0,718.32,0,0,0
2017-06-30,USD,0,0,0,0,0,3377564.44,3377564.44,0,0,2251987.90,0,0,13231.76,0,0,0,0,0,0,0,0,0
