fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-3114738,None
2020-03-31,USD,952460,None,None,None,None,-4305920,None,None,-4305920,None,1672520,None,-4272670,None,None,None,-33240,None,None,None,None,None,None,None,None,-4305921,None
2019-12-31,USD,1606740,None,None,None,None,-7239980,None,None,-7239980,None,2163230,None,-7116540,None,None,None,-123440,None,None,None,None,None,None,None,None,-3619987,None
2019-09-30,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-3619987,None
2019-06-30,USD,1226920,4357274,2209648,-1596187,-3743813,-7540630,737268,None,-7540630,None,2820720,None,-7487630,None,-36978,None,-53010,None,None,None,None,None,-26502,None,-3770315,-3619987,None
2019-03-31,USD,613461,4357274,2209648,-1596187,-3743813,-3770315,737268,None,-3770315,None,1410359,None,-3743813,None,-36978,None,None,None,None,None,None,None,-26502,None,-3770315,-3770315,None
2018-12-31,CHF,1335220,2657785.25,924612.88,-244486.55,-1977660.96,-3999080,519420.33,0,-3999080,0,2382840,0,-3882550,0,-42957.42,None,-116530,None,0,0,0,0,-59360.23,0,-2037020.17,-3999080,0
2018-09-30,USD,667612,2608882,907600,-239988,-1941272,-1999539,509863,None,-1999539,None,1191420,None,-1941272,None,-42167,None,None,None,None,None,None,None,-58268,None,-1999539,-1999539,None
2018-06-30,CHF,5367450,0,0,0,0,2354280,0,0,2354280,0,825670,0,2457920,0,0,None,-103630,None,0,0,0,0,0,0,0,2354280,0
2017-12-31,CHF,287611.15,0,0,0,0,-1532314.01,0,0,-1532314.01,0,289917.26,0,-1522042.07,0,0,None,None,None,0,0,0,0,0,0,0,-1532314.01,0
2017-06-30,USD,236627.36,0,0,0,0,0,0,0,0,0,866878.85,0,0,0,0,None,None,None,0,0,0,0,0,0,0,0,0
