fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-04-30,USD,-120000,301000,-120000,-120000,None,-107000,None,-760000,-6323000,-5939000,-5712000,-576000,318000,None,-107000,None,0,568000,120000,None,None,-5939000
2020-01-31,USD,-238000,-1462000,-238000,-238000,None,9739000,None,599000,-7857000,1793000,-7708000,780000,320000,None,9739000,None,0,511000,238000,None,None,1793000
2019-10-31,USD,-307000,-1121000,-307000,-307000,None,14000,13000,-20000,-10188000,-9392000,-9099000,912000,345000,None,1000,None,0,953000,382000,None,None,-9392000
2019-07-31,USD,-182000,441000,-182000,-182000,None,15490000,-2000,951000,-9858000,8049000,-7259000,4154000,374000,None,15492000,None,0,844000,182000,None,None,8049000
2019-04-30,USD,-157000,-1956000,-157000,-148000,None,9053000,-2000,-322000,-9383000,996000,-7900000,-2288000,383000,None,9055000,None,1521000,609000,9000,1521000,None,996000
2019-01-31,USD,-552000,-4691000,-552000,-507000,None,14000,-11000,-644000,12817000,-12408000,-11870000,-18978000,381000,None,25000,None,143000,-1542000,45000,143000,None,-12408000
2018-10-31,USD,46404000,3976000,-328000,-284000,None,18240000,39230000,2259000,-18598000,4707000,-13205000,2231000,386000,0,-20990000,0,143000,-1200000,44000,None,None,4707000
2018-07-31,USD,8990174,-5943964,8743351,-142475,None,-58963,-235155,-604593,-14017462,-9442821,-18127209,-631457,380765,0,176192,0,143000,2084909,104348,None,None,-9442821
2018-04-30,USD,23460000,-4456705,22720119,-635665,None,18366977,-93785,-2006086,-13407072,22944227,-18142869,-2036310,370721,0,18460762,0,143000,1386497,104216,None,None,22944227
2018-01-31,USD,13953826,-1222331,12037530,-743860,None,2648986,-216060,1301679,-20492466,2032594,-12653922,5723767,357514,0,2865046,0,0,2979594,1172436,None,None,2032594
2017-10-31,USD,27959667,3275496,27129601,-800093,None,147234,-1908508,-402000,-23261149,8886354,-18390481,-3504828,327486,0,2055742,0,0,3125858,29973,None,None,8886354
2017-07-31,USD,10857820,-9504207,9428400,-352637,None,541846,-165147,773181,-32625595,-15010608,-24980854,-628223,303376,0,706993,0,0,14475976,1076783,2997819,None,-15010608
2017-04-30,USD,-6060354,846988,-7801621,-525752,None,-285440,-285440,-912722,-20467655,-27542543,-19455482,-853739,257568,0,0,0,0,5305009,1215515,-4543653,None,-27542543
2017-01-31,USD,-40002836,-4994853,-41211268,-81432,None,124062,124062,2586316,-17081003,-55184374,-14097168,2620265,231990,0,0,0,0,5227255,1127000,-100822,None,-55184374
2016-10-31,USD,6005217,8355000,1556000,-587000,None,53704000,-2790580,-3449451,-73556230,46189297,-9143789,None,536192,0,119733876,0,65000,23656622,3222000,None,None,None
2016-07-31,USD,621158,-2201693,-789761,-146390,None,-9920,-551895,-1111655,-16486008,-15182265,-14382584,-224924,132897,0,541975,0,5000,5012957,1264529,24405,None,-15182265
2016-04-30,USD,-1602782,1768638,-2182906,-286046,None,303403,-711513,-3120499,-15522450,-13746017,-11866514,-3049888,109888,0,1014916,0,0,4839567,294078,-12269,None,-13746017
2016-01-31,USD,-2618339,3250088,-3233927,-170391,None,235015,-716107,None,-19844935,-7891205,-4892293,2116183,103980,0,951122,0,0,9489399,445197,-7008,None,-7891205
2015-10-31,USD,-45655103,1094000,-47449887,-587000,None,120541000,-2764065,-188567,-47031118,48954823,-24164335,None,265390,0,0,0,0,21573837,973000,None,None,None
2015-07-31,USD,None,489217,-498322,-191949,None,57053351,-1715111,None,-13562026,51201622,-5353407,1022670,66620,0,58768462,0,0,6630113,306373,None,None,51201622
2015-04-30,USD,None,1176121,-142715,-132417,None,22635734,None,None,-13855259,15362754,-7130265,-1606479,-24622,0,22635734,0,0,7179974,10298,None,None,15362754
