fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,-9792000,7740000,-9792000,-2867000,-538000,-1623000,-1127000,2436000,3503000,-18028000,-6613000,806000,4278000,-1028000,None,-9816000,-14514000,1390000,6925000,-14514000,None,-18028000
2020-03-31,USD,-582000,-66878000,-582000,1630000,-532000,-1602000,-54000,1756000,-11427000,-26030000,-23846000,-5277000,4473000,-1016000,None,16386000,41617000,-2741000,2212000,41618000,None,-26030000
2019-12-31,USD,-9589000,14775000,-9589000,-4895000,-526000,-1542000,-54000,-3753000,2653000,-7374000,3757000,1887000,4375000,-1016000,None,-1507000,-16893000,-1532000,4694000,-16894000,None,-7374000
2019-09-30,USD,-10775000,12904000,-10775000,1542000,-520000,-1536000,-54000,1105000,640000,-2917000,9394000,115000,4393000,-1016000,None,-4923000,-3292000,-443000,12317000,-3292000,None,-2917000
2019-06-30,USD,-9630000,-15076000,-9630000,751000,-433000,-1449000,-54000,1235000,6000,1653000,12732000,-458000,4284000,-1016000,0,9260000,14678000,38000,10381000,14678000,0,1653000
2019-03-31,USD,-6043000,20346000,-6043000,2308000,-218000,-1146000,0,3258000,4908000,13827000,21016000,374000,3589000,-928000,0,-6458000,-2866000,1146000,8351000,-2889000,0,13827000
2018-12-31,USD,0,-34577000,-13763000,484000,-207000,-1134000,0,-537000,-3848000,-13708000,1189000,-1754000,3640000,-927000,0,11981000,23543000,2204000,14247000,23543000,0,-13708000
2018-09-30,USD,0,7994000,-3764000,1264000,-121000,-1049000,0,1072000,2035000,3775000,8588000,-74000,2340000,-928000,0,-13247000,9979000,-439000,5028000,9979000,0,3775000
2018-06-30,USD,0,15847000,-1477000,385000,-84000,-1012000,0,50516.46,3620000,15463000,17952000,351000,2262000,-928000,0,-2246000,-44132.33,-534000,1862000,-1348000,0,15463000
2018-03-31,USD,603000,2228000,-131000,735000,-83000,-1011000,None,1090000,1138000,2143000,3285000,1033000,2412000,-928000,0,-7075000,4200000,-651000,866000,4200000,None,2143000
2017-12-31,USD,-1067000,33852000,1380000,1559000,-118000,-1045000,None,-1122000,3693000,9944000,9609000,1394000,2827000,-927000,0,10206000,-34664000,-2205000,179000,-40158000,None,9944000
2017-09-30,USD,92000,7073000,-25000,332000,-118000,-928000,None,1209000,-3033000,-4238000,-3285000,-1036000,3240000,-928000,0,-6441000,5228000,4848000,357000,-7936000,None,-4238000
2017-06-30,USD,-129000,-15956000,-1080000,22000,-118000,-928000,None,-1963000,-282000,5614000,7622000,543000,3563000,-928000,0,4670000,13581000,-314000,1102000,15398000,None,5614000
2017-03-31,USD,476000,18830000,-491000,515000,-118000,-928000,None,86000,-860000,10731000,12150000,8000,3969000,-928000,0,-7557000,1968000,-272000,1006000,-1968000,None,10731000
2016-12-31,USD,-4700000,14453000,-499000,799000,-118000,-927000,None,104000,-168000,8857000,10283000,944000,4407000,-927000,0,2996000,-15368000,1252000,1298000,-13601000,None,8857000
2016-09-30,USD,-169000,-16030000,-1867000,507000,None,-928000,None,-2591000,-2153000,-12286000,-9491000,-2761000,4514000,-928000,0,-3204000,-48822000,1837000,2374000,8306000,None,-12286000
2016-06-30,USD,-2500000,11834000,90000,3192000,None,-928000,None,-1461000,3404000,7672000,8510000,-1183000,4756000,-928000,0,516000,10073000,-1968000,602000,-8849000,None,7672000
2016-03-31,USD,-2200000,-3221000,-5492000,918000,None,-928000,None,None,1430000,-8778000,-2358000,2487000,5115000,-928000,0,-5707000,0,-1238000,4210000,-1224000,None,-8778000
2015-12-31,USD,-4700000,-34098000,-4346000,381000,-118000,-928000,None,5916000,-8404000,-3358000,1916000,1974000,5631000,-928000,0,7144000,72594000,5897000,4727000,23772000,None,-3358000
2015-09-30,USD,None,-47723000,-1352000,162000,None,-928000,None,None,-308000,11255000,13535000,4005000,5968000,-928000,0,2262000,48822000,-756000,1514000,50087000,None,11255000
2015-06-30,USD,None,16127000,-1118000,50000,None,-929000,None,None,4340000,-4152000,-2105000,-557000,6030000,-929000,0,-2793000,0,490000,1168000,-26766000,None,-4152000
