fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,152286000,7009000,142342000,9944000,3079000,3503000,None,None,3011000,None,2731000,144000,2935000,4278000,68000,-492000,144000,76000,None,None,None,-492000,None,None,3503000,3503000,None
2020-03-31,USD,353477000,7367000,366050000,-12573000,-19575000,-11427000,None,None,-19725000,None,2894000,365000,-19940000,4473000,150000,-8298000,365000,215000,None,None,None,-8298000,None,None,-11427000,-11427000,None
2019-12-31,USD,431339000,6568000,421884000,9455000,3508000,2653000,None,None,3296000,None,2193000,621000,2887000,4375000,212000,643000,621000,409000,None,None,None,643000,0,None,2653000,2653000,None
2019-09-30,USD,450307000,7132000,442872000,7435000,1061000,640000,None,None,819000,None,2739000,758000,303000,4393000,242000,179000,758000,516000,None,None,None,179000,516000,None,640000,640000,None
2019-06-30,USD,484433000,6866000,478210000,6223000,163000,6000,0,0,46000,0,2582000,806000,-643000,4284000,117000,40000,731000,614000,0,0,0,40000,75000,0,6000,6000,0
2019-03-31,USD,445168000,6273000,433642000,11526000,6407000,4908000,0,0,6342000,0,2684000,1154000,5253000,3589000,65000,1434000,591000,591000,0,0,0,1434000,498000,0,4908000,4908000,0
2018-12-31,USD,442649000,6477000,442378000,271000,-5537000,-3848000,0,0,-5586000,0,2837000,669000,-6206000,3640000,49000,None,None,None,0,0,0,-1738000,620000,0,-3848000,-3848000,0
2018-09-30,USD,467891000,3873000,461779000,6112000,2840000,2035000,0,0,2814000,0,1533000,601000,2239000,2340000,26000,None,None,None,0,0,0,779000,1175000,0,2035000,2035000,0
2018-06-30,USD,452417000,4546000,443573000,8844000,4796000,3620000,0,0,4781000,0,2284000,498000,4298000,2262000,15000,None,None,None,0,0,0,1161000,15812.99,0,3620000,3620000,0
2018-03-31,USD,387256000,4695000,381484000,5772000,1464000,1138000,0,0,1445000,0,2283000,387000,1077000,2412000,19000,None,None,None,0,0,0,307000,368000,0,1138000,1138000,None
2017-12-31,USD,408460000,5653000,399050000,9410000,4071000,3693000,0,0,4054000,0,2823000,314000,3757000,2827000,17000,None,None,None,0,3000,0,361000,-1921000,0,3693000,3693000,None
2017-09-30,USD,295311000,6027000,290574000,4737000,-5290000,-3033000,0,0,-5298000,0,2787000,-4000000,-1290000,3240000,8000,None,None,None,0,30000,0,-2265000,-2790000,0,-3033000,-3033000,None
2017-06-30,USD,315202000,5023000,309560000,5642000,-756000,-282000,0,0,-757000,0,1460000,-1375000,619000,3563000,1000,None,None,None,0,-15000,0,-475000,-1218000,0,-282000,-282000,None
2017-03-31,USD,303087000,6606000,298065000,5022000,-1425000,-860000,0,0,-1426000,0,2637000,159000,-1584000,3969000,1000,None,None,None,0,3000,0,-566000,0,0,-860000,-860000,None
2016-12-31,USD,298969000,8878000,290155000,8814000,-50000,-168000,0,0,72000,0,4158000,14000,-64000,4407000,2000,None,None,None,0,313000,0,240000,-850000,0,-168000,-168000,None
2016-09-30,USD,256877000,6628000,252071000,4806000,-2747000,-2153000,0,0,-1577000,0,2114000,-925000,-1822000,4514000,0,None,None,None,0,-1565000,0,-594000,0,0,-983000,-2153000,None
2016-06-30,USD,293163000,6694000,280868000,12295000,5561000,3404000,0,0,5697000,0,1938000,-40000,5601000,4756000,0,None,None,None,0,313000,0,2157000,0,0,3540000,3404000,None
2016-03-31,USD,250531000,7315000,240877000,9654000,2442000,1430000,0,0,2442000,124000,2200000,103000,2339000,5115000,0,None,None,None,0,0,0,888000,0,0,1554000,1430000,None
2015-12-31,USD,348255000,7820000,354255000,-6000000,-13730000,-8404000,0,0,-13738000,0,2189000,90000,-13820000,5631000,8000,None,None,None,0,12082000,0,-5334000,314000,0,-8404000,-8404000,None
2015-09-30,USD,439893000,8069000,432201000,7692000,-313000,-308000,0,0,-314000,0,2101000,64000,-377000,5968000,1000,None,None,None,0,0,0,-6000,0,0,-308000,-308000,None
2015-06-30,USD,600558000,8348000,585289000,15269000,7016000,4340000,0,0,7016000,0,2318000,95000,6921000,6030000,-4000,None,None,None,0,0,0,2676000,0,0,4340000,4340000,None
