fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,-17000000,111000000,-631000000,-22000000,296000000,187000000,-8000000,-57000000,244000000,-40000000,404000000,-79000000,297000000,-123000000,14000000,-42000000,None,29000000,592000000,-156000000,None,-40000000
2020-03-31,USD,-15000000,-192000000,-684000000,-33000000,552000000,421000000,-20000000,-35000000,148000000,27000000,290000000,-17000000,291000000,-124000000,13000000,23000000,None,42000000,636000000,-5000000,None,27000000
2019-12-31,USD,12000000,28000000,-637000000,1000000,265000000,156000000,-8000000,-34000000,95000000,21000000,502000000,14000000,285000000,-123000000,14000000,-6000000,69000000,17000000,650000000,69000000,None,21000000
2019-09-30,USD,-7000000,-38000000,-644000000,-1000000,-10000000,-112000000,-8000000,25000000,366000000,33000000,789000000,98000000,279000000,-119000000,17000000,-54000000,56000000,82000000,636000000,56000000,None,33000000
2019-06-30,USD,2000000,127000000,-587000000,-8000000,199000000,99000000,-1000000,45000000,180000000,4000000,492000000,-19000000,263000000,-118000000,18000000,-31000000,-50000000,22000000,581000000,-50000000,None,4000000
2019-03-31,USD,-3000000,-200000000,-567000000,-20000000,319000000,191000000,-29000000,-3000000,193000000,11000000,387000000,12000000,273000000,-118000000,19000000,81000000,4000000,24000000,544000000,4000000,None,11000000
2018-12-31,USD,-3000000,-21000000,-617000000,-17000000,251000000,148000000,-3000000,-103000000,69000000,15000000,484000000,-8000000,267000000,-118000000,18000000,43000000,105000000,29000000,597000000,105000000,None,15000000
2018-09-30,USD,-6000000,-3000000,-590000000,-7000000,-184000000,-280000000,1000000,119000000,359000000,-4000000,866000000,120000000,264000000,-113000000,16000000,-50000000,41000000,135000000,577000000,41000000,None,-4000000
2018-06-30,USD,-3000000,96000000,-532000000,4000000,67000000,-23000000,-10000000,70000000,240000000,7000000,562000000,70000000,263000000,-113000000,23000000,-22000000,-144000000,59000000,533000000,-144000000,None,7000000
2018-03-31,USD,-4000000,-246000000,-597000000,-14000000,475000000,360000000,-19000000,-25000000,153000000,21000000,258000000,21000000,259000000,-113000000,17000000,68000000,-26000000,29000000,579000000,-26000000,None,21000000
2017-12-31,USD,-4000000,123000000,-620000000,-7000000,272000000,160000000,-39000000,42000000,-59000000,1000000,461000000,-47000000,234000000,-112000000,0,37000000,-53000000,167000000,609000000,6000000,None,1000000
2017-09-30,USD,-4000000,9000000,-526000000,3000000,-147000000,-255000000,-3000000,39000000,290000000,-1000000,780000000,85000000,248000000,-108000000,0,-34000000,0,187000000,525000000,-5000000,None,-1000000
2017-06-30,USD,-3000000,110000000,-520000000,-23000000,98000000,-10000000,-5000000,19000000,194000000,2000000,532000000,4000000,245000000,-108000000,0,-46000000,0,123000000,494000000,-98000000,None,2000000
2017-03-31,USD,-6000000,-183000000,-539000000,-29000000,356000000,207000000,-1000000,26000000,104000000,-1000000,331000000,14000000,247000000,-109000000,-39000000,60000000,44000000,45000000,504000000,44000000,None,-1000000
2016-12-31,USD,-2000000,138000000,-590000000,-8000000,176000000,17000000,-51000000,161000000,33000000,-9000000,564000000,39000000,240000000,-108000000,0,24000000,-71000000,27000000,580000000,63000000,None,-9000000
2016-09-30,USD,-4000000,-4000000,-516000000,-16000000,-170000000,-282000000,-59000000,23000000,369000000,5000000,796000000,23000000,237000000,-105000000,0,-36000000,0,228000000,496000000,-23000000,None,5000000
2016-06-30,USD,-4000000,105000000,-525000000,-17000000,217000000,111000000,-1000000,44000000,147000000,5000000,414000000,44000000,228000000,-104000000,0,-32000000,0,88000000,504000000,-166000000,None,None
2016-03-31,USD,-5000000,-232000000,-510000000,-9000000,20000000,-118000000,-33000000,88000000,107000000,-279000000,349000000,88000000,240000000,-105000000,0,55000000,55000000,36000000,496000000,55000000,None,-279000000
2015-12-31,USD,5000000,-21000000,-614000000,-34000000,450000000,345000000,-30000000,87000000,30000000,220000000,489000000,46000000,227000000,-105000000,0,9000000,83000000,44000000,585000000,154000000,None,220000000
2015-09-30,USD,-2000000,28000000,-487000000,1000000,-103000000,-204000000,None,None,345000000,70000000,761000000,2000000,224000000,-101000000,0,-48000000,0,201000000,486000000,9000000,None,70000000
2015-06-30,USD,3000000,90000000,-436000000,-10000000,64000000,-37000000,None,None,151000000,-4000000,469000000,18000000,222000000,-101000000,0,-50000000,0,70000000,429000000,-32000000,None,-4000000
