fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,EUR,443547000000,None,None,None,417878000000,25646000000,814000000,None,323000000,10351000000,406639000000,None,270015000000,14832000000,None,None,None,7759000000,None,None,158014000000,24142000000,102127000000,None,11240000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-03-31,EUR,None,None,None,None,None,None,814000000,None,323000000,10351000000,406639000000,None,270015000000,None,None,None,None,7759000000,None,None,None,24142000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2019-12-31,EUR,440348000000,1167000000,None,138543891249.70,415907000000,24421000000,831000000,49748883185.01,323000000,10667000000,378393000000,392000000,275471000000,15542000000,120453388273.34,0,58000000,6498000000,536000000,260804751242.74,148667000000,23898000000,91209000000,6655000000,11650000000,0,3256000000,0,0,0,0,0,0,0,0,0,0,311000000,11650000000,0,0,0,0,0,7213000000,0,0,0,0
2019-09-30,EUR,1237437158372.60,31304899634.55,None,98652585868.06,1168754658196,68626297484.27,831000000,35424556983.24,323000000,10668000000,378393000000,1101572769.89,275471000000,34429769328.74,85770928783.26,0,13963558912.40,6498000000,536000000,185710556305.94,243703304399.14,23898000000,14739156066.75,12373022719.12,18774509376.87,0,25771744573.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-30,EUR,423676000000,1638000000,None,138021637907.31,399424000000,24230000000,478000000,0,322000000,9857000000,388390000000,0,268093000000,15116000000,25606982.90,0,0,6704000000,2754000000,250316793646.85,145951000000,22592000000,91387000000,0,11028000000,0,0,0,0,0,0,0,0,0,0,0,0,0,11028000000,0,0,0,0,0,7347000000,0,0,0,0
2019-03-31,EUR,1674265186941.80,45662568177.37,None,127799866279.20,1578427142507.60,95751105749.70,478000000,0,322000000,9857000000,388390000000,0,268093000000,47381583076.31,23710550.34,0,0,6704000000,0,231778532993.42,337385324163.62,22592000000,26804777148.22,0,43579991506.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-12-31,EUR,393031000000,1727000000,None,53708661772.13,370193000000,22838000000,785938193.22,18393377319.23,557427529.10,17302758240.53,576861322406.96,666489436.98,416716894261.42,8744000000,42648399401.06,0,2387243983.36,22838000000,2700000000,101382564642.13,140106466501.31,38138776067.76,10308947005.74,7348695220.73,13583000000,0,15341375040.28,0,0,0,0,0,0,0,0,0,0,0,13583000000,0,0,0,0,0,0,0,0,0,0
2018-09-30,USD,454541560546.42,13658254225.52,None,35916878907.15,428416300069.46,26099791618.43,525584626.07,12300300995.60,372771474.88,11570965501.27,385767538782.13,445705024.31,278673304005.56,10120398240.33,28520490854.36,0,1596434359.81,5879833294.74,272053716.14,67798101412.36,93694142162.54,25504746469.09,6893956934.48,4914332021.30,14128270432.97,0,10259319286.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-30,EUR,388891000000,1347000000,None,64698151606.70,365112000000,23779000000,1118528111.84,15216953557.01,322000000,10020000000,855261392962.78,296000000,608625944302.77,9585000000,15216953557.01,0,1305380322257600,1788000000,2514000000,122836757241.92,205503441560.74,58141091253.27,15291522097.82,0,14887000000,0,0,0,0,0,0,0,0,0,0,0,0,0,14887000000,0,0,0,0,0,7612000000,0,0,0,0
2018-03-31,USD,478399557141.10,14319104440.89,None,32019928650.51,449124123508.43,29252060524.05,553573625.29,7531061631.20,396112682.99,12377906261.53,423279616188.95,364128429.08,301216631812.03,11791118218.72,7531061631.20,0,29526266794939000,7114036166.81,0,60793455529.59,101706236929.51,28774757042.69,7567966539.55,0,18313445688.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
