fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,245017000,2878000,233412000,53575000,9906000,3856000,None,None,5216000,140000,None,1179000,8727000,663000,4690000,1220000,None,-4475000,None,2215000,None,1220000,-1914000,None,3996000,3856000,None
2020-03-31,USD,287375000,2140000,283839000,49884000,2049000,-1632000,None,None,-1147000,329000,None,653000,1396000,2140000,3196000,156000,228000,-2968000,None,None,None,156000,-1715000,None,-1303000,-1632000,None
2019-12-31,USD,309502000,-66569000,396355000,63711000,-7105000,-14561000,6400000,None,-10505000,-1986000,39892000,-3744000,-3361000,5237000,3400000,3154000,224000,-3176000,None,10395000,None,3154000,-19600000,None,-13659000,-14561000,None
2019-09-30,USD,308789000,3277000,290863000,66792000,9681000,6036000,6400000,None,6235000,313000,47006000,-4968000,14649000,3277000,3446000,-114000,268000,-3178000,None,None,None,-114000,-8513000,None,6349000,6036000,None
2019-06-30,USD,318740000,51254000,251303000,67437000,-295000,-8366000,6400000,None,-3861000,219000,49049000,-754000,459000,3778000,3566000,4286000,261000,-3305000,None,11946000,None,4286000,-16739000,None,-8147000,-8366000,None
2019-03-31,USD,276904000,47870000,228609000,48295000,-1163000,-4001000,6400000,None,-4753000,10000,47870000,-389000,-774000,113000,3590000,-762000,-3305000,-3305000,None,1086000,None,-762000,-1873000,None,-3991000,-4001000,None
2018-12-31,USD,333998000,58073000,272302000,61696000,-557000,-2477000,5600000,0,-4648000,-299000,47300000,445000,-1002000,980000,4091000,None,None,None,-500000,3645000,0,-1872000,-14620000,0,-2776000,-2477000,None
2018-09-30,USD,339679000,51386000,267006000,72673000,3858000,-447000,5600000,0,-12000,588000,48368000,-9151000,13009000,4800000,3870000,None,None,None,0,3478000,0,-153000,-25022000,0,141000,-447000,None
2018-06-30,USD,335030000,54222000,263977000,71053000,14015000,7921000,5600000,0,10092000,-723000,52849000,-444000,14459000,832000,3923000,None,None,None,0,1540000,0,2894000,-8112000,0,7198000,7921000,None
2018-03-31,USD,324861000,56142000,263357000,61504000,2966000,-2069000,5600000,0,-2477000,593000,52687000,-215000,3181000,392000,5443000,None,None,None,0,1789000,0,-1001000,-11294000,0,-1476000,-2069000,None
2017-12-31,USD,337499000,60361000,273309000,64190000,-4536000,-12789000,4200000,0,-8523000,405000,50636000,-580000,-3956000,943000,3987000,None,None,None,0,6832000,0,3861000,-126418000,0,-12384000,-12789000,None
2017-09-30,USD,341872000,54610000,268430000,73442000,-75774000,-73236000,0,0,-79736000,-546000,53614000,-765000,-75009000,1980000,3962000,None,None,None,0,91871000,0,-5954000,-349000,0,-73782000,-73236000,None
2017-06-30,USD,354473000,58109000,274705000,79768000,21286000,11100000,0,0,17281000,1078000,57909000,-373000,21659000,0,4005000,None,None,None,0,90643000,0,5103000,7000,0,12178000,11100000,None
2017-03-31,USD,325175000,52746000,257763000,67412000,13795000,5871000,0,0,9748000,1882000,52997000,-338000,14133000,0,4047000,None,None,None,0,533000,0,1995000,-4385000,0,7753000,5871000,None
2016-12-31,USD,321802000,50291000,250560000,71242000,26773000,17791000,4700000,0,22825000,338000,49456000,458000,26315000,913000000,3948000,None,None,None,0,-5364000,0,4696000,-27352000,0,18129000,17791000,None
2016-09-30,USD,308524000,45277000,242206000,66318000,20830000,12067000,0,0,17005000,-280000,47029000,325000,20505000,0,3825000,None,None,None,0,536000,0,5218000,511000,0,11787000,12067000,None
2016-06-30,USD,297686000,50806000,236496000,61190000,7775000,3422000,0,0,4134000,-229000,48777000,-370000,8145000,0,3641000,None,None,None,0,2239000,0,941000,545000,0,3193000,3422000,None
2016-03-31,USD,293908000,50725000,226874000,54414000,-5080000,-3792000,0,0,-8695000,-157000,47995000,-941000,-4139000,0,3615000,None,None,None,0,7828000,0,-4746000,-4556000,0,-3949000,-3792000,None
2015-12-31,USD,330713000,51513000,263290000,67423000,-29196000,-32860000,2800000,0,-35875000,-573000,44662000,-556000,-28640000,2900000,6679000,None,None,None,0,44550000,0,-2442000,-71517000,0,-33433000,-32860000,None
2015-09-30,USD,356595000,51554000,279474000,77121000,24604000,14750000,0,0,21460000,473000,52396000,-334000,24938000,0,3144000,None,None,None,0,629000,0,6237000,-1345000,0,15223000,14750000,None
2015-06-30,USD,337096000,57326000,265043000,72053000,15379000,8684000,0,0,12390000,164000,53426000,856000,14523000,0,2989000,None,None,None,0,204000,0,3542000,3752000,0,8848000,8684000,None
