fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-05-31,USD,20574000,None,None,None,6518000,14077000,None,None,14077000,-74286000,22000,None,153000,5433000,3865000,None,653000,2234000,2770000,17651000,None,14077000,None,3717000,1026000,7989000,945000,None,None,None,None,None,None,None,153000,None,2923000,2263000,None,None,2653000,None,None,None,None,None,None,None,None
2020-02-29,USD,21688000,None,None,586000,5133000,16575000,34000,1029000,230000,-71401000,34000,None,160000,5058000,3327000,None,None,2216000,783000,18485000,None,16575000,None,3511000,None,9330000,2298000,None,None,230000,None,-71401000,None,None,2420000,None,3203000,2416000,None,1772000,1806000,None,None,None,85530000,21688000,5058000,None,23015
2019-11-30,USD,24300000,None,None,534000,8332000,15988000,64000,2428000,229000,-71646000,64000,None,186000,5302000,6344000,None,None,2211000,860000,20867000,None,15988000,None,5231000,None,9800000,3916000,None,None,229000,None,-71646000,None,None,2573000,None,3433000,2543000,None,1924000,1988000,None,None,None,85194000,24300000,5302000,None,22914
2019-08-31,USD,22025000,None,None,523000,6739000,15306000,113000,1221000,227000,-71897000,113000,None,199000,5266000,4540000,None,None,2216000,1000000,18293000,None,15306000,None,3287000,None,9217000,3319000,None,None,227000,None,-71897000,None,None,2732000,None,3732000,2692000,None,2086000,2199000,None,None,None,84760000,22025000,5266000,None,22721
2019-05-31,USD,21307000,None,None,686000,5854000,15472000,342000,1545000,227000,-71484000,342000,None,228000,5428000,5512000,None,None,2230000,1045000,20034000,None,15472000,None,4859000,None,9061000,3967000,None,None,227000,None,-71484000,None,None,228000,None,1273000,None,None,None,342000,None,None,None,84499000,21307000,5428000,None,22669
2019-02-28,USD,25451000,None,None,787000,10410000,15060000,391000,1267000,226000,-71594000,391000,None,256000,12300000,10019000,6110000,6110000,2252000,975000,24220000,None,15060000,None,1944000,None,9189000,2642000,None,None,226000,None,-71594000,None,None,256000,None,1231000,None,None,None,391000,None,None,None,84176000,25451000,12300000,None,22562
2018-11-30,USD,29901000,0,None,688000,12017000,17902000,399000,2068000,224000,-68393000,399000,0,206000,14002000,11618000,6110000,6110000,2241000,1074000,28541000,80000,17902000,0,3868000,0,9983000,3440000,17884000,0,224000,0,-68393000,0,None,286000,None,1360000,None,None,None,399000,None,None,None,83830000,29901000,14002000,None,22356
2018-08-31,USD,29888000,0,None,727000,11768000,18139000,504000,2339000,222000,-67764000,504000,0,186000,15864000,11264000,6110000,6110000,2276000,1174000,28448000,80000,18139000,0,2272000,0,9585000,2815000,18120000,0,222000,0,-67764000,0,None,266000,None,1440000,None,None,None,504000,None,None,None,83405000,29888000,15864000,None,22245
2018-05-31,USD,30955000,0,None,703000,11670000,19305000,522000,1630000,221000,-66249000,522000,0,296000,16848000,11148000,6110000,6110000,2292000,1203000,29456000,None,19305000,0,2856000,0,9049000,3408000,4550000,56547000,221000,0,-66249000,0,None,296000,None,1499000,None,None,None,522000,None,None,None,83041000,30955000,16848000,None,22143000
2018-02-28,USD,31972000,0,None,1339000,13198000,18794000,497000,2310000,219000,-66440000,497000,0,324000,9077000,6591000,6110000,6110000,2344000,1205000,30443000,80000,18794000,5986000,4673000,6110000,9368000,4281000,18774000,0,219000,0,-66440000,0,None,324000,None,1529000,None,6110000,None,6607000,None,None,None,82671000,31972000,15063000,None,21943
