fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-05-31,USD,None,9000,-14000,None,1679000,None,None,-41000,-2885000,None,-1384000,None,None,None,None,None,None,346000,0,None,None,None
2020-02-29,USD,-26000,-3097000,-26000,2000,1679000,130000,None,-1714000,245000,-260000,-364000,-24000,105000,None,130000,470000,1732000,205000,28000,1732000,16000,-244000
2019-11-30,USD,-73000,1787000,-73000,None,1679000,231000,None,1162000,251000,72000,-86000,None,98000,None,231000,-471000,-1956000,205000,73000,-1956000,-36000,36000
2019-08-31,USD,-50000,-1693000,-50000,None,1679000,62000,None,-1267000,-413000,-178000,-190000,194000,95000,None,62000,-156000,1584000,199000,50000,1584000,16000,-162000
2019-05-31,USD,-49000,1520000,-49000,None,-6110000,-5986000,None,331000,110000,-6879000,-844000,133000,98000,None,124000,9000,-2914000,200000,49000,-2914000,7000,-6872000
2019-02-28,USD,-21000,-1650000,-21000,None,-6110000,123000,None,-273000,-3201000,-1734000,-1836000,-66000,103000,None,123000,814000,1939000,225000,21000,1939000,32000,-1702000
2018-11-30,USD,None,312000,-19000,0,-6110000,203000,None,-381000,-629000,-1802000,-1986000,21000,119000,0,203000,-399000,-1631000,221000,19000,-1631000,-60000,-1862000
2018-08-31,USD,None,64000,-84000,0,-6110000,109000,None,544000,-1515000,-946000,-971000,86000,111000,0,109000,-536000,563000,256000,84000,563000,-38000,-984000
2018-05-31,USD,5965000,-1537000,5851000,0,None,198000,None,38000,191000,7794000,1745000,725000,141000,0,198000,319000,1787000,119000,114000,1787000,-23000,7771000
2018-02-28,USD,7000,181000,-138000,0,None,126000,None,-28000,267000,-955000,-943000,532000,86000,0,126000,-1143000,-1119000,253000,145000,-1119000,73000,-882000
2017-11-30,USD,-5972000,-1357000,-6101000,0,None,367000,None,242000,60000,-4010000,1724000,-46000,101000,0,367000,795000,592000,319000,129000,1852000,-24000,-4034000
2017-08-31,USD,-5972000,170000,-184000,0,None,234000,None,-1550000,10000,-3827000,-3877000,-1089000,89000,0,234000,-2044000,1250000,247000,184000,-1260000,17000,-3810000
2017-05-31,USD,None,3194000,-258000,0,None,16026000,15832000,1076000,-795000,15741000,-27000,-607000,91000,0,194000,233000,-3507000,245000,258000,-2388000,23000,15764000
2017-02-28,USD,-5972000,475000,-131000,0,None,47000,None,38000,-2651000,-3136000,-3052000,38000,110000,0,47000,-1138000,592000,261000,131000,-147000,21000,-3115000
2016-11-30,USD,None,-1674000,-67000,0,None,5668000,None,None,-1452000,2941000,-2660000,-86000,106000,0,5668000,-39000,1196000,207000,67000,278000,-129000,2812000
2016-08-31,USD,None,1476000,-21000,0,None,94000,None,None,-755000,1317000,1244000,-52000,112000,0,94000,1374000,1257000,339000,21000,-1250000,86000,1403000
2016-05-31,USD,None,-727000,-29000,0,-6000,46000,None,-2361000,-3056000,-1557000,-1574000,43000,131000,0,52000,345000,887000,211000,29000,1479000,24000,-1533000
2016-02-29,USD,None,1073000,-721000,0,2000000,2000000,None,None,-2975000,425000,-854000,105000,94000,0,0,41000,0,204000,721000,604000,92000,517000
2015-11-30,USD,None,-1005000,-148000,0,None,237000,None,None,-1048000,-1668000,-1757000,62000,81000,0,237000,-160000,0,252000,148000,61000,-30000,-1698000
2015-08-31,USD,None,-1188000,-21000,0,None,223000,None,None,294000,-1894000,-2096000,-201000,74000,0,223000,-156000,0,338000,21000,-1257000,20000,-1874000
2015-05-31,USD,None,1847000,-12000,0,3645000,3947000,2574000,3357000,-1900000,3319000,-616000,163000,68000,0,-2272000,-302000,1774000,318000,12000,-810000,-66000,3253000
