fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-05-31,USD,3773000,6394000,3866000,-93000,-2621000,-2885000,854000,None,-2875000,-21000,1674000,None,-2621000,None,None,10000,None,-17000,None,None,None,10000,-237000,None,-2885000,-2885000,None
2020-02-29,USD,6111000,2736000,3120000,2991000,246000,245000,845000,None,259000,-20000,1891000,-9000,255000,None,-13000,14000,13000,13000,None,None,None,-14000,-9000,None,273000,245000,None
2019-11-30,USD,6874000,2952000,3672000,3202000,255000,251000,795000,None,257000,-20000,2157000,5000,250000,None,-2000,6000,2000,2000,None,None,None,-6000,5000,None,263000,251000,None
2019-08-31,USD,5533000,2700000,3262000,2271000,-419000,-413000,892000,None,-407000,-20000,1808000,10000,-429000,None,-12000,6000,12000,12000,None,None,None,-6000,10000,None,-401000,-413000,None
2019-05-31,USD,7242000,-21948000,3863000,3379000,140000,110000,-7186000,None,116000,-19000,-13430000,17000,123000,None,24000,6000,-24000,-24000,None,-1332000,None,-6000,-101000,None,122000,110000,None
2019-02-28,USD,3163000,3388000,2891000,272000,-3127000,-3201000,931000,None,-3203000,-19000,1850000,-11000,-3116000,None,76000,-2000,None,-76000,None,607000,None,2000,-618000,None,-3205000,-3201000,None
2018-11-30,USD,5911000,2963000,3513000,2398000,-536000,-629000,986000,None,-610000,-18000,1977000,29000,-565000,None,74000,None,None,None,None,None,None,-19000,-45000,None,-591000,-629000,None
2018-08-31,USD,4740000,2995000,3187000,1553000,-1433000,-1515000,1116000,None,-1511000,-19000,1879000,9000,-1442000,None,78000,None,None,None,None,None,None,-4000,-69000,None,-1507000,-1515000,None
2018-05-31,USD,7269000,-20030000,4108000,3161000,288000,191000,-7266000,0,199000,-20000,-12764000,39000,249000,0,89000,None,None,None,0,0,0,-8000,-50000,0,207000,191000,None
2018-02-28,USD,7393000,2869000,4217000,3176000,274000,267000,1040000,0,176000,-20000,1829000,-33000,307000,0,98000,None,None,None,0,0,0,91000,-131000,0,85000,267000,None
2017-11-30,USD,7923000,2944000,4792000,3131000,180000,60000,1090000,0,75000,19000,1854000,-7000,187000,0,105000,None,None,None,0,0,0,-15000,0,0,90000,60000,None
2017-08-31,USD,6970000,2746000,4052000,2918000,112000,10000,955000,0,5000,-19000,1791000,-60000,172000,0,107000,None,None,None,0,0,0,5000,0,0,10000,10000,None
2017-05-31,USD,6683000,-3214000,-4075000,2608000,-665000,-795000,-1309000,0,-806000,0,-1905000,-59000,-606000,0,141000,None,None,None,0,0,0,11000,-699000,0,-817000,-795000,None
2017-02-28,USD,2681000,-2972000,-2178000,503000,-2471000,-2651000,-1248000,0,-2649000,-19000,-1724000,-2000,-2469000,0,178000,None,None,None,0,0,0,-2000,0,0,-2647000,-2651000,None
2016-11-30,USD,4216000,-2747000,-2753000,1463000,-1241000,-1452000,-1040000,0,-1422000,0,-1707000,43000,-1284000,0,181000,None,None,None,0,0,0,-30000,0,0,-1392000,-1452000,None
2016-08-31,USD,5318000,-2776000,-3112000,2206000,-573000,-755000,-1060000,0,-751000,0,-1716000,-3000,-570000,0,178000,None,None,None,0,0,0,-4000,0,0,-747000,-755000,None
2016-05-31,USD,1571000,-2768000,-1669000,-98000,-2889000,-3056000,-1046000,0,-3057000,-20000,-1722000,-23000,-2866000,0,168000,None,None,None,0,0,0,1000,-621000,0,-3058000,-3056000,None
2016-02-29,USD,1677000,-2988000,-1508000,169000,-2843000,-2975000,-1293000,0,-3008000,0,-1695000,-24000,-2819000,0,165000,None,None,None,0,0,0,33000,0,0,-3041000,-2975000,None
2015-11-30,USD,4620000,-2636000,-2929000,1691000,-890000,-1048000,-923000,0,-1027000,0,-1713000,55000,-945000,0,137000,None,None,None,0,0,0,-21000,0,0,-1006000,-1048000,None
2015-08-31,USD,6633000,-2907000,-3250000,3383000,452000,294000,-1062000,0,317000,0,-1845000,-24000,476000,0,135000,None,None,None,0,0,0,-23000,0,0,340000,294000,None
2015-05-31,USD,1818000,-2493000,-1136000,682000,-1801000,-1900000,-967000,0,-1902000,-18000,-1526000,10000,-1811000,0,101000,None,None,None,0,0,0,2000,81000,0,-1904000,-1900000,None
