fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,-167000,31615000,-7365000,59000,-4375000,-3596000,779000,30002000,29128000,27491000,38452000,7160000,11580000,None,0,-24196000,-19539000,2704000,7257000,-19539000,None,27491000
2020-03-31,USD,-1000000,-14421000,-7124000,10000,-4375000,-13794000,-2171000,-24677000,18078000,7604000,28522000,-13967000,11616000,None,-7248000,-6726000,32084000,1858000,6134000,32084000,None,7604000
2019-12-31,USD,-1500000,-29619000,-11310000,-303000,-4375000,-3557000,818000,15142000,10269000,4350000,19217000,10949000,10846000,None,0,10904000,4413000,1455000,9507000,4413000,None,4350000
2019-09-30,USD,-372613000,14666000,-372613000,-365798000,343111000,343439000,328000,10395000,7631000,-16415000,12759000,20547000,6905000,None,0,-8247000,-29846000,1103000,6815000,-29846000,None,-16415000
2019-06-30,USD,-1058000,-16174000,-7488000,-2800000,343111000,665000,665000,-3019000,31697000,4147000,10970000,-17944000,4215000,None,0,2273000,8970000,-17445000,6430000,8970000,None,4147000
2019-03-31,USD,-2436000,-7315000,-2436000,-2800000,343111000,-1707000,-1707000,-11460000,15378000,1303000,5446000,11092000,4181000,None,0,-1243000,-2416000,1147000,2436000,-2416000,None,1303000
2018-12-31,USD,581000,-15904000,-3118000,45000,343111000,-25477000,627000,-6980000,19410000,8743000,37338000,15530000,4104000,None,-26104000,10856000,10184000,12568000,3744000,10184000,-308000,8435000
2018-09-30,USD,581000,-19821000,-91889000,-84729000,None,-31022000,-60000,-6002000,34786000,-94432000,28479000,34135000,3571000,0,-30962000,9488000,2077000,-971000,7160000,2077000,438000,-93994000
2018-06-30,USD,-87000,6187000,-8590000,-3000000,None,-23853000,1456000,8750000,46405000,19910000,52353000,47775000,3056000,0,-25309000,-14507000,8641000,1201000,5503000,8641000,-1327000,18583000
2018-03-31,USD,-87000,15228000,-9995000,-6072000,None,-16782000,-4032000,-1982000,46510000,6324000,33101000,46734000,2861000,0,-12750000,-17113000,-17457000,2848000,3923000,-17457000,167000,6491000
2017-12-31,USD,-1000,35631000,-3397000,-3489000,None,-4407000,588000,6129000,-29590000,41883000,49687000,-165708000,2632000,0,-4995000,-4199000,-7497000,56846000,3396000,-11616000,1070000,42953000
2017-09-30,USD,1093000,-23170000,-760000,385000,None,-25026000,-28000,-2837000,83864000,7011000,32797000,85377000,2573000,0,-23306000,3531000,4119000,-23588000,2238000,-11926000,-78000,6933000
2017-06-30,USD,703000,6967000,-19045000,-17732000,None,-186000,-1878000,7893000,46052000,40780000,60011000,44969000,2232000,0,0,-10546000,16045000,-87000,2016000,16476000,83000,40863000
2017-03-31,USD,1000,7866000,-4880000,-3489000,None,-1688000,4000,-1109000,37535000,33638000,40206000,37821000,1987000,0,-1692000,-8047000,431000,1010000,1392000,-431000,1133000,34771000
2016-12-31,USD,705000,6812000,-1592000,-3489000,None,-207000,-629000,811000,44281000,39984000,41783000,-77174000,1875000,0,422000,-1098000,-21603000,2344000,2297000,-7924000,-1382000,38602000
2016-09-30,USD,240000,3675000,-1419000,0,None,202000,70000,-430000,30361000,33318000,34535000,29160000,1893000,0,132000,1371000,13679000,1372000,1659000,-2936000,179000,33497000
2016-06-30,USD,1819000,2673000,292000,0,None,836000,343000,709000,30531000,32448000,31320000,28171000,2002000,0,493000,-82000,10743000,-2253000,1527000,809000,-240000,32208000
2016-03-31,USD,4357000,8322000,3019000,0,None,1311000,183000,-1735000,22281000,15979000,11649000,18485000,2043000,0,1128000,-6550000,11552000,901000,1338000,-11552000,-489000,15490000
2015-12-31,USD,-9077000,3220000,-13265000,-46000,None,-45542000,-18000,-11866000,36265000,44435000,104808000,None,8832000,0,0,-6715000,17919000,233811000,4014000,None,None,None
2015-09-30,USD,None,None,-14974000,0,None,4072000,None,None,16432000,None,72055000,None,0,0,0,2959000,13029000,None,3191000,None,None,None
2015-06-30,USD,None,None,-12107000,0,None,3549000,None,None,-211183000,None,53794000,None,0,0,0,491000,9032000,None,1655000,None,None,None
