fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,-76932000,-4563000,-78446000,-98528000,-160205000,-182822000,-307378000,385996000,-247429000,575536000,836804000,325979000,-185821000,-5950000,290711000,None,None,926261000,1514000,22377000,None,575536000
2020-03-31,USD,866402000,-83457000,856292000,139313000,64506000,-151885000,-211035000,-1630061000,242947000,-460293000,-1164700000,-1658085000,205177000,-6611000,1255000,None,None,128559000,10110000,159000,None,-460293000
2019-12-31,USD,-148601000,-22510000,-149475000,102812000,-102654000,241008000,-19206000,550713000,220150000,1154655000,1063122000,504660000,230122000,-27304000,390172000,None,None,106235000,874000,24465000,None,1154655000
2019-09-30,USD,-952479000,29087000,-954227000,-86763000,48280000,459951000,411277000,-21909000,37360000,-77230000,417046000,-129769000,-166728000,-27304000,394000,None,None,663723000,1748000,-16627000,None,-77230000
2019-06-30,USD,-1025390000,-31019000,-1026070000,-42377000,-243927000,366905000,610926000,385534000,18590000,100077000,759242000,244849000,58947000,-27304000,-94000,None,None,451075000,680000,16800000,None,100077000
2019-03-31,USD,-924394000,-2716000,-925114000,-924394000,130012000,584616000,454492000,707591000,-30010000,771494000,1111992000,630469000,83875000,-27304000,112000,None,None,459109000,720000,-28735000,None,771494000
2018-12-31,USD,-459044000,13290000,-459817000,-27674000,-3304000,218025000,245280000,-922071000,53823000,-784846000,-543054000,-1064381000,-15549000,-25265000,1314000,None,None,456493000,773000,13270000,None,-784846000
2018-09-30,USD,-1250391000,-14215000,-1251127000,187975000,117958000,390821000,272000000,328824000,169328000,-130480000,729826000,302837000,143160000,-25265000,863000,0,0,163165000,736000,-34449000,None,-130480000
2018-06-30,USD,-34383000,-125547000,-36058000,142797000,-135570000,272407000,404989000,39222000,93903000,535938000,299589000,-51452000,197295000,-25265000,2988000,0,0,178421000,1675000,6969000,None,535938000
2018-03-31,USD,-660230000,29140000,-661329000,279133000,114385000,394244000,275343000,-819679000,140962000,-710261000,-443176000,-885721000,247964000,-25265000,4516000,0,0,49990000,1099000,-25511000,None,-710261000
2017-12-31,USD,-683247000,20060000,-684162000,1006520000,-10383000,174946000,202740000,633844000,36803000,148383000,657599000,675534000,165108000,-23148000,5737000,0,0,-250080000,915000,10174000,None,148383000
2017-09-30,USD,-552339000,-40823000,-553739000,23997000,-433308000,-169226000,260409000,103852000,56957000,-289251000,433714000,-94904000,40997000,0,3673000,0,0,494187000,1400000,-22700000,None,-289251000
2017-06-30,USD,-833030000,-27176000,-834122000,16400000,439036000,903134000,463197000,56791000,26946000,402165000,333153000,-113464000,90090000,0,901000,0,0,349095000,1092000,7662000,None,402165000
2017-03-31,USD,-518511000,-13852000,-519913000,7722000,-10084000,403468000,409835000,162641000,53939000,381482000,497927000,-114972000,155760000,0,3717000,0,0,443423000,1402000,-26371000,None,381482000
2016-12-31,USD,-1010009000,-9191000,-1010334000,-317879000,24959000,518970000,514127000,303171000,120796000,-21548000,469816000,-123644000,303503000,-21110000,994000,0,0,170129000,325000,8223000,None,-21548000
2016-09-30,USD,-2085209000,18872000,-2085575000,20649000,97924000,829222000,596417000,-119994000,-7420000,-734227000,522126000,-119994000,171692000,0,138660000,0,0,487579000,366000,-28603000,None,-734227000
2016-06-30,USD,-446801000,-38313000,-447063000,13762000,7520000,1006159000,998600000,-151661000,14708000,839864000,280768000,-151661000,79968000,0,39000,0,0,360126000,262000,15940000,None,839864000
2016-03-31,USD,-955829000,-30870000,-956073000,6880000,-10358000,1123889000,1119709000,None,-44841000,309428000,141612000,-160303000,74964000,0,3740000,0,0,333891000,244000,-31229000,None,309428000
2015-12-31,USD,-1949696000,16064000,-1950096000,51608000,4819000,1390522000,1402370000,-273149000,33776000,-125865000,433709000,-200289000,159498000,-17874000,1207000,0,0,411242000,400000,13418000,None,-125865000
2015-09-30,USD,-1372854000,20619000,-1373175000,21976000,-14652000,1357377000,1266170000,None,97306000,-210200000,-194402000,-176462000,130705000,0,111274000,0,0,-234220000,321000,-32350000,None,-210200000
2015-06-30,USD,-1193747000,-25301000,-1194044000,14693000,-46995000,1228382000,1274067000,None,82845000,440050000,405712000,-172732000,176369000,0,1310000,0,0,329462000,297000,15069000,None,440050000
