fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,9059029000,None,None,163754000,3822287000,5236742000,None,10197000,5676839000,-660018000,1499723000,407792000,208187000,329557000,412565000,None,None,182667000,7093562000,1349488000,None,4828950000,184835000,6709000,1813945000,604937000,347066000,None,None,None,None,None,None,None,208187000,None,7709541000,110943000,None,54343000,3409722000,None,None,None,None,None,None,None,None
2020-03-31,USD,9695930000,None,None,18706000,4655332000,5040598000,None,36956000,5611517000,-716902000,1460999000,407792000,199390000,1255273000,747376000,None,360000000,108729000,7024966000,2063782000,None,4632806000,84363000,7038000,2351907000,558042000,274385000,None,None,None,None,None,None,None,162467000,None,7632148000,108617000,2446957000,52204000,3907956000,None,None,None,37254000,None,1339636000,None,240000000
2019-12-31,USD,8789885000,None,None,20272000,3678371000,5111514000,None,38621000,5589352000,-647330000,1436490000,407792000,184868000,321897000,775638000,360000000,360000000,132238000,7003665000,1193560000,None,4703722000,101376000,8320000,1364108000,580068000,158317000,None,None,None,None,None,None,None,147915000,None,7596325000,116828000,1466243000,20512000,2902733000,None,None,None,37254000,None,423273000,None,238000000
2019-09-30,USD,8306705000,None,None,21707000,3525055000,4781650000,None,678000,5557709000,-933158000,1298426000,407792000,165177000,258419000,799478000,360000000,360000000,119845000,6566366000,1136805000,30565000,4373858000,81679000,8598000,1363408000,577498000,370573000,None,None,None,None,None,None,None,148267000,None,7169900000,80747000,1427151000,56870000,2725577000,None,None,None,37254000,None,340098000,None,240000000
2019-06-30,USD,8090680000,None,None,241672000,3444971000,4645709000,None,635000,5464573000,-981795000,1250498000,407792000,156067000,118732000,763291000,360000000,360000000,125677000,6507737000,987969000,31115000,4237917000,81725000,8710000,1362708000,508448000,341610000,None,None,None,None,None,None,None,187182000,None,7102711000,83593000,1431182000,43463000,2681680000,None,None,None,37254000,None,200457000,None,237000000
2019-03-31,USD,7912944000,None,None,16224000,3345840000,4567104000,None,1482000,5373951000,-844101000,1231464000,407792000,124678000,190038000,323073000,14680000,14680000,136311000,6400211000,956140000,24123000,4159312000,77321000,10263000,1722008000,493441000,260277000,None,None,None,None,None,None,None,109102000,None,6956804000,83975000,1791303000,42379000,3022767000,None,None,None,37254000,None,267359000,None,236000000
2018-12-31,USD,7852843000,None,None,17564000,3302831000,4550012000,None,53307000,5362169000,-988913000,1220074000,407792000,138297000,301826000,361449000,None,None,139502000,6234302000,1072452000,None,4142220000,6080000,121154000,1721308000,494150000,163032000,None,None,None,None,None,None,None,None,None,None,None,1721308000,None,None,None,None,None,37254000,None,384438000,None,233000000
2018-09-30,USD,8355839000,696809000,None,211201000,3406984000,4948855000,None,17090000,5343703000,-569795000,1224131000,696809000,128334000,520255000,461304000,None,None,137693000,6173019000,1357677000,None,4252046000,89346000,44975000,1721549000,491900000,407179000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,235000000
2018-06-30,USD,8278687000,696809000,None,206864000,3346529000,4932158000,None,26952000,5322229000,-561025000,1255864000,696809000,105978000,708270000,369792000,1722967000,1722967000,133700000,5990183000,1485717000,None,4235349000,86157000,44379000,1720873000,440047000,324396000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,235000000
2018-03-31,USD,7876444000,696809000,None,155204000,2936395000,4940049000,None,39521000,5292409000,-540263000,412841000,696809000,783124000,452258000,335577000,1375179000,1375179000,150649000,5874610000,1218710000,None,4243240000,114590000,29610000,1372380000,467048000,276555000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,235000000
