fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,-177738000,62804000,-177738000,None,-913750000,-914418000,-1597000,-37333000,105301000,-925716000,162648000,None,129465000,-41069000,None,-50279000,328000,-49615000,170459000,None,None,None
2020-03-31,USD,-178166000,-58690000,-178166000,-9355000,996271000,954830000,-1597000,30432000,-21565000,933376000,163358000,None,153509000,-37494000,-3947000,7677000,1282000,72843000,168811000,None,None,None
2019-12-31,USD,-167211000,-37666000,-167211000,8780000,-4941000,-28091000,-1597000,17970000,331695000,63478000,257468000,None,150319000,-34187000,131469000,-10362000,278000,127649000,195721000,None,None,None
2019-09-30,USD,-245829000,70504000,-245829000,-19730000,-3676000,37249000,-1597000,46251000,76667000,139687000,349233000,None,143293000,-21979000,-325000,-60043000,112000,55362000,252659000,None,None,None
2019-06-30,USD,-233238000,90039000,-460844000,-26560000,-3456000,34906000,None,-84413000,27772000,-71306000,126301000,None,124203000,-23764000,0,-37243000,1553000,5316000,230931000,None,None,None
2019-03-31,USD,-227606000,-38033000,-227606000,-24253000,-3378000,-33454000,None,17225000,37032000,-111788000,148690000,None,128242000,-25478000,-4598000,16212000,-208000,5564000,203353000,None,None,None
2018-12-31,USD,5666000,-44218000,-336376000,-22000,-820000,-18099000,-930000,23547000,-393656000,-218429000,140284000,None,237911000,-20821000,14657000,-13418000,-1429000,306188000,342183000,None,None,None
2018-09-30,USD,-1265000,53433000,-311870000,-3000,-817000,-13952000,-930000,10776000,17053000,-188015000,137573000,None,143859000,-21073000,None,-76216000,4853000,-5876000,310602000,None,None,None
2018-06-30,USD,12940000,30258000,-201405000,793000,349175000,340498000,-2181000,-67707000,4972000,256012000,120087000,None,138469000,-19418000,12998000,12768000,255000,16082000,250221000,None,None,None
2018-03-31,USD,-6166000,1932000,-354717000,22000,-920000,-34348000,-104000,17124000,44930000,-180720000,207706000,None,134370000,-22649000,15581000,24550000,-1734000,1236000,186094000,None,None,None
2017-12-31,USD,-53886000,42526000,-1000052000,-24000,160831000,329167000,None,-15890000,35098000,93004000,767557000,None,508739000,-76075000,269095000,-64889000,-3815000,86744000,874153000,None,None,None
2017-09-30,USD,-8627000,97857000,-265617000,-25000,-1346000,339268000,-104000,-11574000,72469000,-88470000,600627000,None,118312000,-55790000,6889000,-63850000,441000,18621000,577876000,None,None,None
2017-06-30,USD,-11156000,27650000,-203444000,3000,165993000,351407000,-104000,-35507000,54876000,150749000,406561000,None,128440000,-38227000,22914000,-16725000,1218000,6914000,320911000,None,None,None
2017-03-31,USD,-25067000,-21159000,-153687000,19000,-1682000,181571000,-25048000,16326000,75950000,253213000,222611000,None,132509000,-19458000,226949000,7936000,-1428000,16280000,128639000,None,None,None
2016-12-31,USD,-25293000,-35408000,-553490000,287000,56207000,190386000,-25006000,51873000,62654000,415824000,778617000,None,613160000,-71375000,221130000,20355000,-471000,-57798000,516050000,None,None,None
2016-09-30,USD,None,21838000,None,233000,None,209746000,None,None,49392000,None,658016000,None,None,-51094000,None,20367000,None,None,349483000,None,None,None
2016-06-30,USD,None,None,None,9000,None,197906000,None,None,18990000,None,375160000,None,None,-30198000,None,31505000,2271000,None,223957000,None,None,None
2016-03-31,USD,None,None,None,10000,None,None,None,None,27788000,None,145704000,None,None,-14846000,None,24611000,2073000,None,100694000,None,None,None
2015-12-31,USD,38437000,21174000,-374519000,49785000,-236432000,-280760000,88222000,-73396000,24583000,-53387000,616238000,None,608609000,-59512000,27083000,-40547000,52019000,26839000,449758000,None,None,None
2015-09-30,USD,None,39131000,None,30971000,None,None,None,None,1294000,None,475491000,None,None,-44572000,None,None,53834000,None,316800000,None,None,None
2015-06-30,USD,None,15648000,None,13183000,None,None,None,None,10083000,None,331804000,None,None,-29198000,None,22035000,None,None,194398000,None,None,None
