fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,557175000,449742000,409859000,147316000,272016000,105301000,None,None,117551000,None,25546000,None,107433000,-62175000,25000000,12250000,1227000,-25000000,None,None,None,12250000,35118000,None,105301000,105301000,None
2020-03-31,USD,671878000,569797000,509611000,162267000,204602000,-21565000,None,None,23331000,None,30543000,None,102081000,42602000,27762000,44896000,2517000,-25245000,None,None,None,44896000,-53505000,None,-21565000,-21565000,None
2019-12-31,USD,753099000,587274000,525288000,227811000,671887000,331695000,None,None,503945000,None,35432000,None,165825000,1691000,17623000,172250000,-33617000,-19597000,None,None,None,172250000,357717000,None,331695000,331695000,None
2019-09-30,USD,682959000,515202000,459639000,223320000,308470000,76667000,None,None,139456000,None,27336000,None,167757000,2378000,25721000,62789000,-26252000,-25721000,None,None,None,62789000,-2580000,None,76667000,76667000,None
2019-06-30,USD,526611000,460178000,403700000,122911000,194333000,27772000,None,None,42820000,None,29126000,None,66433000,-2858000,27310000,15048000,-33783000,-27310000,None,None,None,15048000,3697000,None,27772000,27772000,None
2019-03-31,USD,532223000,459771000,276893000,255330000,206529000,37032000,None,None,52521000,None,29093000,None,72545000,-9723000,25766000,15489000,-19056000,-25766000,None,None,None,15489000,5835000,None,37032000,37032000,None
2018-12-31,USD,537821000,597664000,268472000,269349000,-59843000,-393656000,0,0,-387273000,0,56722000,None,-59843000,32348000,-12626000,None,None,None,0,0,0,6383000,-327430000,0,-393656000,-393656000,None
2018-09-30,USD,518683000,482941000,276862000,241821000,35742000,17053000,0,0,18460000,0,29404000,None,35742000,-8123000,-23914000,None,None,None,0,0,0,1407000,-17282000,0,17053000,17053000,None
2018-06-30,USD,556282000,516213000,303695000,252587000,40069000,4972000,0,0,40408000,0,30647000,None,40069000,4466000,-25293000,None,None,None,0,0,0,35436000,339000,0,4972000,4972000,None
2018-03-31,USD,578435000,492281000,295326000,283109000,86154000,44930000,0,0,69353000,0,63684000,None,84848000,-1099000,23016000,None,None,None,0,0,0,24423000,-16801000,0,44930000,44930000,None
2017-12-31,USD,565254000,1823561000,287689000,1126791000,391342000,35098000,0,0,62974000,0,60278000,None,86916000,-25858000,22469000,None,None,None,0,9751000,0,27876000,-113094000,0,220750000,35098000,None
2017-09-30,USD,580008000,386070000,262173000,392469000,186666000,72469000,0,0,106747000,0,78092000,None,121243000,15222000,22598000,None,None,None,0,0,0,34278000,11003000,0,113153000,72469000,None
2017-06-30,USD,549883000,-829016000,267641000,-639118000,-263478000,54876000,0,0,63680000,0,62077000,None,91915000,-429000,19435000,None,None,None,0,0,0,8804000,27295000,0,-165966000,54876000,None
2017-03-31,USD,547459000,425443000,240339000,307120000,122016000,75950000,0,0,102647000,0,56067000,None,118216000,-3472000,20806000,None,None,None,0,0,0,26697000,-19369000,0,75950000,75950000,None
2016-12-31,USD,499210000,1802641000,134951000,1112940000,335591000,62654000,0,0,115413000,0,67993000,None,146464000,-1578000,20760000,None,None,None,0,-116103000,0,52759000,-67130000,0,158824000,62654000,None
2016-09-30,USD,610863000,0,277371000,0,0,49392000,0,0,87941000,0,66121000,None,106177000,0,20654000,None,None,None,0,0,0,38549000,0,0,0,49392000,None
2016-06-30,USD,537628000,0,255436000,0,0,18990000,0,0,37910000,0,62437000,None,64257000,0,17991000,None,None,None,0,0,0,18920000,0,0,0,18990000,None
2016-03-31,USD,490531000,0,243973000,0,0,27788000,0,0,27197000,0,53208000,None,42626000,0,18301000,None,None,None,0,0,0,0,0,0,0,27788000,None
2015-12-31,USD,482932000,1828405000,229819000,998737000,157027000,23289000,0,0,19021000,0,48506000,None,45812000,25775000,18490000,None,None,None,0,14038000,0,34558000,-74399000,0,24583000,23289000,None
2015-09-30,USD,508795000,0,254584000,0,0,1294000,0,0,-20909000,0,62760000,None,33434000,0,20574000,None,None,None,0,0,0,-10826000,0,0,0,1294000,None
2015-06-30,USD,510109000,0,263612000,0,0,10083000,0,0,20909000,0,54188000,None,34835000,0,18055000,None,None,None,0,0,0,10826000,0,0,0,10083000,None
