fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,16427254,57366,None,None,1240149,15320092,None,None,12072,-113436664,None,None,12159,15721616,1223317,None,None,None,262440,16095289,None,15262726,None,206729,None,None,251194,None,None,None,None,None,None,None,None,None,331965,117262,None,None,16832,None,None,None,None,None,None,None,None
2020-03-31,USD,10387686,57504,None,229604,1110260,9409550,None,670977,9368,-112026381,None,None,12159,9604780,1067720,None,None,None,140484,10041113,None,9352046,None,206729,None,None,396743,None,None,9368,None,-112026381,None,None,148585,None,346573,141097,None,42540,42540,None,None,None,121426563,10387686,9604780,None,9367171
2019-12-31,USD,4682491,59795,None,40351,878309,3934020,None,371994,4781,-110243475,None,None,12159,4058653,810614,None,None,None,144966,4305733,None,3874225,None,206729,None,None,438620,None,None,4781,None,-110243475,None,None,171997,None,376758,164407,None,67695,67695,None,None,None,114172714,4682491,4058653,None,4779614
2019-09-30,USD,1281790,62086,None,114036,1261118,149152,None,480096,1338,-109423894,None,None,12159,785658,1168518,None,None,None,124833,899694,None,87066,None,None,None,None,688422,None,None,1338,None,-109423894,None,None,195177,None,382096,187485,None,92600,92600,None,None,None,109571708,1281790,785658,None,1337259
2019-06-30,USD,2932905,64377,None,151717,1914713,1145083,None,534305,19104,-107718857,None,None,12159,2492354,1797454,892591,892591,None,6330,2644071,None,1080706,None,None,None,None,370558,None,None,19104,None,-107718857,None,None,218127,None,288834,210336,None,117259,117259,None,None,None,108844836,2932905,2492354,None,19103570
2019-03-31,USD,4122964,66668,None,210042,1823886,2425109,None,646000,19004,-105652433,None,None,12160,3828074,1823886,962301,962301,None,6021,4038116,None,2358441,None,0,None,None,215585,None,None,19004,None,-105652433,None,None,12159,None,84848,None,None,None,0,None,None,None,108058538,4122964,3828074,None,19004253
2018-12-31,USD,4950755,68959,None,35067,1780725,3292079,None,709348,18577,-104010327,None,None,12159,4824901,1780725,932014,932014,None,9669,4859968,None,3223120,None,None,None,None,139363,None,None,18577,None,-104010327,None,None,12159,None,90787,None,None,None,None,None,None,None,107283829,4950755,4824901,None,18577123
2018-09-30,USD,5272423,71250,None,89343,1260828,4127705,0,168356,17835,-101997287,None,0,17131,5078605,1260828,901727,901727,None,16094,5167948,None,4056455,0,None,0,0,190745,4011595,0,17835,0,-101997287,0,None,17131,None,104475,None,None,None,None,None,None,None,106107157,5272423,5078605,None,17834560
2018-06-30,USD,6453741,73541,None,143620,1342898,5218237,0,237990,17762,-100603942,None,0,17131,6122902,471458,871440,871440,None,21734,6341335,None,5144696,0,74813,871440,0,233468,5110843,0,17762,0,-100603942,0,None,17131,None,112406,None,871440,None,871440,None,None,None,105804417,6453741,6122902,None,17761206
2018-03-31,USD,7351904,75832,None,181367,1319110,6134040,0,263141,17740,-99457714,None,0,18270,6974070,477957,841153,841153,None,27552,7230250,None,6058208,0,74813,841153,0,214816,6032794,105574014,17740,0,-99457714,0,None,18270,None,121654,None,841153,None,841153,None,None,None,105574014,7351904,6974070,None,17739511
