fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-05-31,USD,25044000,-169667000,-9057000,-191000,736108000,714571000,-1537000,-61730000,-257162000,495620000,-209894000,-1545000,43419000,0,-20000000,18134000,None,156927000,33910000,None,None,495620000
2020-02-29,USD,-5000000,-65684000,-65802000,-308000,736108000,-23079000,-118000,3193000,4763000,148335000,237216000,-12084000,45024000,-22961000,-21430000,201566000,None,63631000,60494000,None,None,148335000
2019-11-30,USD,-65802000,32180000,-58233000,-160000,736108000,-55372000,-34000,-8975000,80760000,-53002000,60603000,8429000,45568000,-22957000,-32381000,-112413000,None,6079000,58073000,None,None,-53002000
2019-08-31,USD,-5000000,146711000,-61217000,-998000,736108000,-86136000,-4451000,-20446000,64982000,-37475000,109878000,-81935000,45437000,-23233000,-58452000,-78693000,None,13376000,55219000,None,None,-37475000
2019-05-31,USD,47135000,-101582000,10358000,-203000,None,-46639000,-3578000,-50157000,40752000,-28562000,7719000,42529000,45350000,-23632000,-19429000,-32075000,None,12745000,36574000,None,None,-28562000
2019-02-28,USD,-13280000,None,-58486000,-125000,-1875000,-102368000,-608000,None,76168000,52202000,213056000,None,None,-25811000,-74074000,None,None,136888000,45081000,None,None,52202000
2018-11-30,USD,-39856000,82608000,-82555000,-119000,-371000,-49251000,-761000,2116000,85472000,-40614000,91192000,None,45959000,-22700000,-25419000,-127550000,-9893000,5720000,42580000,None,None,-40614000
2018-08-31,USD,-20000000,49324000,-74571000,-114000,-1272000,-16603000,-4086000,32557000,60333000,33233000,124407000,None,43273000,-24387000,13142000,-61868000,-1259000,64074000,54457000,None,None,33638000
2018-05-31,USD,-20000000,-45322000,-67217000,-314000,-3284000,-84281000,-14213000,-21227000,39929000,-123508000,27990000,None,42472000,-24225000,-42559000,-7702000,5447000,-11939000,46903000,None,-405000,-123913000
2018-02-28,USD,-93136000,-17537000,-36585000,-2036000,5321000,-13925000,-213000,9251000,93957000,155816000,206326000,204163000,163473000,-22163000,3130000,-35912000,8837000,112369000,34549000,None,270000,156086000
2017-08-31,USD,-20000000,82812000,-48874000,-457000,-1517000,-23916000,-265000,70504000,63734000,62090000,134880000,None,0,-22134000,0,0,9515000,71146000,48417000,None,2879000,64969000
2017-05-31,USD,-20000000,8152000,-46545000,-113000,-4806000,-27341000,-629000,-18091000,21236000,-31374000,42512000,None,0,-22131000,225000,0,5979000,21276000,46432000,None,-1265000,-32639000
2017-02-28,USD,None,-71205000,-40146000,-75000,-2382000,-123590000,-11406000,-5966000,25236000,-153028000,10708000,None,0,-22120000,-87682000,0,7315000,-14528000,40071000,None,-388000,-153416000
2016-11-30,USD,-93136000,11071000,-54191000,-313000,1229000,-21552000,-134000,-53542000,54622000,86999000,162742000,54622000,156674000,-22735000,88000,-53613000,-7705000,108120000,53878000,None,-53000,86946000
2016-08-31,USD,None,92709000,-47258000,-181000,-1702000,-9920000,-30000,7155000,75759000,44310000,101488000,157827000,0,-22732000,14544000,0,4070000,25729000,47077000,None,-577000,43733000
2016-05-31,USD,None,52801000,-36479000,-276000,-3221000,-24478000,-119000,-14814000,41592000,10540000,71497000,None,0,-22614000,1476000,0,14081000,29905000,36203000,None,-1582000,8958000
2016-02-29,USD,None,-60257000,-25094000,-758000,-681000,-29114000,-6749000,-1310000,40476000,-24339000,29869000,None,0,-22599000,915000,0,7278000,-10607000,24336000,None,3248000,-21091000
2015-11-30,USD,-93136000,16912000,-42663000,1913000,-2329000,-237124000,-652000,-1042000,81710000,-100751000,179036000,None,144058000,-24124000,-210019000,-22259000,-10093000,102173000,44576000,None,-2299000,-103050000
2015-08-31,USD,None,64751000,-30231000,-478000,-2222000,-42015000,-15000,None,74110000,43120000,115366000,131581000,0,-24304000,-15474000,0,16189000,39298000,29753000,None,-488000,35827000
2015-05-31,USD,None,None,-42821000,-1078000,-1542000,-29292000,-4397000,None,29055000,-84844000,-12731000,None,0,-24381000,1028000,0,3522000,-41786000,41743000,None,1054000,-83790000
2015-01-31,USD,10002000,6424000,-34648000,-180000,-3381000,-27474000,742000,28070000,61609000,141478000,203600000,88787000,135951000,-24312000,219000,8586000,3084000,134489000,34468000,None,-12190000,130251000
