fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-05-31,USD,551692000,386546000,523386000,28306000,-361369000,-257162000,None,None,-361369000,None,188197000,-3129000,-358240000,42730000,None,-104207000,None,None,None,155619000,None,-104207000,-158748000,None,-257162000,-257162000,None
2020-02-29,USD,1314631000,407272000,906884000,407747000,1659000,4763000,None,None,1659000,None,286647000,1184000,475000,44402000,None,-104207000,None,None,None,76223000,None,-3104000,-158748000,None,4763000,4763000,None
2019-11-30,USD,1066412000,303960000,659350000,407062000,105679000,80761000,None,None,105679000,None,258973000,2577000,103102000,44987000,None,-3104000,None,None,None,None,None,24918000,-75038000,None,80761000,80761000,None
2019-08-31,USD,1040879000,300649000,658308000,382571000,85912000,64981000,None,None,85912000,None,253051000,3990000,81922000,44870000,None,24918000,None,None,None,2728000,None,20931000,2577000,None,64981000,64981000,None
2019-05-31,USD,886290000,277075000,561369000,324921000,52028000,40752000,None,None,52028000,None,230741000,4182000,47846000,44791000,None,20931000,None,None,None,1543000,None,11276000,1262000,None,40752000,40752000,None
2019-02-28,USD,1244199000,329208000,813592000,430607000,103678000,76168000,None,None,103678000,None,287967000,2279000,101399000,41241000,None,None,None,None,None,None,None,27510000,None,None,76168000,76168000,None
2018-11-30,USD,1003707000,290854000,604220000,399487000,112963000,85472000,0,0,112963000,0,248438000,4330000,108633000,42416000,0,None,None,None,0,0,0,27491000,4330000,0,85472000,85472000,None
2018-08-31,USD,964853000,276710000,611752000,353101000,77251000,60333000,0,0,77251000,0,233971000,860000,76391000,42739000,0,None,None,None,0,-1568000,0,16918000,860000,0,60333000,60333000,None
2018-05-31,USD,822961000,253737000,518518000,304443000,51208000,39929000,0,0,51208000,0,210234000,502000,50706000,41935000,0,None,None,None,0,1568000,0,11279000,-1066000,0,39929000,39929000,None
2018-02-28,USD,1228723000,309108000,803602000,425121000,119972000,93958000,0,0,119972000,0,263843000,3959000,116013000,43543000,0,None,None,None,0,1722000,0,26014000,-43895000,0,93958000,93958000,None
2017-08-31,USD,960433000,263990000,585520000,374913000,97680000,63733000,0,0,97680000,0,217146000,-13243000,110923000,43149000,0,None,None,None,0,3695000,0,33947000,0,0,63733000,63733000,None
2017-05-31,USD,844557000,253746000,551908000,292649000,32169000,21236000,0,0,32169000,0,203717000,-6734000,38903000,40283000,0,None,None,None,0,9746000,0,10933000,0,0,21236000,21236000,None
2017-02-28,USD,761836000,240873000,484014000,277822000,37352000,25236000,0,0,37352000,0,194979000,403000,36949000,40446000,0,None,None,None,0,5448000,0,12116000,0,0,25236000,25236000,None
2016-11-30,USD,1097246000,302691000,708682000,388564000,87255000,54621000,0,0,87255000,0,242121000,1382000,85873000,39404000,0,None,None,None,0,21166000,0,32634000,-18880000,0,54621000,54621000,None
2016-08-31,USD,940609000,259548000,562793000,377816000,118871000,75760000,0,0,118871000,0,219912000,603000,118268000,39636000,0,None,None,None,0,63498000,0,43111000,0,0,75760000,75760000,None
2016-05-31,USD,822594000,238436000,515499000,307095000,65525000,41592000,0,0,65525000,0,199536000,-3134000,68659000,38900000,0,None,None,None,0,-63498000,0,23933000,0,0,41592000,41592000,None
2016-02-29,USD,749416000,234776000,455964000,293452000,63611000,40476000,0,0,63611000,0,195993000,4935000,58676000,38783000,0,None,None,None,0,21166000,0,23135000,0,0,40476000,40476000,None
2015-11-30,USD,1105828000,-1228920000,2219114000,387951000,113373000,81706000,0,0,113373000,0,233020000,-2261000,115634000,-1461940000,0,None,None,None,0,21166000,0,31667000,-2807000,4847000,81706000,81706000,None
2015-08-31,USD,919072000,809961000,512389000,367532000,109632000,74112000,0,0,109632000,0,220798000,521000,109111000,589163000,0,None,None,None,0,0,0,40367000,0,0,69265000,74112000,None
2015-05-31,USD,699520000,657526000,437308000,262212000,47964000,29055000,0,0,47964000,0,185091000,5970000,41994000,472435000,0,None,None,None,0,0,0,18909000,0,0,29055000,29055000,None
2015-01-31,USD,1071853000,959643000,696043000,375810000,113762000,61609000,0,0,113762000,0,226721000,1552000,112210000,732922000,0,None,None,None,0,51220000,0,43688000,-53883000,-8465000,70073000,61608000,None
