fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,77804800000,None,None,449600000,57393800000,20007400000,8056400000,2337400000,3355400000,10221900000,20014700000,52500000,10639400000,560000000,10122000000,7759400000,5214300000,-172900000,61926800000,4273200000,247100000,20087700000,192300000,1791500000,26637700000,1279800000,3101800000,None,None,3355400000,None,10221900000,None,None,11305200000,None,11604800000,924900000,26637700000,12577700000,47271800000,None,63700000,None,6603000000,77804800000,752300000,-19777400000,None
2020-03-31,USD,77724000000,None,None,430300000,57598300000,19728400000,7960400000,2491400000,3350200000,10038800000,19477500000,52500000,10403900000,1739100000,11654700000,10470700000,6573800000,-216500000,61048900000,5292000000,323700000,19793900000,185200000,1741500000,25783000000,1195900000,3156700000,None,None,3350200000,None,10038800000,None,None,11006900000,None,11383100000,970600000,25783000000,12200200000,45943600000,None,64800000,None,6555900000,77724000000,1924300000,-19368100000,497000000
2019-12-31,USD,75892300000,None,None,507800000,55870500000,19632200000,7850000000,2770600000,3343400000,9900900000,19503700000,52500000,9292800000,493000000,10299100000,6679600000,4437000000,-147700000,60138100000,4077800000,266600000,19688300000,202700000,1705100000,25126800000,1169200000,3687200000,None,None,3343400000,None,9900900000,None,None,11357300000,None,11676400000,968700000,25126800000,12594600000,45571400000,None,65700000,None,6535600000,75892300000,695700000,-19007600000,495000000
2019-09-30,USD,73900700000,None,None,547600000,53765100000,19716400000,7726400000,2493200000,3341900000,10095300000,19615900000,52500000,9999100000,544000000,8611200000,5673000000,3837700000,-187900000,58692700000,4166400000,299000000,19801800000,198400000,1825100000,24553500000,1051300000,2955000000,None,None,3341900000,None,10095300000,None,None,10690100000,None,11041600000,1029900000,24553500000,12874000000,45153900000,None,67300000,None,6467100000,73900700000,742400000,-18760200000,495000000
2019-06-30,USD,72550000000,None,None,593400000,53001000000,19259600000,7642500000,2396900000,3340800000,9694200000,19483400000,52500000,10216800000,476600000,8357100000,5260800000,3534400000,-230700000,57202900000,4061300000,313500000,19332900000,175700000,1781200000,24174400000,1034400000,2976400000,None,None,3340800000,None,9694200000,None,None,10919800000,None,11285800000,1026400000,24174400000,12827000000,44643900000,None,67600000,None,6455300000,72550000000,652300000,-18439100000,495000000
2019-03-31,USD,70722000000,None,None,417600000,51378800000,19196300000,7460900000,1581000000,3338600000,9565600000,19438600000,52500000,9740700000,499400000,7990600000,3449900000,3386500000,-150700000,55968600000,3914800000,250400000,19258500000,168900000,1882300000,22898200000,946600000,2959700000,None,None,3338600000,None,9565600000,None,None,10535700000,None,10838600000,1088400000,22898200000,13029100000,43388200000,None,68500000,None,6442800000,70722000000,668300000,-18182600000,494000000
2018-12-31,USD,68802800000,None,None,521700000,49634600000,19028400000,7349900000,2411300000,3337400000,9325300000,19143500000,52500000,8673700000,585500000,8648800000,4879000000,1698500000,-120400000,55099100000,4113900000,254000000,19084700000,159100000,1926500000,21648200000,921100000,3324000000,None,None,3337400000,108800000,9325300000,None,None,9283300000,None,9589800000,233500000,21881700000,11987700000,40985800000,None,69400000,None,6486100000,68802800000,744600000,-17986100000,494000000
2018-09-30,USD,67617400000,52500000,None,516000000,48470100000,19016800000,7397600000,2318300000,3336500000,9293700000,19204600000,52500000,9516800000,1046300000,8426200000,5696700000,1904200000,-86000000,53355700000,4692400000,264900000,19064800000,164100000,2118100000,20869800000,847900000,2653800000,19046800000,6472600000,3336500000,30500000,9293700000,0,None,9251900000,None,9569300000,None,20869800000,11776500000,40043900000,None,70000000,None,6472600000,67617400000,1210400000,-17841600000,494000000
2018-06-30,USD,66870100000,52500000,None,718100000,48024700000,18722300000,7364900000,2069200000,3335400000,9023100000,19239400000,52500000,9806000000,502600000,9058300000,6763800000,2281400000,-94800000,52441500000,4570100000,264500000,18763800000,163100000,2270700000,19750600000,915600000,2814500000,18751400000,6458600000,3335400000,23600000,9023100000,0,None,9541500000,None,9858500000,None,19750600000,11850900000,38966400000,None,70400000,None,6458600000,66870100000,665700000,-17571400000,494000000
2018-03-31,USD,65609500000,52500000,None,722100000,47010200000,18483300000,7226600000,2085300000,3332700000,8801500000,11750000000,52500000,10109400000,470700000,9471400000,7240800000,2616100000,-95400000,51365100000,4135000000,271200000,18518500000,167900000,1851500000,18844900000,922800000,2804100000,18511600000,6444500000,3332700000,17000000,8801500000,0,None,9785700000,None,10109400000,None,18844900000,11467300000,37538800000,None,70700000,None,6444500000,65609500000,638600000,-17431200000,493000000
2017-12-31,USD,64729100000,52500000,None,729100000,46403600000,18287000000,7135900000,1402100000,3329400000,8626700000,11458200000,52500000,10214500000,518100000,8271300000,3512900000,1753700000,-67800000,50261500000,4253100000,282100000,18246400000,161700000,1891000000,19419600000,953200000,3415300000,18313600000,6398700000,3329400000,11900000,8626700000,0,None,9879900000,None,10214500000,238800000,19658400000,11576800000,38132300000,None,None,None,6398700000,64729100000,679800000,-17167000000,493000000
2017-09-30,USD,63964900000,52500000,None,650100000,45850100000,18069100000,12980900000,1320200000,3328300000,8532000000,7537500000,52500000,11580600000,449600000,7322000000,3488000000,2359300000,-175400000,48316500000,4067800000,310400000,18025900000,310700000,1740900000,18362400000,916500000,2513800000,18105500000,6384200000,3328300000,9300000,8532000000,0,None,11217700000,None,11580600000,None,18362400000,7184800000,38528100000,None,None,None,6384200000,63964900000,760300000,-17121700000,493000000
2017-06-30,USD,62739100000,52500000,None,583900000,44884100000,17824100000,12599100000,1346900000,3328300000,8276400000,7406500000,52500000,11702900000,263500000,8392200000,4668400000,21403600000,-161600000,47227200000,3809000000,285600000,17777100000,317600000,1661800000,16796900000,982200000,2376900000,17849500000,6381000000,3328300000,5500000,8276400000,0,None,11364800000,None,11702900000,None,16796900000,7095900000,36491900000,None,None,None,6381000000,62739100000,581100000,-16907600000,493000000
2017-03-31,USD,61728300000,52500000,None,394200000,44015000000,17687100000,12326400000,1361000000,3328300000,8194300000,7396700000,52500000,11875600000,280700000,7914500000,4118400000,4118400000,-171000000,46236300000,3616400000,310500000,17636200000,275000000,1711200000,16722200000,955300000,2435100000,17711700000,6335500000,3328300000,1600000,8194300000,0,None,11512600000,None,11875600000,None,16722200000,7051900000,36100500000,None,None,None,6335500000,61728300000,555700000,-16674200000,492000000
2016-12-31,USD,63467700000,52500000,None,2527800000,46047600000,17397000000,12200600000,1889900000,3328300000,7892400000,6899200000,52500000,11794500000,290400000,9498000000,4707800000,2878000000,-156300000,45639300000,6033900000,289100000,17344500000,331700000,1916700000,17378400000,967300000,2963700000,None,None,3328300000,None,7892400000,None,None,11452900000,None,11794500000,242100000,17620500000,6970600000,36549600000,None,None,None,6332600000,63467700000,622100000,16397300000,492000000
2016-09-30,USD,61442000000,52500000,None,2281600000,44099000000,17321900000,12055100000,1600300000,3328300000,7809400000,7184600000,52500000,11230600000,268700000,7779400000,3942400000,3942400000,-145800000,44262200000,5949200000,311700000,17269400000,279200000,2094900000,17319900000,1024800000,2236700000,17343000000,6330000000,3328300000,0,7809400000,0,None,10866400000,None,11230600000,None,17319900000,6944600000,36319600000,None,None,None,6330000000,61442000000,547900000,-16337600000,492000000
2016-06-30,USD,63317100000,52500000,None,362800000,44912200000,18386200000,12569300000,1434300000,3328000000,8851400000,7102400000,52500000,11442000000,319300000,7869900000,4152300000,4152300000,-117900000,47436200000,4438900000,298500000,18333700000,306900000,2087900000,17537400000,1362000000,2283300000,18404900000,6324700000,3328000000,0,8851400000,0,None,11091000000,None,11442000000,None,17537400000,6935600000,37042300000,None,None,None,6324700000,63317100000,626200000,-19646200000,492000000
2016-03-31,USD,62486500000,52500000,None,382100000,44344800000,18126500000,12341400000,2225700000,3325300000,8624800000,7239800000,52500000,11507300000,271700000,7221900000,3860600000,None,-133800000,46832900000,4146300000,328900000,18074000000,264500000,1876100000,17749300000,1351900000,2356600000,0,0,3325300000,0,8624800000,0,None,11125900000,None,11507300000,None,17749300000,7032200000,37122900000,None,None,None,6310200000,62486500000,536200000,-19597300000,491000000
2015-12-31,USD,61683100000,54300000,None,422000000,43778200000,17891700000,11912300000,2440600000,3324000000,8398300000,6820300000,52500000,11477500000,283700000,7108500000,2940100000,1831800000,-127100000,46133200000,4072400000,321800000,17839200000,386800000,1640500000,17740900000,1339400000,2624000000,0,0,3324000000,0,8398300000,0,None,11103200000,None,11477500000,247300000,17988200000,7016500000,36669700000,None,None,None,6296500000,61683100000,670500000,19348200000,491000000
2015-09-30,USD,61099000000,53000000,None,1012000000,43390000000,17699000000,11626000000,2117000000,3322000000,8204000000,7307000000,53000000,11313000000,263000000,7058000000,2683000000,None,-109000000,45238000000,4548000000,353000000,17646000000,315000000,1853000000,17600000000,1105000000,2258000000,0,0,3322000000,0,8204000000,0,None,10907000000,None,11313000000,None,17600000000,7106000000,36332000000,None,None,None,6282000000,61099000000,578000000,-19588000000,491000000
2015-06-30,USD,60938000000,91000000,None,507000000,43496000000,17434000000,11600000000,1433000000,3321000000,7945000000,7659000000,91000000,11700000000,282000000,6650000000,3000000000,None,-102000000,45013000000,4225000000,363000000,17343000000,356000000,1920000000,17761000000,1160000000,2217000000,0,0,3321000000,0,7945000000,0,None,11246000000,None,11700000000,None,17761000000,7485000000,36846000000,None,None,None,6270000000,60938000000,638000000,-19589000000,490000000
