fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,-20000000,-141400000,-1481600000,-9400000,-207800000,-815000000,-21200000,-128600000,514500000,-1166100000,1130500000,1600000,935100000,-340900000,54900000,-84500000,-48100000,-46700000,1452200000,-48100000,None,-1166100000
2020-03-31,USD,2900000,-522500000,-1766000000,23800000,2744200000,2388500000,-48100000,-237400000,499300000,1238200000,615700000,17600000,635800000,-363700000,56100000,-35800000,-32600000,53900000,1792700000,-32600000,None,1238200000
2019-12-31,USD,-4500000,570100000,-1786900000,-69900000,1175200000,809500000,-38300000,-4300000,152700000,-57200000,920200000,-101100000,242900000,-348000000,20600000,-131600000,122800000,64400000,1712500000,122800000,None,-57200000
2019-09-30,USD,-41300000,-211400000,-1762600000,-31900000,656500000,313700000,-21300000,-66100000,733900000,100200000,1549100000,154600000,874800000,-333900000,12400000,-2000000,-40500000,39700000,1689400000,-40500000,None,100200000
2019-06-30,USD,-17500000,-137100000,-2012200000,7800000,1413700000,1046200000,-50800000,42900000,459100000,26500000,992500000,35000000,856800000,-334500000,17800000,-88200000,108000000,-241100000,2002500000,108000000,None,26500000
2019-03-31,USD,-18500000,-382000000,-1582800000,1100000,998700000,693500000,13900000,-238500000,574100000,-81000000,808300000,-23600000,555300000,-333600000,14500000,-26400000,57500000,53400000,1565400000,57500000,None,-81000000
2018-12-31,USD,-17500000,518100000,-1664900000,-10300000,202900000,-119100000,-100000,47500000,364800000,-493400000,1290600000,-48300000,258400000,-333000000,11100000,-78000000,198200000,78000000,1637100000,198200000,None,-493400000
2018-09-30,USD,-8900000,59100000,-1449800000,24100000,380600000,74200000,-9700000,210300000,579700000,550200000,1925800000,362400000,818700000,-308300000,11600000,67500000,157600000,-120100000,1465000000,157600000,None,550200000
2018-06-30,USD,-14100000,24900000,-1311100000,20600000,486100000,177300000,-19400000,5800000,530100000,70800000,1204600000,213400000,760800000,-308100000,18700000,2700000,-249600000,-80600000,1317600000,-249600000,None,70800000
2018-03-31,USD,-17300000,-133500000,-1927800000,-4700000,1300400000,1029500000,3000000,-103300000,456700000,-96100000,802200000,-151900000,503400000,-306100000,32200000,28500000,39700000,55900000,1905800000,39700000,None,-96100000
2017-12-31,USD,-65200000,-58000000,-3656400000,2208100000,624500000,-604900000,-63300000,-242500000,400700000,9100000,4270400000,None,1838200000,-1191900000,12200000,17900000,28500000,669600000,5799300000,None,None,None
2017-09-30,USD,-18100000,-55500000,-1300900000,-15000000,355200000,65200000,100000,-24300000,556700000,171500000,1407200000,430700000,720200000,-290100000,0,68000000,201300000,310400000,1267800000,-69200000,None,171500000
2017-06-30,USD,-11000000,-92000000,-1220500000,-64900000,609100000,307700000,-7900000,1000000,376200000,-2600000,910200000,798900000,689300000,-293500000,0,-22900000,270500000,84800000,1144600000,34700000,None,-2600000
2017-03-31,USD,-18100000,-308200000,844800000,2228700000,-1353000000,-1687100000,-42700000,-45900000,594200000,-35500000,806800000,-333200000,472600000,-291400000,0,13400000,235800000,132200000,1365800000,235800000,None,-35500000
2016-12-31,USD,-152500000,164900000,-5046600000,15600000,1606400000,503900000,-19900000,-14300000,373400000,-23400000,4519300000,None,1819100000,-1121000000,34200000,60200000,-226600000,2043100000,4909600000,None,None,None
2016-09-30,USD,-7100000,53200000,-1129000000,-20700000,-320200000,-600800000,-7200000,5200000,-764200000,-34600000,1695200000,-18300000,732800000,-276700000,3300000,118600000,0,1648000000,1101200000,-74800000,None,-34600000
2016-06-30,USD,-6100000,-153800000,-1161400000,-73000000,569800000,294400000,-17600000,2200000,503900000,58900000,925900000,-108400000,712200000,-276600000,18800000,-11600000,0,133800000,1082300000,-155200000,None,56400000
2016-03-31,USD,-14300000,-414700000,-1138300000,79500000,598800000,352400000,18000000,None,503100000,14000000,799900000,-4900000,503200000,-276500000,12100000,-95400000,0,319400000,1203500000,-10800000,None,14000000
2015-12-31,USD,-69600000,16500000,-4023800000,644800000,393700000,-789400000,-209300000,-75800000,469100000,5300000,4818500000,None,1822300000,-1059000000,0,-38600000,200200000,710100000,4600000000,None,None,None
2015-09-30,USD,None,None,-3248000000,60000000,None,-647000000,None,None,519000000,None,3910000000,None,0,-783000000,68000000,194000000,0,None,3336000000,None,None,None
2015-06-30,USD,None,None,-2190000000,41000000,None,19000000,None,None,429800000,None,2203000000,None,0,-522000000,56000000,149000000,12000000,None,2234000000,None,None,None
