fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,3494000000,2771300000,-964900000,4458900000,791300000,501600000,None,None,507900000,-6300000,-566000000,68600000,722700000,-679500000,294000000,12600000,None,-294000000,None,None,None,12600000,79200000,None,495300000,520800000,None
2020-03-31,USD,3747500000,2995900000,-1151000000,4898500000,808200000,465600000,None,None,516200000,4100000,-602100000,56600000,751600000,-672200000,292100000,46500000,-260700000,-292100000,None,None,None,46500000,56700000,None,469700000,495200000,None
2019-12-31,USD,3616000000,3321300000,-1137200000,4753200000,370000000,132500000,None,None,88100000,-800000,-762000000,75300000,294700000,-640900000,290900000,-43600000,-244800000,-290900000,None,-156400000,None,-43600000,-72100000,None,131700000,153500000,None
2019-09-30,USD,4315000000,3356800000,-1415100000,5730100000,1019600000,718300000,None,None,759300000,400000,-708300000,61400000,958200000,-645200000,275100000,40600000,-232100000,-275100000,None,None,None,40600000,76200000,None,718700000,733500000,None
2019-06-30,USD,3573600000,3022600000,-1141600000,4715200000,625400000,443900000,None,None,387300000,-2200000,-607400000,74400000,551000000,-622600000,250700000,-54400000,-200300000,-250700000,None,None,None,-54400000,87000000,None,441700000,461300000,None
2019-03-31,USD,4056800000,3268400000,-1412200000,5469000000,844400000,554300000,None,None,600100000,1300000,-666000000,56000000,788400000,-605800000,255800000,44500000,-226900000,-255800000,None,None,None,44500000,67500000,None,555600000,572800000,None
2018-12-31,USD,3801100000,3250000000,-4161400000,7962500000,608700000,418700000,0,0,368800000,1400000,-4228700000,57600000,551100000,-6207000000,251300000,None,None,None,10900000,-70600000,0,21800000,-229300000,0,420100000,363400000,None
2018-09-30,USD,4333100000,3664500000,-1625100000,5958200000,723900000,559500000,0,0,480900000,2100000,-826000000,55300000,668600000,-602600000,256800000,None,None,None,0,0,0,-80700000,-236500000,0,561600000,577600000,None
2018-06-30,USD,4013200000,3256200000,2419800000,4013200000,813200000,509700000,0,0,583600000,1700000,1063500000,56200000,757000000,2192700000,242300000,None,None,None,0,0,0,72200000,-186100000,0,511400000,528400000,None
2018-03-31,USD,4048300000,3342300000,2781600000,4048300000,760700000,435900000,0,0,540200000,2300000,1012000000,54700000,706000000,2330300000,234000000,None,None,None,0,0,0,102000000,-179300000,0,438200000,454400000,None
2017-12-31,USD,3810400000,17362400000,2480400000,6487800000,-3464900000,400700000,0,0,573700000,1100000,-124500000,None,818700000,-1325800000,227000000,None,None,None,0,12400000,0,171900000,-532600000,0,-2411400000,400700000,None
2017-09-30,USD,4104700000,3118200000,2613600000,4104700000,1044000000,544700000,0,0,800600000,12000000,908700000,57500000,986500000,2212000000,223300000,None,None,None,0,-2500000,0,264000000,0,0,556700000,544700000,None
2017-06-30,USD,3576500000,2831800000,2355700000,3576500000,789700000,375000000,0,0,550800000,1200000,863800000,45000000,744700000,1966100000,222900000,None,None,None,0,1900000,0,190600000,0,0,376200000,375000000,None
2017-03-31,USD,3933300000,2836200000,2581000000,3933300000,1159200000,565200000,0,0,910400000,2000000,862000000,62100000,1097100000,1963000000,221800000,None,None,None,0,11200000,0,343200000,0,0,567200000,592200000,None
2016-12-31,USD,3790100000,12905200000,2799200000,6455200000,8188300000,373400000,0,0,435500000,1800000,-124500000,None,578800000,2533900000,210000000,None,None,None,0,9062500000,0,60300000,-2928100000,-12500000,3417900000,373400000,None
2016-09-30,USD,4652200000,5780100000,2975900000,4652200000,-1073400000,-765800000,0,0,-1323900000,1600000,1035500000,54500000,-1127900000,2479700000,225300000,None,None,None,0,2264900000,0,-534500000,0,12500000,-764200000,-765800000,None
2016-06-30,USD,3892900000,3026700000,2512900000,3892900000,896300000,502100000,0,0,678800000,1800000,913900000,30100000,866200000,2112800000,224900000,None,None,None,0,2264900000,0,165000000,0,-2500000,506400000,502100000,None
2016-03-31,USD,4044900000,3152000000,2654900000,4044900000,955600000,501200000,0,0,713600000,1900000,969200000,62700000,892900000,2182800000,217000000,None,None,None,0,0,0,235500000,0,0,503100000,501200000,None
2015-12-31,USD,3614200000,13119700000,2667000000,6315800000,3333500000,469100000,0,0,297200000,1200000,-124500000,None,465500000,972600000,214900000,None,None,None,0,2267800000,0,92600000,-645300000,283700000,1768600000,203400000,None
2015-09-30,USD,4432000000,3472000000,2937000000,4432000000,1008000000,519000000,0,0,775000000,1000000,939000000,48000000,960000000,2533000000,221000000,None,None,None,0,0,0,275000000,0,8000000,512000000,519000000,None
2015-06-30,USD,3942000000,3133000000,2523800000,3942000000,880000000,405000000,0,0,631000000,1000000,937000000,71000000,809000000,2196000000,224000000,None,None,None,0,0,0,225000000,0,0,406000000,430000000,None
