fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,-326217000,-10733000,-326217000,None,-2043994000,-2221493000,-177234000,-253733000,246061000,-2239820000,307890000,None,411818000,None,-265000,None,-108068000,7601000,471497000,None,None,None
2020-03-31,USD,-235201000,13962000,-235201000,176961000,3281578000,3189511000,26504000,-96013000,276824000,3583228000,628918000,None,415798000,None,-118571000,None,-49342000,51391000,412162000,None,None,None
2019-12-31,USD,-714558000,36592000,-714558000,1773749000,218426000,48668000,44574000,-66593000,309758000,102429000,768319000,None,415866000,None,-214332000,None,6673000,47675000,1316438000,None,None,None
2019-09-30,USD,-910928000,589000,-910928000,-6000,277937000,321660000,149274000,40702000,270290000,227851000,817119000,None,415313000,None,-105551000,None,5651000,66060000,1349651000,None,None,None
2019-06-30,USD,-546068000,-80042000,-1329257000,733146000,-1740943000,-1832422000,146607000,-37583000,331460000,-1603946000,774544000,None,419093000,None,-179080000,None,33964000,83902000,966794000,None,None,None
2019-03-31,USD,-783189000,42892000,-783189000,312420000,1279060000,1197088000,59006000,-10172000,246897000,1159196000,745700000,None,425849000,None,-140978000,None,-55039000,88951000,1095609000,None,None,None
2018-12-31,USD,None,-31413000,-1737757000,-146000,1141738000,965813000,61426000,21006000,232642000,6266000,778438000,None,5300000,None,-834398000,None,67269000,46161000,2242522000,None,None,None
2018-09-30,USD,None,36286000,-1073078000,-424000,-113096000,-93695000,107768000,-35348000,263351000,-449704000,716716000,None,5300000,None,None,None,-18164000,40083000,1243066000,None,None,None
2018-06-30,USD,None,-72349000,-718873000,-8421000,-309204000,-484516000,19997000,23579000,254240000,-593657000,607250000,None,6500000,None,None,None,-13322000,-20974000,1333207000,None,None,None
2018-03-31,USD,None,42618000,-522902000,-12514000,509867000,212808000,16312000,563000,265399000,428005000,737968000,None,7800000,None,None,None,-15944000,-884000,1129614000,None,None,None
2017-12-31,USD,91918000,19978000,-3427395000,1741219000,900949000,-87568000,150265000,55309000,266251000,-375778000,3140217000,None,31200000,-266000,-1138782000,None,-10567000,192998000,5225256000,None,None,None
2017-09-30,USD,None,-3408000,-893310000,1164856000,149988000,-70801000,46507000,37677000,265847000,-146847000,2415905000,None,7800000,None,None,None,12259000,53944000,3211030000,None,None,None
2017-06-30,USD,None,-36868000,-608401000,685067000,-298186000,-522890000,74877000,37132000,282880000,-334550000,1598663000,None,7800000,None,None,None,-18085000,80164000,1835925000,None,None,None
2017-03-31,USD,None,36065000,-478678000,400267000,-128358000,-422689000,2697000,1315000,261173000,-99817000,801509000,None,7800000,None,None,None,3138000,39872000,870860000,None,None,None
2016-12-31,USD,74207000,-32183000,-1331112000,2344564000,-1571558000,-2417166000,175511000,257190000,364650000,-367651000,3381232000,None,31900000,-10501000,-1021119000,None,40065000,202590000,3840150000,None,None,None
2016-09-30,USD,None,None,86328000,1814924000,None,-1274064000,4554000,43075000,225627000,-356533000,2445992000,None,8000000,None,None,None,73745000,None,2415947000,None,None,None
2016-06-30,USD,None,None,-328000000,889825000,None,-792000000,-9000000,63000000,233273000,-345000000,1614894000,None,-8000000,None,None,None,40348000,None,1559424000,None,None,None
2016-03-31,USD,None,None,None,341952000,None,689000,None,None,223080000,None,838773000,None,None,None,None,None,30984000,None,692183000,None,None,None
2015-12-31,USD,54975000,33502000,-1715905000,1494835000,-129903000,-728291000,195557000,88418000,264209000,912729000,3360040000,None,33700000,-10501000,-793945000,None,48468000,99295000,3563656000,None,None,None
2015-09-30,USD,None,None,None,1040113000,None,None,None,None,293917000,None,2406230000,None,None,None,None,None,None,None,2673472000,None,None,None
2015-06-30,USD,None,None,None,472165000,None,None,None,None,309109000,None,1609834000,None,None,None,None,None,7988000,None,2135538000,None,None,None
