fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,385255000,None,None,8991000,295443000,89812000,None,204471000,47000,-993316000,1924000,None,1093000,151299000,83861000,None,None,117000,56177000,313079000,None,89812000,90619000,43078000,199157000,19092000,80471000,None,None,47000,None,-993316000,None,None,15999000,None,72176000,15815000,None,10501000,10501000,None,None,None,1082964000,385255000,241918000,None,46513349
2020-03-31,USD,412277000,None,None,10540000,285068000,127209000,None,199447000,46000,-945129000,1261000,None,1152000,134179000,79145000,None,None,-120000,57223000,338437000,None,127209000,130552000,42941000,193833000,20225000,74792000,None,None,46000,None,-945129000,None,None,16617000,None,73840000,16443000,193833000,10829000,10829000,None,None,None,1072412000,412277000,264731000,None,46476185
2019-12-31,USD,452608000,None,None,7744000,285658000,166950000,None,5502000,46000,-896000000,1257000,None,1596000,143940000,83648000,None,None,-92000,58147000,376342000,None,166950000,165250000,38354000,188651000,21054000,78146000,None,None,46000,None,-896000000,None,None,18119000,None,76266000,17604000,188651000,13359000,202010000,None,None,None,1062996000,452608000,309190000,None,46464669
2019-09-30,USD,479208000,None,None,7940000,270004000,209204000,None,5802000,46000,-840936000,1206000,None,2027000,248702000,73010000,None,None,-158000,58277000,396668000,5020000,209204000,92075000,33278000,183553000,14673000,67208000,None,None,46000,None,-840936000,None,None,19243000,None,82540000,18037000,183553000,13441000,196994000,None,None,None,1050252000,479208000,340777000,None,45998956
2019-06-30,USD,234141000,None,None,8678000,78383000,155758000,None,5494000,46000,-791534000,4030000,None,3554000,109363000,61115000,None,None,None,58595000,154110000,None,155758000,None,25650000,None,10419000,55621000,None,None,46000,None,-791534000,None,None,21436000,None,80031000,18732000,None,17268000,17268000,None,None,None,947246000,234141000,109363000,None,45949418
2019-03-31,USD,263050000,None,None,6499000,70900000,192150000,None,5032000,46000,-744370000,6893000,None,3357000,148868000,51963000,5032000,5032000,None,62982000,180317000,None,192150000,None,14758000,12044000,10192000,46931000,None,None,46000,None,-744370000,None,None,19751000,None,82733000,17076000,None,18937000,18937000,None,None,None,936474000,263050000,148868000,None,45921976
2018-12-31,USD,285044000,None,None,4530000,57238000,227806000,None,10155000,45000,-696419000,6454000,None,4344000,202818000,50784000,None,None,None,60525000,220175000,None,227806000,None,2715000,None,10112000,50784000,None,None,45000,None,-696419000,None,None,4344000,None,64869000,None,None,6454000,6454000,None,None,None,924180000,285044000,202818000,None,45478883
2018-09-30,USD,309194000,0,None,3290000,40612000,268582000,0,4819000,45000,-644961000,5598000,0,4017000,234954000,35014000,None,None,-1000,58360000,246817000,None,268582000,1000000,1961000,4300000,5612000,35014000,0,0,45000,0,-644961000,0,None,4017000,None,62377000,None,None,5598000,5598000,None,None,None,913499000,309194000,235954000,None,45451227
2018-06-30,USD,352961000,0,None,2503000,158081000,194880000,0,19716000,40000,-559588000,5309000,0,2604000,270648000,28773000,123999000,123999000,-9000,54879000,295478000,None,194880000,15455000,1125000,123999000,5747000,28773000,0,0,40000,0,-559588000,0,None,2604000,None,57483000,None,123999000,5309000,129308000,None,None,None,754437000,352961000,286103000,None,39839373
2018-03-31,USD,391043000,0,None,6115000,154772000,236271000,0,18770000,40000,-504564000,5714000,0,2079000,249501000,25136000,123922000,123922000,-157000,47810000,341154000,None,236271000,84476000,None,123922000,1062000,25136000,0,0,40000,0,-504564000,0,None,2079000,None,49889000,None,123922000,5714000,129636000,None,None,None,740952000,391043000,333977000,None,39503110
2017-12-31,USD,290276000,0,None,4487000,154677000,135599000,0,18639000,37000,-461728000,248000,0,4202000,197569000,25184000,123845000,123845000,-28000,31932000,254142000,None,135599000,52086000,None,123845000,0,25184000,0,0,37000,0,-461728000,0,None,4202000,None,36134000,None,123845000,5648000,129493000,None,None,None,597318000,290276000,249655000,None,36947637
2017-09-30,USD,306202000,0,None,2065000,146934000,159268000,0,14745000,36000,-403215000,4569000,0,3557000,194078000,18596000,123769000,123769000,-98000,19246000,283399000,901000,159268000,87256000,None,123769000,0,18596000,0,0,36000,0,-403215000,0,None,2656000,None,22803000,None,123769000,4569000,128338000,None,None,None,562545000,306202000,281334000,None,36426830
2017-06-30,USD,326984000,0,None,2057000,141942000,185042000,0,11416000,36000,-370843000,4440000,0,2617000,242650000,13810000,123692000,123692000,-81000,14391000,309976000,None,185042000,65269000,None,123692000,0,13810000,0,0,36000,0,-370843000,0,None,2617000,None,17008000,None,123692000,4440000,128132000,None,None,None,555930000,326984000,307919000,None,36337542
2017-03-31,USD,225408000,0,None,2351000,141292000,84116000,0,11605000,34000,-342410000,4115000,0,2661000,139534000,13562000,123615000,123615000,-105000,12532000,210215000,None,84116000,68330000,None,123615000,0,13562000,0,0,34000,0,-342410000,0,None,2661000,None,15193000,None,123615000,4115000,127730000,None,None,None,426597000,225408000,207864000,None,33634673
2016-12-31,USD,248254000,0,None,4028000,142910000,105344000,0,13761000,33000,-316623000,None,0,2707000,197945000,19371000,123539000,123539000,-68000,7857000,237690000,None,105344000,35717000,None,123539000,0,19371000,0,0,33000,0,-316623000,0,None,2707000,None,10564000,None,123539000,None,123539000,None,None,None,422002000,248254000,233662000,None,33458607
2016-09-30,USD,265918000,0,None,2910000,137561000,128357000,0,11978000,33000,-287301000,4115000,0,4769000,211938000,14098000,None,None,-13000,4607000,256542000,1970000,128357000,41694000,None,123463000,0,14098000,0,0,33000,0,-287301000,0,None,2799000,None,9376000,None,123463000,None,123463000,None,None,None,415638000,265918000,253632000,None,33376170
2016-06-30,USD,120130000,0,None,1171000,137530000,-17400000,0,11873000,27000,-263487000,4115000,0,8084000,58519000,14143000,None,None,-10000,3844000,108202000,5105000,-17400000,48512000,None,123387000,0,14143000,0,0,27000,0,-263487000,0,None,2979000,None,11928000,None,123387000,None,123387000,None,None,None,246070000,120130000,107031000,None,26649605
2016-03-31,USD,139201000,0,None,1402000,139356000,-155000,0,12324000,27000,-240268000,None,0,14517000,74266000,16046000,None,None,-68000,3993000,120691000,11480000,-155000,45023000,None,123310000,0,16046000,0,0,27000,0,-240268000,0,None,3037000,None,18510000,None,123310000,None,123310000,None,None,None,240154000,139201000,119289000,None,26518449
2015-12-31,USD,159127000,0,None,1865000,140352000,18775000,0,13766000,26000,-217564000,None,0,16884000,91060000,17116000,123236000,123236000,-179000,3816000,138427000,13808000,18775000,45502000,None,123236000,0,17116000,0,0,26000,0,-217564000,0,None,3076000,None,20700000,None,123236000,None,123236000,None,None,None,236492000,159127000,136562000,None,26458495
2015-09-30,USD,175239000,0,None,1348000,142762000,32477000,0,10791000,26000,-197187000,None,0,15741000,106946000,18512000,None,None,-32000,2912000,156586000,7707000,32477000,48292000,None,124250000,0,18512000,0,0,26000,0,-197187000,0,None,8034000,None,18653000,None,124250000,None,124250000,None,None,None,229670000,175239000,155238000,None,26290705
2015-06-30,USD,176337000,0,None,1118000,142473000,33864000,0,7528000,25000,-179226000,None,0,14727000,100916000,18255000,None,None,-41000,1703000,159907000,4140000,33864000,57873000,None,124218000,0,18255000,0,0,25000,0,-179226000,0,None,10587000,None,16430000,None,124218000,None,124218000,None,None,None,213106000,176337000,158789000,None,25499192
