fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,40179000,5436000,39729000,None,None,262000,262000,78000,-48187000,17120000,-22871000,78000,8368000,None,-1160000,1349000,-137000,10222000,450000,-137000,None,17120000
2020-03-31,USD,34723000,-3952000,33483000,34723000,None,-1422000,-1422000,-3868000,-49129000,-9761000,-41822000,-3868000,8176000,None,None,1048000,-4587000,10490000,1240000,-4587000,None,-9761000
2019-12-31,USD,-68186000,10190000,-78068000,-7835000,31653000,430000,-31609000,-490000,-55064000,-104762000,-27124000,-490000,8169000,None,386000,-6177000,-5076000,21324000,2047000,-5076000,None,-104762000
2019-09-30,USD,-97268000,10009000,-98061000,-97268000,275323000,275597000,274000,-455000,-49402000,139339000,-38197000,-455000,2835000,None,375000,-4066000,-7627000,10509000,793000,-7627000,None,139339000
2019-06-30,USD,-2179000,9834000,-2179000,None,-396000,-856000,-460000,-3367000,-47164000,-39505000,-36470000,-3367000,4441000,None,375000,-47000,-10893000,10726000,2179000,-10893000,None,-39505000
2019-03-31,USD,-4939000,-1267000,-4939000,None,308349000,-372000,-747000,-2514000,-47951000,-53950000,-48639000,-2514000,2669000,None,375000,33000,-12043000,12434000,4939000,-12043000,None,-53950000
2018-12-31,USD,1000000,15659000,-909000,52102000,-262000,287000,549000,-1746000,-51458000,-32136000,-31514000,-1746000,1525000,None,135972000,-4390000,-754000,9650000,1909000,-754000,None,-32136000
2018-09-30,USD,14470000,7920000,8098000,0,-1621000,-529000,1092000,-483000,-85388000,-35694000,-43263000,23576000,1282000,0,135972000,247000,-836000,9936000,6372000,-836000,None,-35694000
2018-06-30,USD,69052000,9877000,55146000,0,None,2965000,2965000,3066000,-55024000,21147000,-36964000,3066000,816000,0,135972000,-4577000,-1125000,10003000,13906000,-1125000,None,21147000
2018-03-31,USD,-32420000,-6873000,-41546000,0,None,134313000,-1659000,-1628000,-40699000,51932000,-40835000,-1628000,465000,0,135972000,-969000,-1125000,8869000,9126000,None,None,51932000
2017-12-31,USD,36184000,2906000,16787000,-10500000,689000,12854000,685000,-2239000,-58513000,3491000,-26150000,-3957000,517000,0,12169000,-9689000,-2715000,32887000,8897000,None,None,3491000
2017-09-30,USD,-22895000,4043000,-27374000,0,None,79000,79000,-47000,-32372000,-48572000,-21277000,-47000,385000,0,122046000,0,0,6714000,4479000,None,None,-48572000
2017-06-30,USD,3075000,-261000,1385000,0,None,122663000,1316000,368000,-28433000,103116000,-20932000,338000,394000,0,121347000,0,0,7030000,1690000,None,None,103116000
2017-03-31,USD,-32701000,-5763000,-33605000,0,None,48000,-651000,1427000,-25787000,-58411000,-24854000,1427000,419000,0,699000,0,0,4850000,904000,None,None,-58411000
2016-12-31,USD,7770000,5666000,4085000,0,None,768000,-13000,-1852000,-29322000,-13993000,-18846000,-936000,466000,0,781000,-9689000,-2715000,5280000,3685000,None,None,-13993000
2016-09-30,USD,9820000,-189000,8887000,0,None,165694000,-3000,-1707000,-23814000,153419000,-21162000,-1707000,449000,0,165697000,0,0,4099000,933000,None,None,153419000
2016-06-30,USD,2816000,-1862000,2692000,0,None,2035000,-9000,288000,-23219000,-15747000,-20474000,288000,438000,0,2044000,0,0,3881000,124000,None,None,-15747000
2016-03-31,USD,2771000,-1136000,2436000,0,None,128000,-128000,None,-22704000,-16794000,-19358000,503000,445000,0,256000,0,0,3534000,335000,None,None,-16794000
2015-12-31,USD,-3590000,2978000,-5015000,0,None,3364000,-2566000,-840000,-20377000,-15886000,-14235000,-602000,354000,0,3364000,-9689000,-2715000,3412000,1425000,None,None,-15886000
2015-09-30,USD,5890000,2634000,5087000,0,None,12866000,None,None,-17961000,6030000,-11923000,-165000,253000,0,12866000,0,0,3316000,803000,None,None,6030000
2015-06-30,USD,3722000,-1359000,3209000,0,None,538000,None,None,-18786000,-12534000,-16281000,132000,256000,0,538000,0,0,3476000,513000,None,None,-12534000
