fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,18033000,53260000,7326000,10707000,-48187000,-48187000,19943000,None,-48187000,None,33237000,-5634000,-42553000,80000,6513000,0,524000,-5989000,None,None,None,None,355000,None,-48187000,-48187000,None
2020-03-31,USD,20341000,58189000,6092000,14249000,-49162000,-49129000,19173000,None,-49162000,None,36902000,-5222000,-43940000,2114000,6375000,-33000,1096000,-5279000,None,None,None,-33000,57000,None,-49129000,-49129000,None
2019-12-31,USD,24657000,-393299000,-46866000,71523000,-55064000,-55064000,-151962000,None,-55064000,None,-241337000,-5126000,-49938000,None,6294000,0,1142000,-5152000,None,None,None,None,26000,None,-55064000,-55064000,None
2019-09-30,USD,18544000,53967000,7904000,10640000,-49402000,-49402000,21796000,None,-49402000,None,32171000,-6075000,-43327000,None,6604000,0,476000,-6128000,None,None,None,None,53000,None,-49402000,-49402000,None
2019-06-30,USD,15835000,55386000,6524000,9311000,-47164000,-47164000,20904000,None,-47164000,None,34482000,-1089000,-46075000,None,1559000,0,540000,-1019000,None,None,None,None,-70000,None,-47164000,-47164000,None
2019-03-31,USD,10852000,54166000,4838000,6014000,-48041000,-47951000,17884000,None,-48041000,None,36282000,111000,-48152000,None,798000,-90000,14000,14000,None,None,None,-90000,97000,None,-47951000,-47951000,None
2018-12-31,USD,14456000,-292425000,-27450000,41906000,-51458000,-51458000,-119810000,0,-51458000,0,-172615000,467000,-51925000,0,-799000,None,None,None,0,0,0,3000,467000,0,-51458000,-51458000,None
2018-09-30,USD,7302000,68435000,205000,7097000,-85388000,-85388000,28502000,0,-85388000,0,39933000,-24050000,-61338000,0,-763000,None,None,None,0,0,0,-3000,-24050000,0,-85388000,-85388000,None
2018-06-30,USD,2423000,58048000,59000,2364000,-55021000,-55024000,18157000,0,-55021000,0,39891000,663000,-55684000,0,-462000,None,None,None,0,0,0,3000,663000,0,-55024000,-55024000,None
2018-03-31,USD,0,-40795000,40308000,0,-40699000,-40699000,-12972000,0,-40699000,0,-27823000,96000,-40795000,0,-507000,None,None,None,0,0,0,0,96000,0,-40699000,-40699000,None
2017-12-31,USD,0,-111172000,16710000,-16710000,-60413000,-58513000,-60009000,0,-60413000,0,-51163000,-99000,-60314000,0,569000,None,None,None,0,0,0,-1802000,-1170000,0,-58611000,-58513000,None
2017-09-30,USD,0,-32182000,0,0,-32323000,-32372000,-12408000,0,-32323000,0,-19774000,-141000,-32182000,0,598000,None,None,None,0,0,0,-49000,0,0,-32274000,-32372000,None
2017-06-30,USD,0,-27768000,0,0,-28386000,-28433000,-10615000,0,-28386000,0,-17153000,-618000,-27768000,0,604000,None,None,None,0,0,0,47000,0,0,-28433000,-28433000,None
2017-03-31,USD,0,25429000,0,0,-25741000,-25787000,10954000,0,-25741000,0,14475000,-312000,-25429000,0,597000,None,None,None,0,0,0,46000,0,0,-25787000,-25787000,None
2016-12-31,USD,0,28757000,9772000,-9772000,-29261000,-29322000,14093000,0,-29261000,0,14664000,-504000,-28757000,0,627000,None,None,None,0,0,0,61000,-1994000,0,-29322000,-29322000,None
2016-09-30,USD,0,23315000,0,0,-23775000,-23814000,12688000,0,-23775000,0,10627000,-460000,-23315000,0,600000,None,None,None,0,0,0,39000,0,0,-23814000,-23814000,None
2016-06-30,USD,0,22690000,0,0,-23172000,-23219000,13304000,0,-23172000,0,9386000,-482000,-22690000,0,622000,None,None,None,0,0,0,47000,0,0,-23219000,-23219000,None
2016-03-31,USD,0,22110000,0,0,-22658000,-22704000,12309000,0,-22658000,0,9801000,-548000,-22110000,0,688000,None,None,None,0,0,0,46000,0,0,-22704000,-22704000,None
2015-12-31,USD,0,19950000,0,0,-20462000,-20377000,12302000,0,-20462000,0,7648000,-512000,-19950000,0,625000,None,None,None,0,0,0,-85000,862000,0,-20377000,-20377000,None
2015-09-30,USD,0,17366000,0,0,-17889000,-17961000,9904000,0,-17889000,0,7462000,-523000,-17366000,0,629000,None,None,None,0,0,0,72000,0,0,-17961000,-17961000,None
2015-06-30,USD,0,18129000,0,0,-18634000,-18786000,10627000,0,-18634000,0,7502000,-505000,-18129000,0,622000,None,None,None,0,0,0,152000,0,0,-18786000,-18786000,None
