fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,34566000000,566000000,None,1845000000,29049000000,2462000000,1166000000,526000000,8000000,-665000000,5084000000,1059000000,3337000000,1781000000,5448000000,2041000000,2041000000,-2693000000,22836000000,5966000000,2082000000,1712000000,422000000,1414000000,19332000000,504000000,2881000000,None,None,8000000,None,-665000000,-1858000000,None,1853000000,None,204000000,None,19332000000,3103000000,23601000000,None,875000000,None,7670000000,34566000000,2203000000,-8623000000,664935827
2020-03-31,USD,34142000000,459000000,None,1546000000,28552000000,2539000000,1105000000,438000000,8000000,-583000000,5066000000,1059000000,3365000000,1970000000,5432000000,2223000000,2223000000,-2692000000,22570000000,5751000000,2238000000,1894000000,328000000,1446000000,18867000000,461000000,2771000000,None,None,8000000,None,-583000000,-1858000000,None,1868000000,None,197000000,None,18867000000,3148000000,23120000000,None,873000000,None,7664000000,34142000000,2298000000,-8597000000,664907475
2019-12-31,USD,33648000000,469000000,None,1500000000,27531000000,2996000000,1213000000,442000000,8000000,-692000000,4697000000,1059000000,3101000000,1365000000,5096000000,1868000000,1868000000,-2229000000,22574000000,5231000000,2317000000,2356000000,400000000,1479000000,18305000000,487000000,2786000000,None,None,8000000,None,-692000000,-1867000000,None,1842000000,156000000,28417000000,None,18305000000,2917000000,22435000000,None,888000000,None,7776000000,33648000000,1765000000,None,663952656
2019-09-30,USD,33423000000,462000000,None,1538000000,27151000000,3140000000,1198000000,455000000,8000000,-614000000,4795000000,1059000000,3070000000,1600000000,4991000000,1882000000,1882000000,-2335000000,21853000000,5470000000,2579000000,2505000000,334000000,1503000000,17879000000,495000000,2654000000,None,None,8000000,None,-614000000,-1867000000,None,1865000000,135000000,27953000000,None,17879000000,3083000000,22160000000,None,886000000,None,7948000000,33423000000,1934000000,-8599000000,663892656
2019-06-30,USD,33238000000,460000000,None,1466000000,26874000000,3208000000,1233000000,418000000,8000000,-824000000,4737000000,1059000000,3298000000,1607000000,4042000000,1087000000,1087000000,-2147000000,21565000000,5517000000,2474000000,2585000000,410000000,1538000000,18668000000,496000000,2537000000,None,None,8000000,None,-824000000,-1867000000,None,2041000000,122000000,27721000000,None,18668000000,2931000000,22832000000,None,896000000,None,8038000000,33238000000,2017000000,-8440000000,663797594
2019-03-31,USD,33471000000,467000000,None,1389000000,26932000000,3234000000,1302000000,418000000,8000000,-839000000,4709000000,1059000000,2058000000,1945000000,4357000000,1265000000,1265000000,-2107000000,21228000000,5855000000,2553000000,2598000000,378000000,1564000000,18445000000,579000000,2674000000,None,None,8000000,None,-839000000,-1867000000,None,2201000000,108000000,27616000000,None,18445000000,2828000000,22575000000,None,890000000,None,8039000000,33471000000,2323000000,-8273000000,663694956
2018-12-31,USD,32521000000,436000000,None,4070000000,26038000000,3208000000,1280000000,8000000,8000000,-1005000000,4822000000,1059000000,3501000000,1536000000,4399000000,1659000000,1659000000,-2071000000,21396000000,5015000000,1423000000,4087000000,313000000,3206000000,17636000000,577000000,2732000000,None,None,8000000,None,-1005000000,-1878000000,None,1981000000,97000000,22819000000,None,17636000000,2723000000,21639000000,None,879000000,None,8154000000,32521000000,1849000000,None,662298096
2018-09-30,USD,32489000000,400000000,None,914000000,25901000000,3305000000,1214000000,17000000,8000000,-1133000000,4585000000,1059000000,3630000000,1628000000,4047000000,1308000000,1308000000,-2020000000,21108000000,5015000000,2718000000,2725000000,401000000,1510000000,18088000000,562000000,2722000000,None,None,8000000,None,-1133000000,-1878000000,None,2101000000,88000000,27474000000,None,18088000000,2552000000,21854000000,None,879000000,None,8328000000,32489000000,2029000000,-8033000000,662297479
2018-06-30,USD,32597000000,341000000,None,906000000,26077000000,3309000000,1165000000,17000000,8000000,-1234000000,4530000000,1059000000,3864000000,1519000000,3994000000,1235000000,1235000000,-1988000000,20719000000,5287000000,2785000000,2772000000,856000000,1423000000,18356000000,583000000,2742000000,5657000000,0,8000000,0,-1234000000,-1879000000,None,2323000000,83000000,27310000000,None,18356000000,2562000000,22083000000,None,863000000,None,8402000000,32597000000,2375000000,-7905000000,661528835
2018-03-31,USD,32573000000,362000000,None,1127000000,26197000000,3193000000,1207000000,63000000,8000000,-1525000000,4451000000,1059000000,3744000000,1627000000,4876000000,2025000000,2025000000,-1808000000,20688000000,5438000000,2756000000,2623000000,617000000,1498000000,17661000000,569000000,2788000000,5525000000,0,8000000,0,-1525000000,-1879000000,None,2176000000,94000000,27135000000,None,17661000000,2453000000,21321000000,None,851000000,None,8397000000,32573000000,2244000000,-8168000000,661364449
2017-12-31,USD,33112000000,366000000,None,2726000000,27430000000,2465000000,1006000000,1033000000,8000000,-2276000000,2595000000,1059000000,6418000000,1223000000,6028000000,2164000000,2164000000,-1876000000,20296000000,6398000000,1197000000,1877000000,424000000,1463000000,17801000000,562000000,2831000000,4845000000,8501000000,8000000,0,-2276000000,-1892000000,None,3666000000,130000000,26714000000,None,17801000000,2595000000,21402000000,None,837000000,None,8501000000,33112000000,1647000000,None,660388128
2017-09-30,USD,38834000000,474000000,None,1245000000,31688000000,3186000000,742000000,15000000,8000000,-934000000,4434000000,1157000000,7818000000,1835000000,6736000000,2257000000,2257000000,-2666000000,24356000000,6660000000,1164000000,2522000000,563000000,2357000000,19776000000,660000000,4464000000,6179000000,0,8000000,0,-934000000,-1892000000,None,4263000000,760000000,32174000000,None,19776000000,4434000000,24952000000,None,967000000,None,8670000000,38834000000,2398000000,-10199000000,660386566
2017-06-30,USD,36469000000,397000000,None,1246000000,29604000000,3021000000,746000000,37000000,8000000,-1086000000,4252000000,1157000000,6959000000,1526000000,6411000000,2572000000,20767000000,-2741000000,23192000000,6318000000,683000000,2258000000,740000000,2173000000,18195000000,633000000,3802000000,6074000000,0,8000000,0,-1086000000,-1892000000,None,3965000000,757000000,30151000000,None,18195000000,4252000000,23193000000,None,791000000,None,8732000000,36469000000,2266000000,-9841000000,660191726
2017-03-31,USD,36508000000,353000000,None,1182000000,29605000000,2991000000,758000000,41000000,8000000,-1139000000,4407000000,1157000000,6959000000,1806000000,5243000000,1137000000,1137000000,-2717000000,23148000000,6401000000,674000000,2255000000,634000000,2134000000,19197000000,645000000,4065000000,6129000000,0,8000000,0,-1139000000,-1892000000,None,3997000000,778000000,30107000000,None,19197000000,4407000000,24362000000,None,774000000,None,8731000000,36508000000,2440000000,-9777000000,660108793
2016-12-31,USD,36119000000,359000000,None,1234000000,29637000000,-1974000000,804000000,2164000000,8000000,-1146000000,4401000000,1157000000,6861000000,1583000000,5272000000,1303000000,1052000000,-2756000000,22847000000,6411000000,621000000,2060000000,798000000,2166000000,19160000000,630000000,3969000000,5700000000,8592000000,8000000,0,-1146000000,-1904000000,None,3943000000,781000000,29708000000,None,19160000000,4401000000,24365000000,None,782000000,None,None,36119000000,2381000000,None,659182232
2016-09-30,USD,37108000000,227000000,None,2364000000,30565000000,2882000000,1042000000,802000000,8000000,-114000000,4070000000,1157000000,6531000000,1616000000,5713000000,1091000000,1091000000,-3753000000,23283000000,7294000000,626000000,2273000000,596000000,2081000000,19740000000,637000000,3820000000,5768000000,0,8000000,0,-114000000,-1904000000,None,4018000000,503000000,29814000000,None,19740000000,4070000000,24852000000,None,775000000,None,8645000000,37108000000,2212000000,-9884000000,659175940
2016-06-30,USD,36974000000,219000000,None,2580000000,30548000000,2766000000,1036000000,841000000,8000000,-284000000,4126000000,1157000000,6558000000,1515000000,6216000000,1610000000,1610000000,-3768000000,23035000000,7381000000,615000000,2143000000,544000000,2087000000,19170000000,655000000,3765000000,5673000000,0,8000000,0,-284000000,-1904000000,None,4084000000,483000000,29593000000,None,19170000000,4126000000,24332000000,None,753000000,None,8714000000,36974000000,2059000000,-9705000000,659001121
2016-03-31,USD,36900000000,209000000,None,1577000000,30044000000,3201000000,1118000000,2613000000,8000000,198000000,4017000000,1157000000,6537000000,1479000000,6572000000,2220000000,2220000000,-3807000000,23416000000,6947000000,611000000,2507000000,628000000,2581000000,18337000000,682000000,4352000000,0,0,8000000,0,198000000,-1904000000,None,3961000000,599000000,29953000000,None,18337000000,4017000000,23472000000,None,672000000,None,8706000000,36900000000,2107000000,-9768000000,658997660
2015-12-31,USD,36850000000,214000000,None,5766000000,30141000000,3149000000,1090000000,13000000,8000000,143000000,3823000000,1157000000,7168000000,1557000000,6950000000,2529000000,2172000000,-3883000000,22816000000,6866000000,610000000,3687000000,484000000,5552000000,18278000000,675000000,4408000000,0,0,8000000,0,143000000,-1837000000,None,4644000000,543000000,22816000000,None,18278000000,3823000000,23191000000,None,538000000,None,8718000000,36850000000,2041000000,None,666808790
