fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,87000000,18000000,-626000000,74000000,124000000,128000000,34000000,21000000,3000000,-51000000,447000000,-56000000,271000000,95000000,77000000,69000000,10000000,-77000000,386000000,-10000000,-5000000,-56000000
2020-03-31,USD,254000000,-99000000,-735000000,10000000,1194000000,1030000000,-13000000,-63000000,229000000,668000000,373000000,23000000,268000000,95000000,22000000,-23000000,-40000000,50000000,576000000,40000000,-32000000,636000000
2019-12-31,USD,-122000000,-62000000,-1010000000,-111000000,-194000000,47000000,501000000,-30000000,-120000000,-272000000,691000000,79000000,271000000,-90000000,-170000000,31000000,46000000,446000000,777000000,46000000,10000000,-262000000
2019-09-30,USD,-39000000,36000000,-598000000,-1000000,97000000,-241000000,-137000000,-34000000,298000000,-78000000,761000000,-2000000,262000000,-91000000,-110000000,-28000000,17000000,178000000,558000000,17000000,-26000000,-104000000
2019-06-30,USD,-107000000,-77000000,-450000000,223000000,36000000,-294000000,-149000000,-35000000,67000000,-420000000,324000000,-152000000,266000000,-91000000,-90000000,43000000,1000000,176000000,566000000,1000000,2000000,-418000000
2019-03-31,USD,-160000000,24000000,-663000000,1000000,226000000,402000000,306000000,48000000,233000000,429000000,690000000,14000000,246000000,-90000000,-40000000,-18000000,9000000,182000000,504000000,9000000,-4000000,425000000
2018-12-31,USD,52000000,156000000,-315000000,162000000,-219000000,-480000000,-37000000,-43000000,181000000,-133000000,662000000,-54000000,233000000,-86000000,-138000000,-23000000,-81000000,250000000,529000000,-81000000,-4000000,-137000000
2018-09-30,USD,304000000,130000000,-310000000,-16000000,-259000000,-434000000,-30000000,121000000,191000000,23000000,767000000,53000000,258000000,-86000000,-59000000,20000000,-131000000,246000000,598000000,-131000000,-30000000,-7000000
2018-06-30,USD,-370000000,-86000000,-296000000,573000000,-18000000,-99000000,99000000,-46000000,416000000,4000000,399000000,-46000000,258000000,-86000000,-94000000,-17000000,45000000,-171000000,499000000,45000000,-25000000,-95000000
2018-03-31,USD,-240000000,-83000000,416000000,1151000000,84000000,-630000000,-622000000,-31000000,777000000,301000000,515000000,-14000000,254000000,-86000000,-6000000,-16000000,-39000000,-364000000,495000000,-39000000,5000000,380000000
2017-12-31,USD,-128000000,-18000000,-467000000,251000000,-228000000,-635000000,-181000000,-76000000,-1286000000,-302000000,800000000,-9000000,285000000,184000000,-410000000,38000000,-177000000,1688000000,590000000,102000000,-6000000,-388000000
2017-09-30,USD,215000000,424000000,-1174000000,-925000000,608000000,614000000,150000000,-56000000,261000000,175000000,735000000,-127000000,303000000,-80000000,-64000000,-23000000,279000000,56000000,464000000,-159000000,3000000,185000000
2017-06-30,USD,-137000000,-123000000,-768000000,18000000,-189000000,143000000,547000000,-40000000,150000000,-374000000,251000000,-76000000,290000000,-79000000,-136000000,-27000000,120000000,207000000,649000000,-170000000,None,-375000000
2017-03-31,USD,191000000,-9000000,-340000000,-57000000,123000000,-79000000,-119000000,68000000,98000000,284000000,703000000,77000000,291000000,-79000000,-4000000,-16000000,50000000,212000000,474000000,50000000,6000000,283000000
2016-12-31,USD,-197000000,193000000,-239000000,533000000,-210000000,-489000000,-257000000,1092000000,-693000000,-26000000,702000000,-13000000,299000000,284000000,-306000000,6000000,237000000,1008000000,575000000,-98000000,2000000,-20000000
2016-09-30,USD,-6000000,65000000,-543000000,-22000000,209000000,-215000000,-291000000,132000000,229000000,61000000,819000000,132000000,291000000,-73000000,-60000000,24000000,335000000,109000000,515000000,-31000000,-1000000,60000000
2016-06-30,USD,61000000,-278000000,-778000000,-224000000,-193000000,137000000,494000000,48000000,-387000000,82000000,723000000,48000000,296000000,-72000000,-92000000,36000000,366000000,679000000,615000000,329000000,1000000,85000000
2016-03-31,USD,-105000000,-127000000,-548000000,197000000,121000000,-180000000,-99000000,253000000,74000000,-88000000,640000000,253000000,290000000,-73000000,-129000000,-24000000,37000000,137000000,640000000,37000000,7000000,-77000000
2015-12-31,USD,-28000000,31000000,-727000000,-78000000,-36000000,-58000000,-207000000,-117000000,41000000,-156000000,629000000,129000000,264000000,115000000,70000000,-15000000,-378000000,274000000,621000000,-64000000,-12000000,-175000000
2015-09-30,USD,-112000000,63000000,-569000000,62000000,6000000,97000000,309000000,None,203000000,443000000,915000000,-43000000,283000000,-68000000,-150000000,43000000,314000000,236000000,519000000,130000000,-21000000,415000000
2015-06-30,USD,168000000,119000000,-350000000,31000000,-68000000,-124000000,351000000,None,264000000,-321000000,153000000,-461000000,299000000,-71000000,-336000000,-19000000,444000000,58000000,549000000,-107000000,8000000,-315000000
