fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,69907625,13573066,None,None,25929894,43977731,11553264,12299,2834,-136875782,3757069,4083621,12257764,9222524,17826588,None,5882789,136367,18660396,16332778,5000000,26321044,None,1424854,4346237,None,626264,None,None,None,None,None,None,None,None,None,53574847,None,None,None,8103306,None,None,None,None,None,None,None,None
2020-03-31,USD,68712148,14186699,None,5000000,27913956,40798192,11508829,283666,2393,-125995053,3359770,4083621,12221292,4351634,22568785,11912410,11912407,-1863721,19580571,12501334,6138631,22527872,None,2068913,1985401,None,1070299,None,None,None,None,None,None,None,56210814,None,56210814,None,1985400,None,5345171,None,None,None,168654570,None,4351630,None,24000000
2019-12-31,USD,71321074,14789876,None,3650000,27100248,44220826,10962482,369614,2317,-117218584,2472837,4083621,11674945,8440573,24627411,13833620,13833616,136177,20554307,15579694,4638631,25347329,None,2121326,None,None,956871,None,None,None,None,None,None,None,55741380,None,55741380,None,None,None,2472837,None,None,None,161300920,None,8440570,None,16000000
2019-09-30,USD,74474724,15459080,None,4950000,24703399,49771325,11204843,50310,2317,-111398765,1558958,4083621,11917306,9355496,23144441,13769020,13769020,125495,19918061,18458025,4638631,30228624,None,2446427,None,None,1285149,None,None,None,None,None,None,None,56016699,None,56016699,None,None,None,1558958,None,None,None,161042280,None,9355500,None,18000000
2019-06-30,USD,142144686,16065625,None,0,1006347,141138339,10735524,3223308,17363575,1905464,1451717,4083621,11368487,34837,1006347,750000,750000,136138330,19755660,96599,1138631,-2785671,0,2914274,0,0,148314,0,0,0,0,0,0,0,142048087,0,142048087,0,0,0,0,0,0,0,3094100,0,34840,0,4000000
2019-03-31,USD,142282620,16679807,None,0,1482980,140799640,10123232,3118262,440,1566760,1296514,4083621,10756195,194875,1482980,650000,650000,135799630,20412313,254880,142027742,-599366,0,1958257,0,0,173195,0,0,0,0,0,0,0,142027742,0,142027742,0,0,0,0,0,0,0,3432800,0,194880,0,12000000
2018-12-31,USD,65246937,17234992,None,0,41225641,24021296,9058844,3307843,24021296,1234350,1383644,4083621,9691807,10471296,39841997,0,0,135467220,21020097,12716420,500000,2702683,0,1533235,0,0,1072499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3765210,0,133730,0,12000000
2018-09-30,USD,140717710,None,None,None,403200,140314510,None,None,440,1081640,None,None,None,None,403200,None,None,135314510,None,137260,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3917930,None,65950,None,None
2018-06-30,USD,140190580,0,None,1230,260710,139929870,0,0,440,696990,0,0,0,0,260710,0,0,134929860,0,234020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4302580,0,175860,0,4000000
2018-03-31,USD,139815660,0,None,2030,254930,9765643.15,0,0,440,327850,0,0,0,0,254930,0,0,134560720,0,359680,0,-9099982.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4671720,0,302720,0,4000000
2017-12-31,USD,42530604.22,16163859.71,None,0,32478491.83,10052112.40,4000700.68,1387687.52,10052112.40,0,1306765.25,3255178.16,10914426.46,4455343.96,12538502.19,0,0,0,6999195.70,5197944.20,0,-9366925.47,0,442730.17,18633224.39,0,1577531.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
