fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,30486,255810,30486,264757,3592429,4825468,-766961,1011611,-10880729,4870890,14141,None,1767832,None,None,None,642754,6866614,234271,None,None,None
2020-03-31,USD,-4640706,-794640,-4640706,-2893154,3592429,5000000,-766961,397884,-8776469,-2738939,-3098233,None,1824465,None,5000000,None,52413,4133922,247552,None,None,None
2019-12-31,USD,106786,362795,106786,-2893154,3592429,0,-766961,614830,-5819819,-2214923,-2312773,None,1633794,None,None,None,343119,157570,2264120,None,None,None
2019-09-30,USD,7036707,-865069,10149386,-2893154,-30302,3253196,-766961,-11316,-4253472,3933092,-6358685,None,5133950,None,None,None,350316,241374,2273020,None,None,None
2019-06-30,USD,797690,-57368,-459014,756846,3820072,100000,0,-165100,338704,-160038,-1057728,0,1731662,0,0,0,-952906,155203,447504,0,0,0
2019-03-31,USD,95633,125105,-1760340,-1238630,-136574,-136570,-136570,-908954,-3854150,-4766230,-2865460,0,1686180,0,0,0,-426506,512870,521710,0,0,0
2018-12-31,USD,-378180,-478167,-346785,213900,3851126,3851126,0,-882122,-6642743,411208,-3379105,0,1482689,0,0,0,-308939,2681718,309573,0,0,0
2018-09-30,USD,None,None,187770,187770,None,None,None,None,988490,-362010,-549780,None,None,None,None,None,None,None,0,None,None,None
2018-06-30,USD,-378180,0,-346785,130620,3851126,3851126,0,-882122,-8632864,411208,-3379105,0,1482689,0,0,0,-308939,2681718,309573,0,0,0
2018-03-31,USD,-1027724.77,1742759.23,-10122358.86,0,12157174.94,12157174.94,0,-1233499.57,-4782107.95,-1637960.20,-3508828.31,0,944714.63,0,0,0,-63234.72,-117459.92,9034381.63,0,0,0
2017-12-31,USD,-1057872.46,-831478.68,-3225863.69,0,8894693.50,8894693.50,0,-459037.86,-3893681.15,2361109.61,-3313144.68,0,861433.24,0,0,0,172634.52,836985.25,3049727.38,0,0,0
