fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,4582287,8217590,1811545,2770742,-8249991,-10880729,None,None,-10880729,None,4299003,None,-3635303,None,862906,None,None,-862906,None,None,None,None,-6382520,None,-10880729,-10880729,None
2020-03-31,USD,6045053,14139123,2441317,3603736,-6269064,-8776469,None,None,-8776469,None,9548388,None,-8094070,None,682940,None,-682940,-682940,None,None,None,None,541,None,-8776469,-8776469,None
2019-12-31,USD,6457060,11255656,3339994,3117066,-3507341,-5819819,None,None,-5819819,None,6083092,None,-4798596,None,678684,None,-693620,-678684,None,None,None,None,-342539,None,-5819819,-5819819,None
2019-09-30,USD,6041541,9859144,2552756,3488785,-2085816,-4253472,None,None,-4253472,None,5417406,None,-3817603,None,451553,None,-451550,-451553,None,None,None,None,15684,None,-4253472,-4253472,None
2019-06-30,USD,0,279455,4607300,8966090,-279455,338704,0,0,538580,0,279455,0,-279455,0,-66890,199876,824290,824290,0,0,0,0,-6255,0,338704,-2811286,0
2019-03-31,USD,6235050,297078,2643870,3591180,-297078,-3854150,0,0,-3854150,0,4969820,0,-3854150,0,-66890,186579,811335,811335,0,0,0,0,4733,0,332411,-3854150,0
2018-12-31,USD,5403959,9185260,2135749,3268210,-3781301,-6642743,0,0,-6642743,0,5566822,0,-3781301,0,-239822,177120,None,None,0,0,0,0,-2861442,0,-6642743,-6642743,0
2018-09-30,USD,None,None,None,None,None,384650,None,None,540180,None,140870,None,-140870,None,None,155530,None,None,None,None,None,None,None,None,None,-95940,None
2018-06-30,USD,4933027,10985630,3511917,1421110,-6052603,-8632864,0,0,-11300708,0,5357623,0,-6052603,0,-729414,148560,None,None,0,0,0,0,-5248105,0,-11300708,-8632864,0
2018-03-31,USD,3706321.54,0,2618355.92,1087965.62,-4485709.75,-4782107.95,0,0,-4887548.98,0,4628960.74,0,-4485709.75,0,-451936.81,94670,None,None,0,0,0,0,-401839.23,0,-4887548.98,-4782107.95,0
2017-12-31,USD,2683419.69,0,1383025.11,1300394.58,-3516825.83,-3893681.15,0,0,-3893681.15,0,3955787.17,0,-3516825.83,0,-325026.70,None,None,None,0,0,0,0,-376855.32,0,-3893681.15,-3893681.15,0
