fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,36109590,1504773,None,289300,20229000,15880590,None,None,112950,18359674,15000,57554,4349166,10365744,13377465,None,5380652,-2592034,7182291,23015806,None,14318263,None,3164893,2171680,5964490,4786788,None,None,None,None,None,None,None,178602,None,13093784,6217636,None,15000,6851535,None,None,None,None,None,None,None,None
2020-03-31,USD,33114682,1584349,None,9710957,19390778,13723904,None,1796744,109720,18336324,14530,57554,4571190,4260368,12279545,6957393,4744289,-3722126,2779738,18943767,4390738,13666350,None,6328694,2213104,5406181,5738512,None,None,109720,None,18336324,-1000014,None,180452,None,7408482,6419923,2921930,4898129,4898129,None,None,None,-3722130,33114682,4260368,None,10471292
2019-12-31,USD,40756864,5738457,None,9145820,13014066,27742798,None,2284305,108620,32997405,30199,4877739,4595838,904279,9060646,1700000,1700000,-4363213,2596436,18687228,4390738,22865059,None,6419030,None,8161656,5696580,None,None,108620,None,32997405,-1000014,None,4261166,None,16126079,5326509,590040,3333181,3333181,None,None,None,-4363210,40756864,904279,-993427,10361292
2019-09-30,USD,36828344,6002998,None,3497456,7381744,29446600,None,855345,108620,34715097,160951,4877739,5151355,1594052,7203793,None,None,-4377103,1831105,18965147,4975000,18565863,None,6248066,None,7625573,6526399,None,None,108620,None,34715097,-1000014,None,176355,None,17863197,None,None,177951,177951,None,None,None,-4377100,36828344,1594052,-835424,10361292
2019-06-30,USD,41169424,6275873,None,3238068,10203241,30966183,None,748850,108620,36277531,203682,4836472,5185854,2933442,9999559,750000,750000,-4419954,1796746,23074479,0,19853838,None,12783967,None,9094002,8500709,None,None,108620,None,36277531,-1000014,None,210854,None,13119945,None,None,203682,203682,None,None,None,-4419950,41169424,2933442,-813978,10361292
2019-03-31,USD,44231692,6548748,None,7282294,11823196,32408496,None,2635282,108620,37762696,1930063,4836470,217460,1477948,9893133,750000,750000,-4462806,2464802,30164209,None,25859748,None,7053333,None,19404567,8437914,None,None,108620,None,37762696,-1000014,None,217461,None,9013550,None,None,228820,1930063,None,None,None,-4462810,44231692,1477948,None,10361292
2018-12-31,USD,40926641,6577623,None,6976412,7335301,33591340,None,781939,108620,38978559,1399875,4820185,683418,2779289,5935426,None,None,-4495825,1967852,26865563,12000,28771155,None,5126992,None,18572493,5153487,None,None,108620,None,38978559,-1000014,None,683418,None,7471455,None,None,1399875,1399875,None,None,None,-4495830,40926641,2779289,None,10361292
2018-09-30,USD,44394620,6844398,None,3980510,9867369,34527251,None,664374,108068,40017540,801612,4820185,134443,3129280,9065757,2594185,2594185,-4598343,2018128,30528466,49000,22862668,None,4579634,None,18888042,5807198,None,None,108068,None,40017540,-1000014,None,134443,None,13817154,None,None,801612,801612,None,None,None,None,44394620,3129280,-4276024,10306145
2018-06-30,USD,47801561,7607554,None,364105,8438144,39363417,0,657498,108068,44864238,792896,4820185,1865443,2141434,7645248,2976044,2976044,-4608875,5682047,27736832,89500,26935678,0,5275561,0,20045232,4804602,0,0,108068,0,44864238,-1000014,None,134443,None,1731000,None,None,None,None,None,None,None,-4608875,47801561,2141434,-5522693,10306145
2018-03-31,USD,50519970,7920865,None,6475044,9660387,40859583,0,650622,108068,46370937,784181,5970244,1573753,886367,8876206,2853916,2853916,-4619408,5843220,29111888,100000,32938718,0,5480847,0,22339874,5371668,0,0,108068,0,46370937,-1000014,None,135753,None,1438000,None,None,784181,784181,None,None,None,-4619408,50519970,886367,None,10306145
