fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,1119334,392672,1119334,1440738,491014,2344001,None,471310,23350,6210493,2747158,None,241501,None,None,-558309,1728887,-535262,315976,None,None,None
2020-03-31,USD,20828,156333,20828,18500,5162234,-1128159,571841,-446608,-14661081,-15862136,-14202360,-14897178,507785,None,172930,630475,-116200,10909225,55575,None,None,-15862136
2019-12-31,USD,584262,-651085,531617,47030,1700000,955023,-744977,-63000,-1717692,-689773,-2176413,-1481595,447574,None,None,-536083,49136,-4360,99675,49136,None,-689773
2019-09-30,USD,669313,-2104220,669313,813700,-750000,-814753,-64753,211826,-1562434,-1339390,-1193950,-925601,383239,None,None,208070,654762,589800,144387,654762,None,-1339390
2019-06-30,USD,879692,2072487,879692,1197249,597906,597906,-597906,211826,-1485165,1455494,575802,-3347487,283977,None,None,-1116372,-576222,1004575,317557,-576222,None,1455494
2019-03-31,USD,514793,1332177,514793,652942,750000,750000,-1264910,-425630,-1215863,-1301341,-2566134,-1249746,407184,None,None,-970219,-888252,18585,138149,-888252,None,-1301341
2018-12-31,USD,None,-643146,4535481,4537000,-2594185,-3261185,-667000,15729,-1038981,-349991,-1624287,-59747,378492,None,None,287549,-609868,61414,1519,-609868,None,-349991
2018-09-30,USD,-208854,1811084,-51426,40500,-381859,-381859,-667000,-193713,-4846698,987846,1421131,32207,402403,None,None,-334017,677275,3678877,91926,677275,None,987846
2018-06-30,USD,-208854,-1332990,10307,10500,122128,122128,-667000,472564,-1506699,1255067,1122632,332984,405063,0,0,1416094,354223,1453957,193,354223,None,1255067
2018-03-31,USD,-208854,744915,-252864,-217726,-374198,-374198,-667000,-244247,-259697,471476,1098538,-75033,412520,0,0,151766,61016,63051,35138,61016,None,471476
2017-12-31,USD,-41341,-137015,-685228,-685228,-3055737,-3055737,None,-181659,-706762,-3557832,183133,55729,411454,0,0,-245558,268000,537816,35138,267469,None,-3557832
2017-09-30,USD,2389920,-94911,69256,89999,-545110,-545110,-16300,64260,-259085,228215,704069,-12891,431472,0,0,-268392,-71254,350095,20743,557781,None,228215
2017-06-30,USD,72534,1011295,34941,74351,-543867,-543867,None,547101,-66863,-140822,368104,334996,424098,0,0,-691242,629035,60390,39410,-704570,None,-140822
2017-03-31,USD,1256887,152466,196570,1227387,-539946,-539946,-906,-84620,10671,-218007,125369,-90241,442673,0,0,-412733,76000,142075,60317,-119542,None,-218007
2016-12-31,USD,970500,-72864,-5742873,-6643540,3546813,3546813,None,28636,217161,-404789,1791271,147982,415773,None,None,683638,195000,204504,69833,195077,None,-404789
2016-09-30,USD,-1180878,-631706,-1298973,2389920,-221009,-221009,-16300,-153476,-191547,-635648,884334,-350249,315998,0,0,-358662,115000,834430,118095,1560233,None,-635648
2016-06-30,USD,-1171182,817138,-1188028,0,-219164,-219164,None,None,316086,174520,1581712,313621,315505,0,0,-59638,1444754,67788,16846,-188788,None,174520
2016-03-31,USD,-421560,138639,-1579954,-1000000,-217759,-217759,None,None,145630,-1742087,55626,-329745,314620,0,0,1083971,0,384260,158394,-1681749,None,-1742087
2015-12-31,USD,None,-294860,-202475,-178000,-215989,-215989,None,None,23994,600355,1018819,-109966,301631,0,0,475224,426000,197013,24475,425783,None,600355
2015-09-30,USD,-2773620,-1096279,-1172649,2389920,-846029,-846029,-16300,-351153,211000,824889,2844000,None,1234508,0,0,-1433100,2057000,591892,173000,None,None,None
2015-06-30,USD,None,None,0,0,None,0,None,None,637000,None,1131000,None,0,0,0,0,594000,None,146000,None,None,None
