fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,9963000,1709000,None,27000,10509000,-546000,123000,593000,1000,-52997000,168000,701000,123000,2130000,8458000,None,None,None,865000,6565000,None,-2957000,None,4024000,1302000,None,2509000,None,None,None,None,None,None,None,None,None,3398000,859000,None,None,2051000,None,None,None,None,None,None,None,None
2020-03-31,USD,8677000,1655000,None,82000,8519000,158000,137000,92000,1000,-51590000,141000,701000,137000,1785000,7737000,None,None,None,914000,5270000,None,-2199000,None,2505000,None,None,2235000,None,None,None,None,None,None,None,3407000,None,3407000,908000,41000,None,782000,None,None,None,51746000,None,1785000,None,9000000
2019-12-31,USD,9152243,1715217,None,137084,7587562,1564681,144932,120416,89,-49926372,153235,700528,144932,1972160,6727332,None,None,None,982801,5608765,None,-851065,0,3118319,None,None,972691,None,None,None,None,None,None,None,3543478,None,3543478,968453,51560,None,860230,None,None,None,51490960,None,1972160,None,8000000
2019-09-30,USD,9005228,1711650,None,197960,6013658,2991570,156786,4119567,89,-48499778,192121,700528,156786,3463899,5050383,None,None,None,1044872,5391392,None,579391,762,1362400,None,None,670129,None,None,None,None,None,None,None,3613836,None,3613836,1027300,61890,None,963275,None,None,None,51491260,None,3464660,None,8000000
2019-06-30,USD,7535923,1837452,None,182040,4956578,2579345,116417,2944630,77,-46304535,232021,700528,116417,2804456,3902710,None,None,None,1109179,3772347,None,41364,306,632706,None,None,698498,None,None,None,None,None,None,None,3763576,None,3763576,1056962,59540,None,1053868,None,None,None,48883800,None,2804760,None,8000000
2019-03-31,USD,8081470,1961790,None,178780,3856650,4224830,105085,152352,80,-44284530,310967,700530,105090,4089717,3119180,152352,152352,None,627350,4686720,None,1562510,492,288340,371334,None,340861,None,None,None,None,None,None,None,512966,None,3394753,616255,55170,371334,737466,None,None,None,48509280,None,4090210,None,8000000
2018-12-31,USD,9104079,2061404,None,176006,3229177,5874901,93790,2645651,76,-42143101,408660,700528,93790,5741549,2769367,None,None,None,108007,6140350,None,3112969,510,172384,None,None,93544,None,None,None,None,None,None,None,None,None,None,None,51150,None,None,None,None,None,48017930,None,5742060,None,7000000
2018-09-30,USD,9475196,2100758,None,132884,2865538,6609657,88706,2503878,75,-40713401,6738,700528,88706,6090665,2813304,None,None,1,102151,6483053,None,3808371,720,231797,45000,None,237756,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,7000000
2018-06-30,USD,4009349,2084732,None,61221,1868288,2141060,59765,1701526,65,-39380365,8325,700528,59765,679590,1819859,59214,59214,None,94806,1069518,None,-644200,2400,257733,40000,None,84756,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,6000000
2018-03-31,USD,4423331,2116940,None,43932,1458465,2964865,56574,1377537,1617,-38285838,9787,700528,56574,1276997,1448678,None,None,None,41570,1507719,None,147397,978,137329,None,None,56674,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,6000000
2017-12-31,USD,5034000,2865000,None,67000,4338000,696000,5048,4250000,2000,-39425900,5000,701000,2865000,1960000,4333000,2984010,2984010,None,35000,2134403,None,-2168981,1000,105817,None,None,83000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5000000
2017-09-30,USD,4503000,2814000,None,33000,4440000,63000,5361,4352000,1000,-36656763,5000,701000,2814000,1562000,4419000,5800,5800,1450000,20000,1668826,None,-2751798,1000,72501,16000,None,61000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5000000
2017-06-30,USD,3476000,2773000,None,24000,5351000,-1875481,8472,5219000,1000,-36840184,8000,701000,2773000,409000,5336000,19126,19126,None,15000,688518,None,-4648080,1000,253954,7000,None,105000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4000000
2017-03-31,USD,3781000,2920000,None,14000,3945000,-164351,11461,3658000,1000,-34621257,11000,701000,2920000,784000,3934000,17800,17800,None,5000,856152,None,-3084057,1000,57599,None,None,258000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4000000
2016-12-31,USD,4489000,3014000,None,20000,4182000,307000,14450,3897000,1000,-33818061,15000,701000,3014000,1409000,4167000,23800,23800,None,None,1474823,None,-2706542,1000,44645,None,None,246000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4000000
2016-09-30,USD,4781000,3155000,None,57000,4374000,407000,None,4077000,1000,None,None,701000,3155000,1495000,4368000,None,None,None,None,None,None,None,54000,None,6000,None,267000,None,None,None,None,None,-623000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4000000
2016-06-30,USD,5569000,3304000,None,42000,4699000,870000,None,4476000,1000,None,None,701000,3304000,2144000,4687000,None,None,None,None,None,None,None,53000,None,12000,None,187000,None,None,None,None,None,-623000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4000000
2016-03-31,USD,4634000,3439000,None,41000,6397000,None,None,4138000,1000,None,None,701000,3439000,1081000,4434000,None,None,None,None,None,None,None,54000,None,1963000,None,272000,None,None,None,None,None,-623000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3000000
2015-12-31,USD,5346000,3541000,None,41000,2814000,2532000,None,653000,1000,-24239431,1365684,701000,3541000,1687000,891000,24000,24000,None,None,1804986,None,-1009760,54000,22741,1923000,None,214000,None,None,None,None,None,-623000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3000000
2015-09-30,USD,3788000,3490000,None,79000,385000,3403000,None,70000,1000,None,None,701000,3490000,52000,356000,None,None,None,None,None,None,None,64000,None,29000,None,262000,None,None,None,None,None,-623000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3000000
2015-06-30,USD,4910000,3559000,None,115000,644000,4266000,None,33000,1000,None,None,701000,3559000,1145000,608000,None,None,None,1000,None,None,None,64000,None,36000,None,551000,None,None,None,None,None,-623000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3000000
