fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,5283000,6133000,1607000,3676000,-1141000,-1407000,265000,None,-1407000,None,4261000,None,-850000,None,56000,None,None,-56000,None,None,None,None,-501000,None,-1407000,-1419000,None
2020-03-31,USD,4261000,5957000,1320000,2941000,-1495000,-1664000,333000,None,-1664000,None,4304000,None,-1696000,None,None,None,32000,4000,None,None,None,None,28000,None,-1664000,-1677000,None
2019-12-31,USD,3567417,5067608,1211397,2356020,-1312154,-1426594,199654,None,-1426594,None,3656557,None,-1500191,None,-36560,None,61600,-36560,None,None,None,None,110157,None,-1426594,-1439827,None
2019-09-30,USD,2776436,4934389,1121307,1655129,-1972577,-2195243,139570,None,-2195243,None,3673512,None,-2157953,None,-37746,None,-37290,-37746,None,None,None,None,456,None,-2195243,-2208476,None
2019-06-30,USD,2435622,4454515,1147424,1288198,-1843060,-2020008,146577,None,-2020008,None,3160514,None,-2018893,None,-929,None,-1120,-929,None,None,None,None,-186,None,-2020008,-2033097,None
2019-03-31,USD,1985680,4126438,902980,1082700,-1967485,-2141430,215253,None,-2141430,None,3008200,None,-2140760,None,-648,None,-670,-648,None,None,None,None,-18,None,-2141426,-2154370,None
2018-12-31,USD,1781875,2798311,744117,1037758,-1016436,-1429700,46540,0,-1429700,0,2401892,None,-1016436,0,-145242,None,None,None,0,0,0,0,-413264,0,-1429700,-1442933,None
2018-09-30,USD,1494313,2792777,672589,821724,-1298464,-1333036,48860,0,-1333036,0,1942167,None,-1298464,0,-32892,None,None,None,0,0,0,0,-34572,0,-1333036,-1346269,None
2018-06-30,USD,1234897,2330741,622645,612252,-1095844,-1094527,49362,0,-1094527,0,1521322,None,-1095844,-127665,-105,None,None,None,0,0,0,0,1317,0,-1094527,-1108051,None
2018-03-31,USD,1149342,2312418,587464,561878,-1163076,-1162611,49667,0,-1162611,0,1547622,None,-1163076,127665,-105,None,None,None,0,0,0,0,465,0,-1162611,-1176361,None
2017-12-31,USD,876000,-9659354,341000,692632,8557928,-5790839,42000,0,-5790839,0,2039000,None,8557928,-899694,-425513,None,None,None,0,0,0,0,-13395883,0,-4837955,-5846045,None
2017-09-30,USD,744000,24619374,262000,979261,-18855691,183000,45000,0,183000,0,1231000,None,-18855691,2163462,-733899,None,None,None,0,0,0,0,15485558,0,-3370133,163000,None
2017-06-30,USD,684000,-9250575,440000,-410064,6893250,3403445,49000,0,3403445,0,1002000,None,6893250,-870495,289704,None,None,None,0,0,0,0,-3489805,0,3403445,3523445,None
2017-03-31,USD,435000,1548640,341000,93465,-1114133,-803196,45000,0,-803196,0,1063000,None,-1114133,145488,-48284,None,None,None,0,0,0,0,310937,0,-803196,-823196,None
2016-12-31,USD,400000,5422479,323000,-232056,-4428214,-9578630,88000,0,-9578630,0,966000,None,-4428214,570247,-675997,None,None,None,0,50000,0,0,-5150416,0,-9578630,-9658630,None
2016-09-30,USD,282000,0,311000,0,0,0,85000,0,0,0,879000,None,0,0,-566000,None,None,None,0,0,0,0,0,0,0,0,None
2016-06-30,USD,187000,0,298000,0,0,0,85000,0,0,0,1102000,None,0,0,566000,None,None,None,0,0,0,0,0,0,0,0,None
2016-03-31,USD,125000,0,295000,0,0,0,86000,0,0,0,680000,None,0,0,110000,None,None,None,0,0,0,0,0,0,0,0,None
2015-12-31,USD,25000,7652831,46000,-885789,-7313968,-7209145,82000,0,-7209145,0,691000,None,-7313968,534220,-76723,None,None,None,0,50000,0,0,104823,0,-7209145,-7862519,None
2015-09-30,USD,109000,0,321000,0,0,0,93000,0,0,0,238000,None,0,0,0,None,None,None,0,0,0,0,0,0,0,0,None
2015-06-30,USD,104000,0,395000,0,0,0,59000,0,0,0,2435000,None,0,0,0,None,None,None,0,0,0,0,0,0,0,0,None
