fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,17669000,32000,None,None,16738000,931000,None,12000,226724000,-319592000,14104000,8054000,313000,6743000,2531000,None,None,93799000,215000,9055000,None,-7155000,None,121000,None,375000,436000,None,None,None,None,None,None,None,313000,None,8614000,222000,None,None,14207000,None,None,None,None,None,None,None,None
2020-03-31,USD,19641000,35000,None,None,17954000,1687000,None,1000,226413000,-314724000,14619000,7882000,358000,9182000,3191000,None,None,89998000,319000,11047000,None,-6230000,None,161000,None,367000,679000,None,None,None,None,None,None,None,358000,None,8594000,360000,144000,None,14763000,None,None,None,None,None,9182000,None,22000000
2019-12-31,USD,19981000,40000,None,None,22444000,-2463000,None,10000,224528000,-316891000,16530000,8050000,364000,7838000,5659000,None,None,89900000,617000,10910000,None,-10553000,None,210000,None,1203000,1087000,None,None,None,None,None,None,None,364000,None,9071000,903000,255000,None,16785000,None,None,None,None,None,7838000,None,17000000
2019-09-30,USD,21502000,44000,None,None,23695000,-2193000,None,3504000,224531000,-316844000,17819000,7849000,356000,10862000,5454000,None,None,90120000,460000,12793000,None,-10086000,None,1349000,None,582000,2908000,None,None,None,None,None,None,None,8249000,None,8709000,408000,408000,568000,18241000,None,None,None,None,None,10862000,None,17000000
2019-06-30,USD,20751000,50000,None,None,23779000,-3028000,None,657000,223140000,-315977000,16187000,8177000,367000,9683000,7022000,None,None,89809000,388000,11769000,None,-11255000,None,217000,None,562000,1197000,None,None,None,None,None,None,None,367000,None,8982000,1205000,570000,622000,16757000,None,None,None,None,None,9683000,None,17000000
2019-03-31,USD,22384000,55000,None,None,25944000,-3560000,None,836000,222335000,-315427000,19603000,8053000,363000,11357000,5623000,624000,624000,89532000,510000,13403000,None,-11668000,None,313000,718000,540000,964000,None,None,None,None,None,None,None,363000,None,8981000,1342000,718000,None,20321000,None,None,None,None,None,11357000,None,16000000
2018-12-31,USD,25011000,62000,None,378000,23104000,1907000,None,2630000,222335000,-309781000,17508000,8210000,418000,14512000,5596000,None,None,89353000,65000,16256000,None,-6365000,None,294000,None,240000,1282000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,14512000,None,17000000
2018-09-30,USD,28462000,86000,None,571000,21052000,7410000,None,3092000,222335000,-304237000,15680000,8330000,422000,16800000,5372000,None,None,89312000,71000,19553000,None,-1006000,None,574000,None,1608000,1573000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,16800000,None,16000000
2018-06-30,USD,31634000,93000,None,886000,22124000,9510000,None,3593000,222335000,-302134000,16508000,8383000,373000,19946000,5616000,None,None,89309000,75000,22710000,None,1034000,None,481000,None,1397000,981000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,16000000
2018-03-31,USD,36441000,104000,None,912000,24899000,11542000,None,4278000,222335000,-299737000,17591000,8844000,539000,24548000,7308000,None,None,88944000,94000,26860000,None,2594000,None,304000,None,1096000,1412000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,16000000
