fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,56000,52000,56000,50000,-41000,-52000,-11000,-389000,-3450000,-2439000,-2410000,None,39000,None,None,-8000,None,1495000,0,None,None,None
2020-03-31,USD,0,-492000,56000,50000,-158000,3742000,-600000,-538000,779000,1344000,-2444000,None,107000,None,4500000,836000,None,-2723000,0,None,None,None
2019-12-31,USD,None,406000,56000,50000,-152000,3893000,3448000,-605000,-1006000,-6674000,-2954000,None,315000,None,5302000,None,None,-1272000,0,None,None,None
2019-09-30,USD,None,-525000,56000,50000,-152000,4054000,-786000,-97000,-331000,-3650000,-2595000,None,255000,None,5302000,-42000,-85000,-2179000,0,None,None,None
2019-06-30,USD,0,502000,50000,50000,-159000,155000,-786000,-393000,206000,-1674000,-2170000,None,70000,None,314000,-191000,133000,-2497000,0,None,None,None
2019-03-31,USD,50000,-255000,50000,50000,-151000,-151000,-786000,15000,-4911000,-3155000,-3006000,None,66000,None,None,-305000,-329000,2713000,0,None,None,None
2018-12-31,USD,None,520000,4000,50000,-151000,-151000,-786000,-890000,-5126000,-2288000,-2679000,None,11000,None,None,1279000,60000,2137000,9000,None,None,None
2018-09-30,USD,None,158000,-50000,-50000,-151000,-151000,None,526000,-2509000,-3146000,-2435000,None,12000,None,None,-149000,114000,-22000,9000,None,None,None
2018-06-30,USD,None,-1040000,-50000,-50000,-151000,-151000,None,214000,-2602000,-4602000,-4777000,None,21000,None,None,-379000,-189000,-406000,9000,None,None,None
2018-03-31,USD,None,135000,11000,-50000,None,None,None,-1656000,14424000,16768000,16717000,None,14000,None,None,-437000,-80000,1017000,9000,None,None,None
2017-12-31,USD,None,-1080000,307000,150000,None,8030000,-250000,-1290000,-16796000,-14219000,-22913000,None,138000,None,8280000,314000,158000,-4043000,4000,None,None,None
2017-09-30,USD,None,-1002000,167000,150000,None,8030000,-140000,119000,-9631000,-1758000,-5534000,None,-11000,None,3658000,-437000,93000,5026000,4000,None,None,None
2017-06-30,USD,None,419000,46000,50000,None,4512000,-60000,-138000,-2550000,-3846000,-5892000,None,108000,None,1916000,-437000,128000,-3733000,4000,None,None,None
2017-03-31,USD,None,-836000,-2000,50000,None,2656000,-97000,-968000,-4131000,-4222000,-6960000,None,-42000,None,2753000,None,126000,-1109000,2000,None,None,None
2016-12-31,USD,None,356000,-314000,-250000,None,9924000,-1107000,-1648000,-24959000,-19451000,-29010000,None,195000,None,11031000,314000,228000,-3238000,66000,None,None,None
2016-09-30,USD,None,413000,None,None,None,563000,None,None,None,None,None,None,None,None,None,None,219000,None,57000,None,None,None
2016-06-30,USD,None,None,None,None,None,44000,None,None,None,None,None,None,None,None,None,None,None,None,44000,None,None,None
2016-03-31,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,141000,None,5000,None,None,None
2015-12-31,USD,None,-1013000,913000,434000,None,40798000,-12852000,-2652000,-50143000,6519000,-33844000,None,341000,None,53650000,314000,270000,17145000,26000,None,None,None
2015-09-30,USD,None,None,919000,435000,None,28737000,None,None,None,None,None,None,None,None,None,None,None,None,8000,None,None,None
2015-06-30,USD,None,None,484000,None,None,28737000,None,None,None,None,None,None,None,None,None,None,None,None,8000,None,None,None
