fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,378000000,277000000,357000000,-21000000,439000000,113000000,-211000000,172000000,167000000,1025000000,555000000,291000000,-34000000,-41000000,-74000000,None,None,-146000000,0,None,None,1025000000
2020-03-31,USD,-1603000000,-578000000,-1653000000,-50000000,439000000,480000000,571000000,-70000000,-304000000,-641000000,532000000,735000000,113000000,-40000000,-51000000,None,None,566000000,9000000,None,None,-641000000
2019-12-31,USD,-1265000000,46000000,-1287000000,-22000000,44000000,143000000,295000000,392000000,191000000,-379000000,765000000,554000000,64000000,-203000000,7000000,None,None,-90000000,44000000,None,None,-379000000
2019-09-30,USD,-729000000,200000000,-726000000,3000000,44000000,231000000,257000000,370000000,143000000,319000000,814000000,377000000,123000000,-36000000,10000000,None,None,-29000000,33000000,None,None,319000000
2019-06-30,USD,-381000000,50000000,-368000000,13000000,44000000,319000000,476000000,-19000000,209000000,374000000,423000000,214000000,38000000,-169000000,12000000,None,None,-88000000,20000000,None,None,374000000
2019-03-31,USD,-658000000,282000000,-684000000,-26000000,121000000,715000000,623000000,43000000,326000000,485000000,454000000,8000000,34000000,-36000000,7000000,None,None,-196000000,10000000,None,None,485000000
2018-12-31,USD,-1978000000,-666000000,-1975000000,3000000,121000000,675000000,843000000,306000000,-35000000,-494000000,806000000,1235000000,47000000,-169000000,1000000,None,None,225000000,80000000,None,None,-494000000
2018-09-30,USD,-906000000,502000000,-890000000,16000000,121000000,635000000,661000000,62000000,203000000,199000000,454000000,-283000000,57000000,-31000000,5000000,0,0,-25000000,60000000,None,None,199000000
2018-06-30,USD,-706000000,131000000,-829000000,-123000000,121000000,548000000,704000000,39000000,208000000,151000000,432000000,98000000,35000000,-163000000,7000000,0,72000000,-40000000,44000000,None,None,151000000
2018-03-31,USD,-1521000000,-98000000,-1656000000,-135000000,None,586000000,603000000,-80000000,141000000,-679000000,391000000,143000000,71000000,-31000000,14000000,0,245000000,134000000,23000000,None,None,-679000000
2017-12-31,USD,-3159000000,109000000,-3292000000,57000000,-33000000,1719000000,2132000000,522000000,166000000,231000000,1804000000,None,107000000,-417000000,37000000,0,0,700000000,109000000,None,None,None
2017-09-30,USD,-275000000,257000000,-236000000,39000000,-125000000,-41000000,108000000,213000000,11000000,142000000,419000000,127000000,36000000,-27000000,3000000,0,0,-12000000,46000000,None,None,142000000
2017-06-30,USD,-626000000,-17000000,-800000000,-174000000,115000000,467000000,498000000,312000000,145000000,317000000,650000000,487000000,31000000,-158000000,12000000,0,0,4000000,30000000,None,None,317000000
2017-03-31,USD,-1356000000,32000000,-1194000000,162000000,115000000,1053000000,1065000000,-536000000,155000000,-217000000,-76000000,-296000000,38000000,-27000000,15000000,0,63000000,-5000000,11000000,None,None,-217000000
2016-12-31,USD,-2406000000,43000000,-2981000000,-502000000,284000000,2718000000,2717000000,-220000000,385000000,887000000,1150000000,None,134000000,-185000000,35000000,0,0,587000000,49000000,None,None,None
2016-09-30,USD,-676000000,465000000,-699000000,-23000000,302000000,543000000,277000000,-226000000,113000000,91000000,247000000,-341000000,38000000,-24000000,-12000000,0,0,-28000000,37000000,None,None,91000000
2016-06-30,USD,-275000000,84000000,-551000000,-276000000,302000000,777000000,816000000,-309000000,63000000,317000000,91000000,-67000000,25000000,-24000000,-15000000,0,42000000,-14000000,26000000,None,None,317000000
2016-03-31,USD,-1109000000,-75000000,-1196000000,-87000000,None,872000000,959000000,None,104000000,11000000,335000000,208000000,28000000,-24000000,-63000000,0,197000000,70000000,18000000,None,None,11000000
2015-12-31,USD,-4428000000,0,-4573000000,-170000000,-47000000,3097000000,3385000000,196000000,129000000,-123000000,1357000000,None,134000000,-176000000,61000000,0,0,671000000,102000000,None,None,None
2015-09-30,USD,-1117000000,115000000,-1301000000,-184000000,-145000000,648000000,836000000,None,66000000,-322000000,331000000,112000000,34000000,-21000000,-22000000,0,0,4000000,65000000,None,None,-322000000
2015-06-30,USD,-938000000,111000000,-1146000000,-208000000,-37000000,971000000,1062000000,None,149000000,4000000,179000000,-78000000,53000000,-22000000,-32000000,0,314000000,-56000000,32000000,None,None,4000000
