fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,1951000000,1733000000,None,1951000000,218000000,177000000,None,None,218000000,-10000000,None,None,218000000,1733000000,23000000,51000000,None,-23000000,None,None,None,51000000,51000000,None,167000000,177000000,None
2020-03-31,USD,1344000000,1663000000,None,1344000000,-388000000,-301000000,None,None,-388000000,-3000000,None,None,-388000000,1663000000,17000000,-84000000,-17000000,-17000000,None,None,None,-84000000,57000000,None,-304000000,-301000000,None
2019-12-31,USD,2130000000,1871000000,1601000000,2130000000,259000000,211000000,None,None,259000000,-20000000,None,None,259000000,1871000000,18000000,68000000,-18000000,-18000000,None,None,None,68000000,48000000,None,191000000,211000000,None
2019-09-30,USD,2123000000,1946000000,1773000000,2123000000,177000000,147000000,None,None,177000000,-4000000,None,None,177000000,1946000000,17000000,34000000,-17000000,-17000000,None,None,None,34000000,52000000,None,143000000,147000000,None
2019-06-30,USD,1960000000,1701000000,1529000000,1960000000,259000000,210000000,None,None,259000000,-1000000,None,None,259000000,1701000000,17000000,50000000,-17000000,-17000000,None,None,None,50000000,51000000,None,209000000,210000000,None
2019-03-31,USD,2024000000,1611000000,1439000000,2024000000,413000000,329000000,None,None,413000000,-3000000,None,None,413000000,1611000000,16000000,87000000,-16000000,-16000000,None,None,None,87000000,50000000,None,326000000,329000000,None
2018-12-31,USD,1690000000,1729000000,1557000000,1690000000,-39000000,-29000000,0,0,-39000000,-6000000,0,None,-39000000,1729000000,-16000000,-4000000,None,None,0,0,0,-4000000,-43000000,0,-35000000,-29000000,None
2018-09-30,USD,2008000000,1764000000,1599000000,2008000000,244000000,204000000,0,0,244000000,-1000000,0,None,244000000,1764000000,-15000000,None,None,None,0,0,0,41000000,-15000000,0,203000000,204000000,None
2018-06-30,USD,1833000000,1573000000,1414000000,1833000000,260000000,210000000,0,0,260000000,-2000000,0,None,260000000,1573000000,-16000000,None,None,None,0,0,0,52000000,-16000000,0,208000000,210000000,None
2018-03-31,USD,1619000000,1445000000,1297000000,1619000000,174000000,145000000,0,0,174000000,-4000000,0,None,174000000,1445000000,-15000000,None,None,None,0,0,0,33000000,-15000000,0,141000000,145000000,None
2017-12-31,USD,1795000000,8090000000,1479000000,1302000000,857000000,166000000,0,0,267000000,0,0,None,314000000,-38000000,20000000,None,None,None,0,0,0,101000000,-231000000,0,436000000,166000000,None
2017-09-30,USD,1835000000,1806000000,1745000000,1835000000,29000000,11000000,0,0,29000000,12000000,0,None,29000000,1806000000,21000000,None,None,None,0,0,0,18000000,0,0,11000000,11000000,None
2017-06-30,USD,1646000000,1441000000,1380000000,1646000000,205000000,145000000,0,0,205000000,-10000000,0,None,205000000,1441000000,23000000,None,None,None,0,0,0,60000000,0,0,145000000,145000000,None
2017-03-31,USD,1576000000,1353000000,1294000000,1576000000,223000000,153000000,0,0,223000000,2000000,0,None,223000000,1353000000,21000000,None,None,None,0,0,0,68000000,0,0,155000000,153000000,None
2016-12-31,USD,1724000000,5377000000,1356000000,1316000000,1236000000,385000000,0,0,317000000,3000000,0,None,325000000,635000000,21000000,None,None,None,0,0,0,54000000,-181000000,0,744000000,385000000,None
2016-09-30,USD,1705000000,1527000000,1470000000,1705000000,178000000,109000000,0,0,178000000,4000000,0,None,178000000,1527000000,19000000,None,None,None,0,0,0,65000000,0,0,113000000,109000000,None
2016-06-30,USD,1581000000,1445000000,1401000000,1581000000,136000000,54000000,0,0,136000000,9000000,0,None,136000000,1445000000,19000000,None,None,None,0,0,0,73000000,0,0,63000000,54000000,None
2016-03-31,USD,1475000000,1319000000,1273000000,1475000000,156000000,101000000,0,0,156000000,3000000,0,None,156000000,1319000000,18000000,None,None,None,0,0,0,52000000,0,0,104000000,101000000,None
2015-12-31,USD,1617000000,5310000000,1377000000,1204000000,884000000,129000000,0,0,210000000,1000000,0,None,226000000,320000000,17000000,None,None,None,0,0,0,80000000,-319000000,0,370000000,129000000,None
2015-09-30,USD,1684000000,1585000000,1536000000,1684000000,99000000,63000000,0,0,99000000,3000000,0,None,99000000,1585000000,16000000,None,None,None,0,0,0,33000000,0,0,66000000,63000000,None
2015-06-30,USD,1541000000,1315000000,1245000000,1541000000,226000000,141000000,0,0,226000000,8000000,0,None,226000000,1315000000,19000000,None,None,None,0,0,0,77000000,0,0,149000000,141000000,None
