fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,-3400000,14200000,-3400000,None,2000000,-4900000,-6900000,-1300000,-6300000,2200000,10200000,None,10300000,None,None,-2900000,None,600000,3400000,None,None,None
2020-03-31,USD,-7500000,1200000,-7500000,None,29900000,29900000,-6900000,-4200000,-13200000,4800000,-17100000,None,10600000,None,None,-8100000,None,1400000,7500000,None,None,None
2019-12-31,USD,-4600000,-4000000,-4600000,-500000,-30100000,-31000000,-700000,-1300000,-25100000,-39500000,-4200000,None,15500000,None,-100000,400000,7400000,7000000,6000000,None,None,None
2019-09-30,USD,-9300000,0,-4600000,-1900000,-30100000,-1000000,-700000,-1300000,-31400000,21100000,32000000,None,12900000,None,0,10300000,7400000,7000000,7400000,None,None,None
2019-06-30,USD,-6900000,800000,-15500000,None,-1100000,-52400000,-800000,-3100000,14700000,-30200000,29400000,None,11000000,None,-51300000,8300000,-5000000,2300000,6900000,None,None,None
2019-03-31,USD,-8600000,-33000000,-8600000,None,-26000000,-26700000,-100000,900000,-16700000,-98100000,-63200000,None,11300000,None,0,-4900000,-21800000,1400000,8600000,None,None,None
2018-12-31,USD,None,0,-8600000,90200000,-26000000,-26700000,-100000,900000,-171000000,-98100000,-63200000,None,11300000,None,-200000,-4900000,-21800000,1400000,8600000,None,None,None
2018-09-30,USD,None,5700000,-6900000,100000,24900000,25300000,-100000,-900000,7900000,10900000,-6800000,None,14300000,0,0,-21000000,-16900000,3800000,6900000,None,None,None
2018-06-30,USD,None,16300000,-7200000,100000,-21000000,-21100000,None,7500000,10500000,-400000,29000000,None,14200000,0,0,-11400000,-12700000,4000000,7200000,None,None,None
2018-03-31,USD,None,2500000,-10100000,100000,4900000,3700000,-400000,-4800000,-10400000,-10100000,-4400000,None,13800000,0,0,700000,-11700000,3000000,10200000,None,None,None
2017-12-31,USD,None,-10500000,-80500000,400000,64800000,24400000,-700000,-8400000,-41800000,8400000,62900000,None,78700000,0,0,30400000,-2500000,20000000,44800000,None,None,None
2017-09-30,USD,None,-12000000,-69300000,300000,5000000,34500000,-1800000,1500000,-21100000,4300000,46200000,None,0,0,0,9900000,0,23300000,33500000,None,None,None
2017-06-30,USD,None,9200000,-58700000,200000,17900000,56800000,-1800000,-6600000,5400000,6000000,9800000,None,0,0,0,6600000,0,3800000,22800000,None,None,None
2017-03-31,USD,None,-15400000,-12600000,100000,52000000,48200000,-1800000,-500000,-7800000,2700000,-33400000,None,0,0,0,14700000,0,8400000,12700000,None,None,None
2016-12-31,USD,None,9900000,-36900000,700000,10000000,14500000,54200000,-1100000,9200000,30600000,54000000,None,46600000,-50000000,0,-19800000,-3200000,13000000,37600000,None,None,None
2016-09-30,USD,None,17100000,-27500000,600000,-90000000,4400000,54200000,-2100000,9300000,-69400000,55200000,None,0,-50000000,0,7100000,0,3700000,28100000,None,None,None
2016-06-30,USD,None,23300000,-17300000,700000,100000000,94200000,54200000,500000,7000000,101600000,24300000,None,0,-50000000,0,1200000,0,4800000,18000000,None,None,None
2016-03-31,USD,None,None,-7600000,300000,None,36600000,46600000,None,-2600000,None,-28900000,None,0,0,0,0,0,None,7900000,None,None,None
2015-12-31,USD,None,23400000,-58300000,3300000,400000,5700000,5700000,-3100000,29600000,30600000,52600000,None,38100000,-50000000,300000,12100000,6500000,-59500000,61600000,None,None,None
2015-09-30,USD,None,None,None,300000,None,None,None,None,8900000,None,42900000,None,None,None,None,None,None,None,33700000,None,None,None
2015-06-30,USD,None,None,None,300000,None,7400000,7400000,None,8600000,None,15000000,None,None,None,None,None,None,None,22700000,None,None,None
