fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,145600000,151200000,120900000,24700000,5200000,-6300000,None,None,-6300000,None,30300000,None,-5600000,None,1200000,0,-1200000,-1200000,None,None,None,None,500000,None,-6300000,-6300000,None
2020-03-31,USD,138700000,152000000,115400000,23300000,-2300000,-13200000,None,None,-13500000,None,36600000,None,-13300000,None,600000,-300000,-600000,-600000,None,None,None,-300000,400000,None,-13200000,-13200000,None
2019-12-31,USD,141300000,162300000,126100000,15200000,-6100000,-25100000,None,None,-23300000,None,36200000,None,-21000000,None,1700000,4600000,-1700000,-1700000,2800000,None,None,4600000,-600000,2800000,-27900000,-25100000,None
2019-09-30,USD,165600000,193800000,153800000,11800000,-16000000,-31400000,None,None,-29700000,None,40000000,None,-28200000,None,800000,0,-800000,-800000,-1700000,None,None,None,-700000,-1700000,-29700000,-31400000,None
2019-06-30,USD,177700000,174000000,141500000,36200000,14500000,14700000,None,None,2600000,None,32500000,None,3700000,None,900000,-2700000,-900000,-900000,9400000,None,None,-2700000,-200000,9400000,5300000,14700000,None
2019-03-31,USD,141700000,157300000,119600000,22100000,-4600000,-16700000,None,None,-16900000,None,37700000,None,-15600000,None,1000000,-300000,None,-1000000,-100000,None,None,-300000,-300000,-100000,-16600000,-16700000,None
2018-12-31,USD,153800000,170400000,128800000,25000000,-16600000,-171000000,0,0,-19200000,0,41600000,None,-16600000,0,-1900000,None,None,None,-144000000,0,0,-4300000,-2600000,-156100000,-14900000,-171000000,None
2018-09-30,USD,309700000,300700000,249100000,60600000,9000000,7900000,0,0,9300000,0,51600000,None,9000000,0,-900000,None,None,None,0,0,0,1400000,300000,-156100000,7900000,7900000,None
2018-06-30,USD,306000000,292000000,243200000,62800000,14000000,10500000,0,0,12300000,0,48800000,None,14000000,0,-1000000,None,None,None,0,0,0,1800000,-1700000,-156100000,10500000,10500000,None
2018-03-31,USD,257900000,266800000,218600000,39300000,-8900000,-10400000,0,0,-10400000,0,48200000,None,-8900000,0,-900000,None,None,None,0,0,0,0,-1500000,-156100000,-10400000,-10400000,None
2017-12-31,USD,262700000,964400000,203800000,119400000,35200000,-23100000,0,0,11900000,0,51400000,None,-18600000,0,800000,None,None,None,0,12500000,0,2600000,-7500000,-24700000,20200000,-4500000,None
2017-09-30,USD,308500000,-536100000,216700000,-25400000,-75500000,-24100000,0,0,-40000000,0,49000000,None,7000000,0,800000,None,None,None,0,12500000,0,-15900000,0,0,-58300000,-42700000,None
2017-06-30,USD,297300000,287400000,226900000,10000000,38100000,5400000,0,0,9000000,0,46700000,None,11200000,0,700000,None,None,None,0,-25000000,0,3600000,0,0,28800000,5400000,None
2017-03-31,USD,265200000,0,205700000,47100000,-9400000,-7800000,0,0,-9900000,0,51800000,None,-9600000,0,500000,None,None,None,0,12500000,0,-2100000,0,0,-7800000,-7800000,None
2016-12-31,USD,271700000,725400000,214200000,87700000,-9600000,-100000,12700000,0,-36200000,0,54200000,None,-33200000,0,200000,None,None,None,0,12500000,0,-10700000,-5600000,25400000,-13600000,-100000,None
2016-09-30,USD,313400000,0,231500000,4700000,-13100000,9300000,0,0,15300000,0,52100000,None,17900000,0,600000,None,None,None,0,0,0,6000000,0,0,-6500000,9300000,None
2016-06-30,USD,323700000,0,247700000,16000000,7400000,7000000,0,0,11400000,0,51400000,None,13800000,0,700000,None,None,None,0,0,0,4400000,0,0,3900000,7000000,None
2016-03-31,USD,284400000,0,223100000,47200000,0,-2600000,0,0,-4700000,0,51800000,None,-4600000,0,0,None,None,None,0,0,0,500000,0,0,0,0,None
2015-12-31,USD,280100000,1202700000,216300000,195700000,-14000000,20700000,11400000,0,-27000000,0,58900000,None,-25600000,0,-1500000,None,None,None,0,12500000,0,-8900000,-3600000,39900000,-10300000,21800000,None
2015-09-30,USD,322600000,0,247300000,0,0,8900000,0,0,9400000,0,54100000,None,11600000,0,0,None,None,None,0,0,0,1600000,0,0,0,7800000,None
2015-06-30,USD,326600000,0,250900000,0,0,8600000,0,0,14500000,0,51800000,None,14600000,0,0,None,None,None,0,0,0,5700000,0,0,0,8800000,None
