fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,3596517000,445771000,None,None,1952488000,1619351000,16096000,None,1085000,-1016977000,88980000,None,16096000,136699000,35950000,None,None,-1016977000,3326799000,253622000,None,1619274000,None,54655000,1808251000,None,32333000,None,None,None,None,None,None,None,None,None,3342895000,19307000,None,79549000,1916538000,None,None,None,None,None,None,None,None
2020-03-31,USD,3646128000,448642000,None,None,1960226000,1664096000,16934000,None,1085000,-972019000,91309000,None,16934000,175745000,56952000,None,None,-972019000,3358766000,269288000,None,1664019000,None,49272000,1792660000,None,53333000,None,None,None,None,None,None,None,3376840000,None,3376840000,19305000,1792660000,82624000,1903274000,None,None,None,2634953000,None,175745000,None,108000000
2019-12-31,USD,3490188000,288549000,None,37888000,1787958000,1683331000,17467000,3300000,1085000,-932912000,94433000,0,17467000,81898000,30117000,None,None,-932912000,3016907000,167180000,None,1394713000,None,46976000,1644090000,None,26817000,None,None,None,None,None,None,None,3323008000,None,3323008000,19318000,1644090000,84041000,1757841000,None,None,None,2615089000,None,81898000,None,106000000
2019-09-30,USD,3457062000,443468000,None,51155000,1771409000,1669693000,17063000,2868000,1067000,-898493000,93260000,0,17063000,76838000,31282000,None,None,-898493000,3267753000,172131000,None,1669633000,None,44253000,1627552000,None,28452000,None,None,None,None,None,None,None,3284931000,None,3284931000,19315000,1627552000,83308000,1740127000,None,None,None,2567059000,None,76838000,None,106000000
2019-06-30,USD,3313927000,419367000,None,39229000,1712077000,1588668000,16937000,1968000,1063000,-866226000,93191000,0,16937000,91165000,28426000,None,None,-866226000,3125084000,171825000,None,1588651000,None,41512000,1571180000,None,27709000,None,None,None,None,None,None,None,3142102000,None,3142102000,19280000,1571180000,85427000,1683651000,None,None,None,2453814000,None,91165000,None,106000000
2019-03-31,USD,3368493000,415045000,None,91281000,1771701000,1596792000,17050000,2038000,1062000,-844773000,96575000,1605000,88730000,108042000,26906000,1004000,1004000,-1004000,3110530000,238148000,None,1595175000,None,39985000,1616903000,None,26798000,None,None,None,None,None,None,None,19166000,None,3130345000,19276000,1616903000,87419000,1733758000,None,None,None,2441495000,None,108042000,None,106000000
2018-12-31,USD,3262547000,270547000,None,85175000,1652812000,1601400000,16222000,7902000,1063000,-812047000,95253000,1605000,16222000,91451000,36746000,531000,531000,-531000,2759636000,214537000,None,1329248000,None,37911000,1520813000,None,25749000,None,None,None,None,None,None,None,None,None,None,None,1196113000,None,None,None,None,None,2412915000,None,91451000,None,106000000
2018-09-30,USD,3264140000,283456000,None,112435000,1623089000,1635313000,15756000,9914000,1063000,-778912000,102446000,1605000,15756000,60265000,47806000,None,None,222000,2790401000,172922000,None,1350252000,20060000,None,1472837000,0,36392000,1641051000,2412940000,1063000,0,-778912000,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,106000000
2018-06-30,USD,3194526000,281023000,None,78240000,1514573000,1675532000,13904000,11373000,1051000,-722247000,113450000,1605000,13904000,58882000,44279000,46000,46000,-47000,2760872000,137122000,None,1392904000,19662000,None,1356844000,0,31030000,1679953000,2396775000,1051000,0,-722247000,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,105000000
2018-03-31,USD,3236924000,292118000,None,85124000,1519339000,1713074000,9481000,11852000,1048000,-676157000,116927000,1605000,9481000,71268000,109783000,377000,377000,-265000,2777264000,156456000,None,1419351000,18269000,None,1292629000,0,25985000,1717585000,2388448000,1048000,0,-676157000,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,105000000
