fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,-354000000,298000000,-404000000,-50000000,988000000,598000000,-21000000,568000000,804000000,1381000000,1187000000,-279000000,289000000,-193000000,-176000000,None,None,155000000,0,-80000000,-1000000,1380000000
2020-03-31,USD,-1297000000,521000000,-1716000000,-419000000,190000000,-446000000,-1000000,368000000,566000000,-748000000,1414000000,-325000000,333000000,-195000000,-440000000,None,None,304000000,0,15000000,None,-748000000
2019-12-31,USD,-170000000,286000000,-225000000,-55000000,346000000,-284000000,21000000,445000000,781000000,683000000,1192000000,-395000000,315000000,-192000000,-459000000,None,4000000,201000000,0,4000000,-3000000,680000000
2019-09-30,USD,-319000000,823000000,-219000000,100000000,34000000,-451000000,3000000,640000000,778000000,1236000000,1906000000,-345000000,318000000,-190000000,-298000000,None,-19000000,351000000,0,-19000000,-39000000,1197000000
2019-06-30,USD,-1373000000,-33000000,-1436000000,-63000000,247000000,-292000000,-2000000,551000000,817000000,-915000000,813000000,-355000000,309000000,-194000000,-343000000,None,-52000000,127000000,0,-52000000,42000000,-873000000
2019-03-31,USD,-836000000,784000000,-1291000000,-455000000,-13000000,-686000000,-13000000,468000000,928000000,-433000000,1544000000,-357000000,340000000,-195000000,-478000000,None,35000000,-186000000,0,35000000,-12000000,-445000000
2018-12-31,USD,-78000000,548000000,-410000000,-332000000,456000000,-103000000,-5000000,522000000,525000000,842000000,1355000000,-422000000,313000000,-198000000,-356000000,None,-28000000,419000000,0,-28000000,66000000,908000000
2018-09-30,USD,-1931000000,693000000,-1729000000,202000000,-26000000,-525000000,-2000000,475000000,845000000,-402000000,1852000000,-366000000,315000000,-199000000,-298000000,None,-26000000,391000000,0,-26000000,-16000000,-418000000
2018-06-30,USD,-3076000000,725000000,-1244000000,1832000000,-2000000,-515000000,-7000000,774000000,833000000,-190000000,1569000000,-367000000,303000000,-201000000,-307000000,0,-15000000,90000000,0,-15000000,-43000000,-233000000
2018-03-31,USD,1752000000,441000000,-199000000,-1951000000,9000000,-473000000,-5000000,572000000,717000000,566000000,1238000000,-349000000,314000000,-195000000,-282000000,0,14000000,101000000,0,14000000,23000000,589000000
2017-12-31,USD,-2725000000,0,-5431000000,-894000000,-121000000,-2065000000,35000000,2890000000,2583000000,-1368000000,6128000000,None,53000000,-661000000,0,0,-91000000,-1220000000,0,None,None,None
2017-09-30,USD,81000000,766000000,-370000000,-451000000,12000000,-382000000,3000000,698000000,716000000,679000000,1431000000,-113000000,0,-163000000,-234000000,0,0,102000000,0,-40000000,-16000000,663000000
2017-06-30,USD,-660000000,757000000,-990000000,-330000000,3000000,-355000000,1000000,585000000,713000000,63000000,1408000000,-75000000,0,-162000000,-197000000,0,0,111000000,0,-98000000,-4000000,59000000
2017-03-31,USD,-1301000000,937000000,-1527000000,-226000000,-112000000,-876000000,1000000,-18000000,592000000,-646000000,1757000000,-41000000,0,-166000000,-599000000,0,0,163000000,0,106000000,-8000000,-654000000
2016-12-31,USD,-3595000000,0,-3855000000,760000000,376000000,-1619000000,39000000,3331000000,751000000,509000000,5987000000,None,54000000,-658000000,0,0,42000000,-1147000000,0,None,None,None
2016-09-30,USD,291000000,446000000,-209000000,-500000000,792000000,446000000,6000000,137000000,629000000,1570000000,1266000000,-83000000,0,-162000000,-190000000,0,0,286000000,0,-12000000,67000000,1570000000
2016-06-30,USD,-867000000,966000000,-942000000,-75000000,36000000,-515000000,2000000,-156000000,548000000,66000000,1523000000,-66000000,0,-163000000,-390000000,0,0,54000000,0,21000000,185000000,251000000
2016-03-31,USD,-1205000000,552000000,-1487000000,-282000000,45000000,-766000000,-39000000,89000000,731000000,-922000000,1331000000,-37000000,0,-167000000,-605000000,0,0,53000000,0,32000000,21000000,-901000000
2015-12-31,USD,-1261000000,0,-4897000000,-3596000000,-274000000,-2187000000,22000000,3524000000,730000000,-308000000,6776000000,None,50000000,-656000000,0,0,147000000,-508000000,0,None,None,None
2015-09-30,USD,-2717000000,809000000,-517000000,0,-356000000,-739000000,3000000,None,567000000,411000000,1667000000,-65000000,0,-161000000,-225000000,0,0,259000000,0,97000000,6000000,417000000
2015-06-30,USD,823000000,1165000000,-1488000000,-111000000,-778000000,-1409000000,-237000000,None,573000000,-1254000000,1643000000,-58000000,0,-163000000,-231000000,0,0,103000000,0,-140000000,-6000000,-1260000000
