fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,5407000000,4337000000,None,5407000000,1070000000,805000000,None,None,1070000000,None,None,None,1070000000,4337000000,63000000,265000000,None,-63000000,None,None,None,265000000,None,None,805000000,805000000,None
2020-03-31,USD,5162000000,4442000000,None,5162000000,705000000,566000000,None,None,720000000,None,None,-15000000,720000000,4442000000,55000000,154000000,-55000000,-55000000,None,None,None,154000000,None,None,566000000,566000000,None
2019-12-31,USD,5603000000,4545000000,3630000000,5603000000,1058000000,782000000,None,None,1058000000,None,859000000,None,1058000000,4545000000,57000000,276000000,-57000000,-57000000,None,None,None,276000000,-57000000,None,782000000,782000000,None
2019-09-30,USD,5536000000,4500000000,3674000000,5536000000,1036000000,777000000,None,None,1036000000,None,769000000,None,1036000000,4500000000,57000000,259000000,-57000000,-57000000,None,None,None,259000000,-57000000,None,777000000,777000000,None
2019-06-30,USD,5511000000,4402000000,3602000000,5511000000,1109000000,817000000,None,None,1109000000,None,743000000,None,1109000000,4402000000,57000000,292000000,-57000000,-57000000,None,None,None,292000000,-57000000,None,817000000,817000000,None
2019-03-31,USD,5657000000,4415000000,3638000000,5657000000,1242000000,928000000,None,None,1242000000,None,719000000,None,1242000000,4415000000,58000000,314000000,None,-58000000,None,None,None,314000000,-58000000,None,928000000,928000000,None
2018-12-31,USD,5128000000,4404000000,3551000000,5128000000,724000000,526000000,0,0,724000000,0,795000000,None,724000000,4404000000,-58000000,None,None,None,-7000000,0,0,198000000,-58000000,0,526000000,526000000,None
2018-09-30,USD,5577000000,4431000000,3648000000,5577000000,1146000000,845000000,0,0,1146000000,0,730000000,None,1146000000,4431000000,-53000000,None,None,None,0,0,0,301000000,-53000000,0,845000000,845000000,None
2018-06-30,USD,5589000000,4458000000,3672000000,5589000000,1131000000,832000000,0,0,1131000000,0,732000000,None,1131000000,4458000000,-54000000,None,None,None,0,0,0,299000000,-54000000,0,832000000,832000000,None
2018-03-31,USD,5464000000,4482000000,4397000000,5464000000,982000000,717000000,0,0,982000000,0,733000000,None,982000000,4482000000,56000000,None,None,None,0,0,0,265000000,-56000000,0,717000000,717000000,None
2017-12-31,USD,5401000000,34647000000,4335000000,7038000000,-20124000000,2583000000,0,0,999000000,0,2094000000,None,1066000000,-23406000000,59000000,None,None,None,0,0,0,-945000000,-240000000,0,-10307000000,2583000000,None
2017-09-30,USD,5506000000,4431000000,4362000000,5506000000,1075000000,716000000,0,0,1075000000,0,-39000000,None,1075000000,4431000000,59000000,None,None,None,0,0,0,359000000,0,0,716000000,716000000,None
2017-06-30,USD,5428000000,4383000000,4314000000,5428000000,1045000000,713000000,0,0,1045000000,0,111000000,None,1045000000,4383000000,60000000,None,None,None,0,0,0,332000000,0,0,713000000,713000000,None
2017-03-31,USD,5309000000,4411000000,4343000000,5309000000,898000000,592000000,0,0,898000000,0,614000000,None,898000000,4411000000,62000000,None,None,None,0,0,0,306000000,0,0,592000000,592000000,None
2016-12-31,USD,5661000000,18224000000,4593000000,7131000000,-31145000000,751000000,0,0,1153000000,0,2171000000,None,1068000000,-21374000000,72000000,None,None,None,0,0,0,402000000,-268000000,0,-19354000000,751000000,None
2016-09-30,USD,5716000000,4753000000,4688000000,5716000000,963000000,629000000,0,0,963000000,0,12000000,None,963000000,4753000000,65000000,None,None,None,0,0,0,334000000,0,0,629000000,629000000,None
2016-06-30,USD,5483000000,0,4537000000,0,834000000,548000000,0,0,834000000,0,50000000,None,834000000,4603000000,66000000,None,None,None,0,0,0,286000000,0,0,548000000,548000000,None
2016-03-31,USD,5451000000,4334000000,4269000000,5451000000,1117000000,731000000,0,0,1117000000,0,563000000,None,1117000000,4334000000,65000000,None,None,None,0,0,0,386000000,0,0,731000000,731000000,None
2015-12-31,USD,5319000000,16721000000,4144000000,6803000000,4197000000,730000000,0,0,1110000000,0,2052000000,None,1175000000,3672000000,65000000,None,None,None,0,0,0,380000000,-335000000,0,2533000000,730000000,None
2015-09-30,USD,5040000000,4176000000,4108000000,5040000000,864000000,567000000,0,0,864000000,0,4000000,None,864000000,4176000000,67000000,None,None,None,0,0,0,297000000,0,0,567000000,567000000,None
2015-06-30,USD,5287000000,4413000000,4109000000,5287000000,644000000,573000000,0,0,874000000,0,20000000,-230000000,874000000,4413000000,74000000,None,None,None,0,0,0,301000000,0,0,573000000,573000000,None
