fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,EUR,101148000,103000,None,None,60646000,40502000,None,None,845000,-255035000,27829000,None,None,84584000,32491000,None,1039000,294692000,2773000,95069000,3203000,40399000,8037000,2027000,231000,421000,6606000,None,None,None,None,None,None,None,None,None,6079000,546000,None,None,28155000,None,None,None,None,None,None,None,None
2020-03-31,EUR,97016000,121000,None,None,65830000,31186000,None,None,762000,-242797000,30430000,None,None,82765000,34991000,None,1401000,273221000,2872000,90749000,3274000,31065000,5476000,2171000,254000,337000,8434000,None,None,None,None,None,None,None,None,None,6267000,677000,409000,None,30839000,None,None,None,None,None,88241000,None,None
2019-12-31,EUR,112359000,137000,None,None,73692000,38667000,None,None,762000,-234508000,37961000,None,None,95234000,35181000,None,2105000,272413000,3115000,105914000,3193000,38530000,8902000,1482000,278000,296000,10674000,None,None,None,None,None,None,None,6445000,None,6445000,804000,550000,None,38511000,None,None,None,None,None,104136000,None,64000000
2019-09-30,EUR,85550000,149000,None,1491000,63317000,22233000,0,39551705.80,624000,-221516000,33672000,0,0,59995000,29153000,0,2960000,243125000,2577000,79530000,3294000,22084000,16530000,1184000,300000,330000,7633000,0,0,0,0,0,0,0,6020000,0,6020000,529000,492000,0,34164000,0,0,0,0,0,76525000,0,62000000
2019-06-30,EUR,99117000,168000,None,2973000,66272000,32845000,0,44821716.92,624000,-210632000,39138000,0,0,63987000,26565000,0,3552000,242853000,2613000,92487000,3849000,32677000,23726000,1471000,323000,330000,7541000,0,0,0,0,0,0,0,6630000,0,6630000,623000,569000,0,39707000,0,0,0,0,0,87713000,0,62000000
2019-03-31,EUR,110339000,107000,None,570000,67684000,42655000,0,65111948.60,624000,39364000,33488000,0,0,63089000,32937000,0,3083000,2667000,2009000,104325000,3898000,42548000,32043000,8298000,957000,325000,6289000,0,0,0,0,0,0,0,6014000,0,6014000,636000,1259000,0,34747000,0,0,0,0,0,95132000,0,62000000
2018-12-31,EUR,399353192.64,192502.44,None,49366563.96,261408004.63,137945187.92,0,86894227.66,715760.50,-231869694.88,43028217.48,0,0,325978824.03,126649419.64,0,10597946.98,277183987.15,1621931.64,381151399.13,13148604.35,45965817.85,0,4912249.85,5809448.72,893761.34,29157245,0,0,0,0,0,0,0,0,0,0,0,5064677.39,0,0,0,0,0,0,0,326066328.05,0,61000000
2018-09-30,USD,88136217.59,113158.66,None,192190.09,23747150.59,64389066.98,0,1151344.33,1120809.47,-378819230.70,0,0,35526911494296000,66594762.54,19716547.31,0,5537589.08,442087488.21,2282930.83,72109001.42,13631126.68,64275908.32,0,4747274.72,4030603.28,574774.08,13027613.89,0,0,0,0,0,0,0,0,0,0,0,3481635.11,0,0,0,0,0,0,0,57524555.88,0,64000000
2018-06-30,USD,69267923.65,83798.88,None,2297486.03,14355214.15,54912709.50,0,530726.26,726256.98,-231475791.43,0,0,146633447340.32,55181564.25,11016061.45,0,3588221.60,285662243.95,1431564.25,58981610.80,8770949.72,54828910.61,0,1191806.33,3339152.70,310754.19,6897113.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62000000
2018-03-31,USD,81915364.74,79960.63,None,1000123.02,15164226.84,66751137.90,0,559724.44,767622.09,-234801328.58,0,0,10905400.42,68076024.11,10880797.15,3792594.42,3792594.42,300784844.38,1436831.10,71627506.46,8771066.55,66671177.27,0,2229056.46,4283429.70,322302.87,6528478.29,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,55000000
