fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,EUR,-2903000,-4758000,-2903000,None,-484000,20547000,-754000,None,-12238000,2653000,-14991000,None,271000,None,None,-84000,None,1717000,154000,None,None,None
2020-03-31,EUR,3714000,-6999000,3714000,3736000,-901000,-901000,-754000,None,-8289000,-13734000,-16547000,None,280000,None,None,-41000,None,-748000,22000,None,None,None
2019-12-31,EUR,6872000,10936000,6872000,5814000,-1044000,28088000,-2215000,1444000,-12993000,36517000,1557000,None,258000,None,31373000,34000,None,2303000,405000,None,None,None
2019-09-30,EUR,7879000,-2243000,7879000,-1463000,-783000,-770000,-2215000,1482000,-10884000,-4563000,-11672000,0,225000,0,26000,0,230000,-482000,172000,0,0,0
2019-06-30,EUR,7267000,-1232000,7267000,-9514000,-378000,-365000,-2215000,-2403000,-10340000,1344000,-5558000,0,213000,0,13000,-5000,6916000,1293000,767000,0,0,0
2019-03-31,EUR,-17678000,-8252000,-17678000,-17548000,-915000,-915000,-2215000,-183000,1852000,-31740000,-13383000,0,210000,0,0,-65000,-6688000,-257000,130000,0,0,0
2018-12-31,EUR,-51185024.51,72703601.74,-17361780.22,-38899809.73,-765083.73,-2279091.43,1147.05,768524.89,30112882.11,198528456.72,85297086.49,0,343754.36,0,75259907.32,206252.58,75625.96,1568020.19,835323.08,0,0,0
2018-09-30,USD,-26744956.67,2699642.04,-271221.51,1551.54,-1347126.77,-1253725.98,-28738.71,1095663.10,-21589951.61,-18565202.98,-17544978.98,0,186801.57,0,38958938.34,-95196.97,-775945.02,934007.90,269425.35,0,0,0
2018-06-30,USD,-17330074.49,727420.86,-196694.60,0,-872905.03,-919459.96,-46554.93,-1329143.39,-9327281.19,-9226024.21,-9582169.46,0,116387.34,0,0,-5819.37,929934.82,-693668.53,176908.75,0,0,0
2018-03-31,USD,-18317136.18,1654570.06,-189445.20,0,-922622.71,27858285.15,-2024849.30,-20912.78,-10091032.11,19069996.31,-8516422.68,None,121786.20,0,30805757.17,-25833.44,-874646.33,719645.71,179603.89,None,None,None
2017-12-31,USD,8683000,-1018000,9678000,10417000,2333000,28609000,-1659000,-399000,-30223000,4430000,-25549000,None,351000,None,23123000,-44000,1371000,4644000,751000,None,None,None
2017-09-30,USD,-4243000,-1701000,-4425000,None,-167000,23869000,-43000,11000,-8100000,-11143000,-7596000,None,88000,None,1340000,-32000,815000,1198000,643000,None,None,None
2017-06-30,USD,-4243000,1297000,4793000,None,2500000,21577000,-29000,-501000,-7947000,-4521000,-5849000,None,83000,None,1340000,-59000,-238000,1516000,398000,None,None,None
2017-03-31,USD,4554000,-640000,4773000,None,2500000,17585000,-1463000,97000,-7755000,13600000,-7234000,None,86000,None,17901000,6000,-12000,984000,89000,None,None,None
2016-12-31,USD,-8890000,-2177000,-9149000,-9399000,-137000,-236000,-105000,-64000,-32216000,-41333000,-32127000,None,369000,None,6000,33000,-1311000,3241000,251000,None,None,None
2016-09-30,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,218000,None,None,None
2016-06-30,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,173000,None,None,None
2016-03-31,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,129000,None,None,None
2015-12-31,USD,-8890000,1253000,-277000,-30000,-137000,58093000,-3117000,-452000,-20239000,37015000,-18535000,None,336000,None,56615000,-29000,26000,572000,270000,None,None,None
2015-09-30,USD,None,None,None,None,None,38435000,None,None,None,None,None,None,None,None,None,None,None,None,228000,None,None,None
2015-06-30,USD,None,None,None,None,None,37368000,None,None,None,None,None,None,None,None,None,None,None,None,91000,None,None,None
