fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,BRL,-218559000,-2684000,-218559000,-56238000,-111583000,-115753000,-4170000,45730000,60679000,-261535000,88021000,None,26383000,None,None,672000,-69267000,26326000,24501000,None,None,None
2020-03-31,BRL,-132466000,-9637000,-132466000,-8807000,-12140000,355726000,-21304000,7349000,99816000,339900000,101396000,None,24947000,None,389170000,-1648000,-35564000,17565000,20848000,None,None,None
2019-12-31,BRL,-78330000,847000,-78330000,34739000,-36584000,-40432000,-3848000,-22842000,49797000,-35746000,68569000,0,22449000,0,992778000,-1013000,-10868000,29193000,20381000,0,0,0
2019-09-30,BRL,-72025000,14821000,-72025000,7911000,-29721000,860672000,-79670000,14546000,46267000,910484000,121837000,0,22262000,-26.27,992778000,-107000,3936000,18430000,79936000,0,0,0
2019-06-30,BRL,-186796000,-1627000,-186796000,-24623000,-33514000,-41135000,-79670000,12141000,16317000,-176853000,51078000,0,19387000,-10.92,0,976000,-19914000,28678000,11745000,0,0,0
2019-03-31,BRL,-16998000,8312000,-16998000,-7351000,-7670000,142330000,150000000,-16005000,51705000,183064000,57732000,0,9054000,-10.60,0,-92000,-8710000,20446000,9647000,0,0,0
2018-12-31,BRL,0,0,-67603380.31,-62015819.44,0,14526944.12,9980623.51,0,6553292.02,2440839.40,5331611.07,0,602609.20,0,0,0,0,0,5587560.87,0,0,0
2018-09-30,USD,0,60086.87,-238960.17,-147072.57,-118231.49,20100.89,-1228096.78,-18574.83,375242.38,250521.26,469380.53,0,10667.04,-117476.16,0,-2003.92,-55955.71,96126.67,97313.61,0,0,0
2018-06-30,USD,0,-600051.11,-1525939.18,-1317147.97,-944799.39,13110912.34,0,983133.15,5229235.88,15401226.68,3816253.51,0,390493.23,-1947610.53,0,-48811.65,-2713774.60,592639.92,435215.95,0,0,0
2018-03-31,USD,0,-990275.43,-2185914.47,-813300.31,-85769.51,-85769.51,0,526697.27,5288717.08,3308770.23,5580454.22,0,387774.82,-2301582.51,0,-13288.23,-492268.66,732664.89,1300736.89,0,0,0
