fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,BRL,274211000,197592000,106683000,167528000,112374000,60679000,None,None,70227000,49923000,90039000,None,76619000,689000,15764000,6341000,1810000,-19057000,None,None,None,6341000,12665000,None,63886000,60679000,None
2020-03-31,BRL,272304000,176033000,89251000,183053000,153533000,99816000,None,None,109727000,50886000,86723000,None,96271000,59000,18859000,6057000,30013000,11154000,None,None,None,6057000,2302000,None,103670000,99816000,None
2019-12-31,BRL,220846000,166995000,84856000,135990000,80454000,49797000,0,0,57449000,48632000,77042000,0,53851000,-1704000,556000,4473000,-28161000,-34307000,0,0,0,4473000,37905000,0,52976000,49797000,0
2019-09-30,BRL,206713000,158090000,87350000,119363000,101580000,46267000,0,0,54732000,47970000,71260000,0,48623000,-520000,24586000,5748000,29652000,5066000,0,0,0,5748000,1043000,0,48984000,46267000,0
2019-06-30,BRL,178493000,141291000,82283000,96210000,58159000,16317000,0,0,23051000,47596000,59584000,0,37202000,-576000,15721000,1725000,1410000,-16755000,0,0,0,1725000,2604000,0,21326000,16317000,0
2019-03-31,BRL,144578000,85804000,54364000,90214000,70128000,49476000,0,0,51705000,96313000,31234000,0,58774000,206000,9369000,2229000,-6676000,-7718000,0,0,0,2229000,649000,0,49476000,49476000,0
2018-12-31,BRL,22167030.34,0,11155505.66,11011524.68,0,6288563.50,0,0,6553292.02,0,4648946.06,0,6402341,0,0,850000,None,None,0,0,0,264728.52,0,0,0,6288563.50,0
2018-09-30,USD,1424727.92,1022401.75,742792.77,681935.15,402326.17,375242.38,0,0,438134.74,1484645.23,299370.75,0,402326.17,-19761.77,-693.67,None,None,None,0,0,0,22767.65,35808.57,0,415367.09,375242.38,0
2018-06-30,USD,19226935.85,13483516.48,9884998.72,9341937.13,5743419.37,5229235.88,0,0,5841553.80,24613595.71,3726808.08,0,5743419.37,-128290.31,-60056.22,None,None,None,0,0,0,68234.09,98134.42,0,5773319.70,5229235.88,0
2018-03-31,USD,18518965.93,12595433.68,8515039.86,10003926.07,5923532.25,5288717.08,0,0,6115909.64,29087037.93,4307501.81,0,5923532.25,-227108,-60703.07,None,None,None,0,0,0,420995.41,192377.39,0,5694914.23,5288717.08,0
