fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,1019837000,None,None,None,374831000,645006000,None,11420000,950582000,-404391000,143222000,None,106311000,95230000,78650000,None,10557000,98815000,720632000,192894000,None,645006000,16659000,1506000,138580000,43539000,12291000,None,None,None,None,None,None,None,None,None,826943000,20396000,None,4468000,296181000,None,None,None,None,None,None,None,None
2020-03-31,USD,1041457000,None,None,2097000,395417000,646040000,None,21672000,949142000,-394423000,149838000,None,102457000,145187000,84192000,None,437000,91321000,714982000,224018000,None,646040000,6910000,2804000,146305000,33414000,23981000,None,None,None,None,None,None,None,817439000,None,817439000,21411000,161387000,3898000,311225000,None,None,None,None,None,152097000,None,209000000
2019-12-31,USD,1027924000,None,None,982000,365603000,662321000,None,4635000,933182000,-361553000,124091000,None,72881000,169009000,71853000,1175000,1175000,90692000,712064000,242979000,None,662321000,6506000,3503000,154643000,30517000,23984000,None,None,None,None,None,None,None,784945000,None,784945000,21936000,169659000,4675000,293750000,None,None,None,None,None,175515000,None,202000000
2019-09-30,USD,1002335000,None,None,None,335332000,667003000,None,1317000,900019000,-321607000,121599000,None,67627000,118624000,55409000,433000,433000,88591000,730093000,204615000,None,667003000,6446000,6155000,152994000,30442000,18183000,None,None,None,None,None,None,None,797720000,None,797720000,9920000,158324000,4204000,279923000,None,None,None,None,None,125070000,None,206000000
2019-06-30,USD,972210000,None,None,1245000,331839000,640371000,None,143000,879325000,-330166000,115569000,None,67037000,94539000,60701000,1252000,1252000,91212000,715021000,190152000,None,640371000,6396000,6645000,151366000,28706000,20817000,None,None,None,None,None,None,None,782058000,None,782058000,8505000,155569000,4164000,271138000,None,None,None,None,None,100935000,None,201000000
2019-03-31,USD,967605000,None,None,625000,334310000,633295000,None,4168000,861509000,-318199000,121359000,None,57506000,91457000,58305000,444000,444000,19829000,701887000,189183000,None,633295000,7754000,6136000,149781000,27358000,18349000,None,None,None,None,None,None,None,778422000,None,778422000,9134000,154646000,3985000,276005000,None,None,None,None,None,99211000,None,197000000
2018-12-31,USD,926110000,None,None,2038000,331537000,594573000,None,3769000,827622000,-321079000,122226000,None,73139000,57013000,58137000,3833000,3833000,88030000,686697000,166274000,None,594573000,None,66246000,151117000,32468000,26420000,None,None,None,None,None,None,None,None,None,None,None,151174000,None,None,None,None,None,None,None,63433000,None,184000000
2018-09-30,USD,1112197000,None,None,1374000,355828000,756369000,None,754000,826549000,-156636000,152514000,None,80900000,72372000,53620000,2888000,2888000,86456000,849858000,181439000,None,756369000,7296000,68731000,149562000,28735000,23141000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,195000000
2018-06-30,USD,1131446000,None,None,186000,383836000,747610000,None,4372000,825109000,-162519000,170086000,None,85696000,109228000,64278000,4131000,4131000,85020000,840116000,205634000,None,747610000,8830000,55366000,149254000,29229000,23396000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,181000000
2018-03-31,USD,919421000,None,None,3958000,321802000,597619000,None,3061000,636568000,-122472000,121947000,None,47934000,249239000,69110000,31664000,31664000,83523000,566762000,304725000,None,597619000,8692000,24654000,130438000,18182000,15210000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,166000000
2017-12-31,USD,781441000,None,None,1478000,198956000,582485000,103394000,19476000,636672000,-116490000,16731000,None,44585000,118141000,54375000,14928000,14928000,62303000,566198000,170658000,None,582485000,11326000,20855000,24456000,18858000,18281000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,165000000
2017-09-30,USD,837580000,None,None,1740000,201689000,635891000,None,17881000,635694000,-60406000,14479000,None,37463000,120794000,45543000,14246000,14246000,60603000,628299000,171818000,None,635891000,11942000,19553000,26771000,17789000,11029000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,166000000
2017-06-30,USD,835624000,None,None,1355000,202472000,633152000,None,16126000,632742000,-59086000,15532000,None,37323000,126899000,42743000,45421000,45421000,59496000,624661000,173640000,None,633152000,11576000,16436000,28509000,17374000,9705000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,167000000
2017-03-31,USD,847739000,None,None,1807000,218628000,629111000,None,17717000,632052000,-60498000,14899000,None,39124000,127605000,44589000,46969000,46969000,57557000,627209000,181406000,None,629111000,13780000,19621000,29882000,18593000,9785000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,167000000
2016-12-31,USD,857175000,None,None,735000,235474000,621701000,138178000,19981000,628565000,-63218000,14056000,None,48929000,129049000,49572000,12378000,12378000,56354000,628047000,180199000,None,621701000,13688000,16473000,33668000,20254000,10752000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,164000000
2016-09-30,USD,857661000,None,None,1028000,236805000,620856000,None,15027000,627897000,None,16475000,None,46402000,122478000,43056000,None,None,None,624446000,None,None,None,16911000,None,37612000,20094000,8165000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,169000000
2016-06-30,USD,840370000,None,None,1698000,242342000,598028000,None,12164000,610405000,None,15891000,None,44988000,108204000,50510000,None,None,None,625760000,None,None,None,12599000,None,42140000,21602000,17087000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,164000000
2016-03-31,USD,794580000,None,None,2587000,254280000,540300000,None,14586000,559404000,None,16982000,None,40589000,61733000,59696000,None,None,None,636446000,None,None,None,6959000,None,46732000,20199000,26312000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,156000000
2015-12-31,USD,789700000,None,None,1371000,244981000,544719000,120114000,15839000,557477000,-71819000,16926000,None,37837000,51018000,89201000,19859000,19859000,59061000,647078000,104785000,None,544719000,5701000,24491000,18740000,22204000,28291000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,156000000
2015-09-30,USD,750475000,None,None,2785000,207832000,542643000,None,14831000,454001000,30834000,15309000,None,5796000,26105000,73491000,None,None,None,684182000,None,None,None,2268000,None,22806000,15794000,25157000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,122000000
2015-06-30,USD,766239000,None,None,1798000,223268000,542971000,None,13222000,453556000,32614000,16984000,None,6477000,37742000,73255000,None,None,None,687432000,None,None,None,2468000,None,29104000,16144000,21459000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,121000000
