fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,7778000000,470000000,None,394200000,5060500000,2676100000,103500000,158700000,800000,4490400000,650200000,1246600000,261300000,404400000,2607700000,104500000,104500000,-1825200000,1363600000,3870900000,387600000,959500000,None,903300000,1652100000,2169000000,2344500000,None,None,800000,None,4490400000,None,None,370800000,None,68500000,138200000,1652100000,697200000,2452800000,None,None,None,10100000,7778000000,404400000,None,74895942
2020-03-31,USD,7705700000,481800000,None,410800000,5015100000,2642100000,102900000,177400000,800000,4432700000,631500000,1260900000,250900000,386700000,2562100000,168100000,168100000,-1791400000,1350500000,3810000000,372900000,899400000,None,825000000,1669500000,2187500000,2216600000,None,None,800000,None,4432700000,None,None,363100000,None,66500000,140600000,1669500000,680600000,2453000000,None,None,None,None,7705700000,386700000,None,74862100
2019-12-31,USD,7759700000,501700000,None,417100000,4852700000,2853800000,107000000,162100000,800000,4443500000,615800000,1298300000,246800000,432800000,2884500000,153400000,153400000,-1595200000,1416300000,3729100000,380200000,1053800000,None,800500000,1191800000,2078700000,2569000000,None,None,800000,None,4443500000,None,None,340300000,93800000,4030600000,148600000,1191800000,669400000,1968200000,None,None,None,4700000,7759700000,432800000,None,75471562
2019-09-30,USD,8079200000,518700000,None,445200000,5040400000,2976600000,113600000,168300000,800000,4567000000,580800000,1456000000,205400000,282000000,3027700000,511300000,511300000,-1595100000,1349800000,3956600000,399200000,1001900000,None,918100000,1269200000,2311300000,2348100000,None,None,800000,None,4567000000,None,None,327600000,71300000,4122600000,154800000,1269200000,629900000,2012700000,None,None,None,3900000,8079200000,282000000,None,75915726
2019-06-30,USD,8415100000,541600000,None,446200000,5286400000,3064700000,107800000,203700000,800000,4591100000,576500000,1494000000,232100000,279900000,3228900000,536600000,536600000,-1534300000,1377800000,4161600000,404700000,1029100000,None,1010700000,1308100000,2424800000,2488600000,None,None,800000,None,4591100000,None,None,337900000,97500000,4253500000,163300000,1308100000,641600000,2057500000,None,None,None,7100000,8415100000,279900000,None,76313655
2019-03-31,USD,8204300000,555300000,None,432400000,5185300000,2955700000,106800000,174800000,800000,4491000000,565500000,1485600000,251800000,292800000,3054700000,474600000,474600000,-1545800000,1363300000,3961300000,393200000,914800000,None,928500000,1404300000,2307600000,2405300000,None,None,800000,None,4491000000,None,None,325900000,119700000,4243000000,150800000,1404300000,619500000,2130600000,None,None,None,9700000,8204300000,292800000,None,76742850
2018-12-31,USD,7626400000,573100000,None,422300000,4632900000,2932900000,116300000,194200000,800000,4477300000,580000000,1495500000,247300000,326100000,2766700000,184200000,184200000,-1555400000,1373100000,3537400000,400000000,864300000,None,880300000,1275300000,1908700000,2388300000,None,None,800000,None,4477300000,None,None,142400000,104900000,4089000000,None,1275300000,474600000,1866200000,None,None,None,10200000,7626400000,326100000,None,76536755
2018-09-30,USD,7917100000,590800000,None,401800000,4948200000,2906100000,0,1890800000,800000,4405400000,586100000,1494400000,255900000,292700000,2659100000,186800000,5500000,-1581900000,1367800000,3789000000,419200000,820900000,0,992700000,1703000000,2101800000,2870600000,2968900000,81800000,800000,0,4405400000,0,None,147200000,108700000,4128100000,None,None,None,None,None,None,None,81800000,7917100000,292700000,None,78481817
2018-06-30,USD,8024100000,608100000,None,384300000,5026000000,2934800000,0,1929100000,800000,4346100000,593100000,1503700000,264300000,280600000,2700500000,215600000,17900000,-1533500000,1392900000,3843900000,411200000,823000000,0,1047100000,1732400000,2131900000,2881300000,2998100000,121400000,800000,0,4346100000,0,None,153500000,110800000,4180200000,None,None,None,None,None,None,None,121400000,8024100000,280600000,None,79117583
2018-03-31,USD,8448900000,639900000,None,406200000,5329500000,3052900000,0,2258900000,800000,4266600000,620100000,1563800000,275000000,348200000,2715500000,129700000,129700000,-1349800000,1486900000,4061300000,422000000,849200000,0,1023600000,1993900000,2283300000,2940900000,3119400000,135300000,800000,0,4266600000,0,None,157100000,117900000,4387600000,None,None,None,None,None,None,None,135300000,8448900000,348200000,None,79525602
